loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2022-06-02T10:48:03.118+02:00,1654159682.032086,53.22904052493351,10.39854293004242,29.18989,0.213597,0.7770897,-1,-1,3,24,-9999,34235.61383275,0.0935516357421875,-0.5477294921875,-0.8535919189453125,34235.60509575,-3.037670852129766,0.05897640606179114,0.5909327210767276,-0.108460046350956,0.1259693056344986,-0.01882153376936913,-0.06220677495002747,-0.00988084077835083,-0.01872438192367554,XArbitraryZVertical,0.04328512241695136,-0.2892016227972107,-0.954514095813963,0.0582390139045212,0.04894688352942467,-0.5571358203887939,-0.828977644443512,0,0,0,-1,-1,34231.990439,unknown,2,2022-06-02T10:47:59.459+02:00,2022-06-02T10:32:51.428+02:00,96,2.468083,0,0,83.85019,0,0,2022-06-02T10:47:49.242+02:00,675852482.0207914,0,13.03125,101.0355,1,0.89
2022-06-02T10:48:03.123+02:00,1654159682.032086,53.22904052493351,10.39854293004242,29.18989,0.213597,0.7770897,-1,-1,3,24,-9999,34235.62380475,0.0666351318359375,-0.508941650390625,-0.86431884765625,34235.61506875,-3.037710034265124,0.059714874414427,0.589559016719776,-0.1593650430440903,0.06484443694353104,-0.03558027371764183,0.02705547958612442,-0.01222753524780273,-0.01419812440872192,XArbitraryZVertical,0.04360374623061455,-0.2885246690357228,-0.9546996184018495,0.05831786790578891,0.04960467293858528,-0.5559945106506348,-0.8297044634819031,0,0,0,-1,-1,34231.990439,unknown,2,2022-06-02T10:47:59.459+02:00,2022-06-02T10:32:51.428+02:00,96,2.468083,0,0,83.85019,0,0,2022-06-02T10:47:49.242+02:00,675852482.0207914,0,13.03125,101.0355,1,0.89
2022-06-02T10:48:03.126+02:00,1654159682.032086,53.22904052493351,10.39854293004242,29.18989,0.213597,0.7770897,-1,-1,3,24,-9999,34235.63377775,0.0225372314453125,-0.504974365234375,-0.860626220703125,34235.62504075,-3.038149485481358,0.0605611245895275,0.588136559393126,-0.1231647804379463,0.05553597584366798,-0.05707260593771935,0.03921446949243546,0.02499598264694214,-0.02799344062805176,XArbitraryZVertical,0.04391537637368888,-0.2878298940127161,-0.9549010212067749,0.05822026608779145,0.05035461112856865,-0.5548116564750671,-0.8304507732391357,0,0,0,-1,-1,34231.990439,unknown,2,2022-06-02T10:47:59.459+02:00,2022-06-02T10:32:51.428+02:00,96,2.468083,0,0,83.85019,0,0,2022-06-02T10:47:49.242+02:00,675852482.0207914,0,13.03125,101.0355,1,0.89
2022-06-02T10:48:03.135+02:00,1654159682.032086,53.22904052493351,10.39854293004242,29.18989,0.213597,0.7770897,-1,-1,3,24,-9999,34235.64374975,0.009185791015625,-0.515350341796875,-0.8469696044921875,34235.63501375,-3.03896785747989,0.06195093948266756,0.5873657074865871,-0.02705076336860657,0.0933145210146904,-0.05957251414656639,-0.00241716206073761,0.05092000961303711,-0.03450405597686768,XArbitraryZVertical,0.04444571158279841,-0.2874391677217035,-0.9550061243479008,0.05802385557175817,0.05153519660234451,-0.5541701316833496,-0.8308066129684448,0,0,0,-1,-1,34231.990439,unknown,2,2022-06-02T10:47:59.459+02:00,2022-06-02T10:32:51.428+02:00,96,2.468083,0,0,83.85019,0,0,2022-06-02T10:47:49.242+02:00,675852482.0207914,0,13.03125,101.0355,1,0.89
2022-06-02T10:48:03.139+02:00,1654159682.032086,53.22904052493351,10.39854293004242,29.18989,0.213597,0.7770897,-1,-1,3,24,-9999,34235.65372275,0.029083251953125,-0.5277557373046875,-0.8358917236328125,34235.64498575,-3.039800207212472,0.06374144923970117,0.5874367249299958,0.04217047616839409,0.1465265154838562,-0.05739915370941162,-0.04110307246446609,0.0472559928894043,-0.0251002311706543,XArbitraryZVertical,0.04518246158575139,-0.287439884181502,-0.954979787905335,0.05788428210236002,0.0530201718211174,-0.5542292594909668,-0.8306736946105957,0,0,0,-1,-1,34231.990439,unknown,2,2022-06-02T10:47:59.459+02:00,2022-06-02T10:32:51.428+02:00,96,2.468083,0,0,83.85019,0,0,2022-06-02T10:47:49.242+02:00,675852482.0207914,0,13.03125,101.0355,1,0.89
2022-06-02T10:48:03.155+02:00,1654159682.032086,53.22904052493351,10.39854293004242,29.18989,0.213597,0.7770897,-1,-1,3,24,-9999,34235.66369575,0.056640625,-0.53912353515625,-0.827880859375,34235.65495875,-3.040541000286816,0.0657634217271318,0.5877382842832328,0.03854378312826157,0.1649832874536514,-0.05326220020651817,-0.04062007740139961,0.03334683179855347,-0.01254326105117798,XArbitraryZVertical,0.04604731429080273,-0.2875424493144209,-0.9549111832002852,0.05782366486363598,0.05468867346644402,-0.554480254650116,-0.8303979635238647,0,0,0,-1,-1,34231.990439,unknown,2,2022-06-02T10:47:59.459+02:00,2022-06-02T10:32:51.428+02:00,96,2.468083,0,0,83.85019,0,0,2022-06-02T10:47:49.242+02:00,675852482.0207914,0,13.03125,101.0355,1,0.89
2022-06-02T10:48:03.158+02:00,1654159682.032086,53.22904052493351,10.39854293004242,29.18989,0.213597,0.7770897,-1,-1,3,24,-9999,34235.67366775,0.07232666015625,-0.548675537109375,-0.828857421875,34235.66493175001,-3.041079060301876,0.0675035946772225,0.5877496787646213,-0.00897420197725296,0.1476399749517441,-0.05576650053262711,-0.016384057700634,0.02272093296051025,-0.001430749893188477,XArbitraryZVertical,0.04680102214584759,-0.2875100360257613,-0.9548848195948608,0.05781705540342846,0.0561332032084465,-0.5544897317886353,-0.8302952647209167,0,0,0,-1,-1,34231.990439,unknown,2,2022-06-02T10:47:59.459+02:00,2022-06-02T10:32:51.428+02:00,96,2.468083,0,0,83.85019,0,0,2022-06-02T10:47:49.242+02:00,675852482.0207914,0,13.03125,101.0355,1,0.89
2022-06-02T10:48:03.160+02:00,1654159682.032086,53.22904052493351,10.39854293004242,29.18989,0.213597,0.7770897,-1,-1,3,24,-9999,34235.68364075,0.0786895751953125,-0.5582733154296875,-0.8428192138671875,34235.67490375,-3.041517200690316,0.06892728191527904,0.5873001139988568,-0.07572953402996063,0.1313691288232803,-0.05230625718832016,0.007166512310504913,0.01111626625061035,0.004489600658416748,XArbitraryZVertical,0.04740924723531197,-0.2872643407018249,-0.9549292630240829,0.05780836828530356,0.05733238905668259,-0.5541155338287354,-0.8304631114006042,0,0,0,-1,-1,34231.990439,unknown,2,2022-06-02T10:47:59.459+02:00,2022-06-02T10:32:51.428+02:00,96,2.468083,0,0,83.85019,0,0,2022-06-02T10:47:49.242+02:00,675852482.0207914,0,13.03125,101.0355,1,0.89
2022-06-02T10:48:03.167+02:00,1654159682.032086,53.22904052493351,10.39854293004242,29.18989,0.213597,0.7770897,-1,-1,3,24,-9999,34235.69361375,0.0816192626953125,-0.5514068603515625,-0.8488311767578125,34235.68487675001,-3.042006103039637,0.07040854803587387,0.5862253309383673,-0.1324755996465683,0.1311391294002533,-0.05485705658793449,0.01683511584997177,-0.0003683567047119141,-0.002754092216491699,XArbitraryZVertical,0.04802614750052117,-0.2867194531848273,-0.9550640695923486,0.0577773301630207,0.05860432609915733,-0.5532205700874329,-0.8309708833694458,0,0,0,-1,-1,34231.990439,unknown,2,2022-06-02T10:47:59.459+02:00,2022-06-02T10:32:51.428+02:00,96,2.468083,0,0,83.85019,0,0,2022-06-02T10:47:49.242+02:00,675852482.0207914,0,13.03125,101.0355,1,0.89
2022-06-02T10:48:03.177+02:00,1654159682.032086,53.22904052493351,10.39854293004242,29.18989,0.213597,0.7770897,-1,-1,3,24,-9999,34235.70358575,0.0813140869140625,-0.5371551513671875,-0.8545379638671875,34235.69484975001,-3.042545724416666,0.07203663303858035,0.5846668892353174,-0.1736893355846405,0.1232761442661285,-0.04873338341712952,0.01949442178010941,-0.005893945693969727,-0.01505321264266968,XArbitraryZVertical,0.04869742399775425,-0.2859404188631849,-0.9552659919818082,0.05773731976367466,0.0600191205739975,-0.5519216060638428,-0.8317332863807678,0,0,0,-1,-1,34231.990439,unknown,2,2022-06-02T10:47:59.459+02:00,2022-06-02T10:32:51.428+02:00,96,2.468083,0,0,83.85019,0,0,2022-06-02T10:47:49.242+02:00,675852482.0207914,0,13.03125,101.0355,1,0.89
