,loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
279,2022-06-02T10:39:57.849+02:00,1654159196.631288,53.22896898552963,10.39840878379961,36.06788,0.2317481,0.5709453,-1.0,-1.0,3.0,24.00362482104263,-9999,33773.54290754167,-0.645355224609375,-1.258010864257812,-1.87835693359375,33773.53915654167,0.240024031011513,0.3479236731140711,0.8730393636214531,-8.76009464263916,9.538208961486816,-13.13243865966797,-0.5762056112289429,-0.7381855249404907,-1.203201532363892,XArbitraryZVertical,-0.3946323399260449,-0.2055809647609677,-0.1795120858419623,-0.8773694656784158,0.2190583795309067,-0.766285240650177,-0.6040035486221313,0,0,0,-1,-1,33772.640579625,unknown,2,2022-06-02T10:39:56.942+02:00,2022-06-02T10:32:51.428+02:00,41,0.9590018,0,0,41.84445,0,0,2022-06-02T10:39:56.942+02:00,675851996.9421668,0,7.960938,101.0979,1,0.91
280,2022-06-02T10:39:57.859+02:00,1654159196.631288,53.22896898552963,10.39840878379961,36.06788,0.2317481,0.5709453,-1.0,-1.0,3.0,24.00362482104263,-9999,33773.55287954167,-1.17022705078125,-0.689208984375,-1.826766967773438,33773.54912954167,0.1239428705977995,0.5355975778769227,0.7246736630452683,-11.20276355743408,11.26926803588867,-14.25503349304199,-1.234054803848267,-0.3961299061775208,-1.248190879821777,XArbitraryZVertical,-0.3258459497445627,-0.2681234400619333,-0.1494598852015691,-0.8942013053237922,0.3821108639240265,-0.662891149520874,-0.6438684463500977,0,0,0,-1,-1,33772.640579625,unknown,2,2022-06-02T10:39:56.942+02:00,2022-06-02T10:32:51.428+02:00,41,0.9590018,0,0,41.84445,0,0,2022-06-02T10:39:56.942+02:00,675851996.9421668,0,7.960938,101.0979,1,0.91
281,2022-06-02T10:39:57.869+02:00,1654159196.631288,53.22896898552963,10.39840878379961,36.06788,0.2317481,0.5709453,-1.0,-1.0,3.0,24.00362482104263,-9999,33773.56285254167,-1.60235595703125,-0.089019775390625,-1.645706176757812,33773.55910254167,0.065045597693063,0.6921205236856981,0.5370728716075837,-14.14664649963379,13.01556873321533,-15.21566486358643,-1.87686014175415,0.0458944439888,-1.10529887676239,XArbitraryZVertical,-0.2388251418590502,-0.3349806685703953,-0.1194406600036098,-0.9035952864557656,0.5483230352401733,-0.5116231441497803,-0.6615009903907776,0,0,0,-1,-1,33772.640579625,unknown,2,2022-06-02T10:39:56.942+02:00,2022-06-02T10:32:51.428+02:00,41,0.9590018,0,0,41.84445,0,0,2022-06-02T10:39:56.942+02:00,675851996.9421668,0,7.960938,101.0979,1,0.91
282,2022-06-02T10:39:57.879+02:00,1654159196.631288,53.22896898552963,10.39840878379961,36.06788,0.2317481,0.5709453,-1.0,-1.0,3.0,24.00362482104263,-9999,33773.57282554167,-2.060348510742188,0.5718536376953125,-1.344314575195312,33773.56907454167,0.0619089637159736,0.8332021872835254,0.3154653990952144,-17.67952156066895,14.85889339447021,-15.91899871826172,-2.480300188064575,0.4473744034767151,-0.9172571897506714,XArbitraryZVertical,-0.1312071713413033,-0.4038854712236253,-0.0914835292635772,-0.9007175383999387,0.70356684923172,-0.3102589249610901,-0.6393224000930786,0,0,0,-1,-1,33772.640579625,unknown,2,2022-06-02T10:39:56.942+02:00,2022-06-02T10:32:51.428+02:00,41,0.9590018,0,0,41.84445,0,0,2022-06-02T10:39:56.942+02:00,675851996.9421668,0,7.960938,101.0979,1,0.91
283,2022-06-02T10:39:57.889+02:00,1654159196.631288,53.22896898552963,10.39840878379961,36.06788,0.2317481,0.5709453,-1.0,-1.0,3.0,24.00362482104263,-9999,33773.58279754167,-2.48895263671875,1.271408081054688,-0.787353515625,33773.57904754167,0.1172729610181048,0.9810536359241104,0.0690136601274933,-21.43475341796875,16.69412231445312,-16.30006217956543,-3.052097320556641,0.9297376871109008,-0.6087813973426819,XArbitraryZVertical,-0.0027887759479936,-0.4717844442647373,-0.0678866241043107,-0.879092259015704,0.8291054368019104,-0.0689588859677314,-0.5548233389854431,0,0,0,-1,-1,33772.640579625,unknown,2,2022-06-02T10:39:56.942+02:00,2022-06-02T10:32:51.428+02:00,41,0.9590018,0,0,41.84445,0,0,2022-06-02T10:39:56.942+02:00,675851996.9421668,0,7.960938,101.0979,1,0.91
284,2022-06-02T10:39:57.899+02:00,1654159196.631288,53.22896898552963,10.39840878379961,36.06788,0.2317481,0.5709453,-1.0,-1.0,3.0,24.00362482104263,-9999,33773.59277054167,-2.885391235351562,2.04571533203125,0.1599884033203125,33773.58902054167,0.2419069175908733,1.165088368041826,-0.1839862232808145,-24.91831398010254,18.39557838439941,-16.2930908203125,-3.54236888885498,1.372470021247864,-0.0698927640914917,XArbitraryZVertical,0.1422512838975806,-0.534565668636384,-0.0501624961071479,-0.8315575485449102,0.9033156037330629,0.182949960231781,-0.3880082368850708,0,0,0,-1,-1,33772.640579625,unknown,2,2022-06-02T10:39:56.942+02:00,2022-06-02T10:32:51.428+02:00,41,0.9590018,0,0,41.84445,0,0,2022-06-02T10:39:56.942+02:00,675851996.9421668,0,7.960938,101.0979,1,0.91
285,2022-06-02T10:39:57.909+02:00,1654159196.631288,53.22896898552963,10.39840878379961,36.06788,0.2317481,0.5709453,-1.0,-1.0,3.0,24.00362482104263,-9999,33773.60274354167,-3.264389038085938,2.433135986328125,1.073944091796875,33773.59899254167,0.4598902206330119,1.422148379475523,-0.4106275078734087,-27.68699645996094,19.81340026855469,-15.77819633483887,-3.92378830909729,1.871399402618408,0.6449754238128662,XArbitraryZVertical,0.296031821412338,-0.5869159838885938,-0.03950633953942,-0.7525517901419024,0.9067596197128296,0.3991847634315491,-0.1357895731925964,0,0,0,-1,-1,33772.640579625,unknown,2,2022-06-02T10:39:56.942+02:00,2022-06-02T10:32:51.428+02:00,41,0.9590018,0,0,41.84445,0,0,2022-06-02T10:39:56.942+02:00,675851996.9421668,0,7.960938,101.0979,1,0.91
286,2022-06-02T10:39:57.921+02:00,1654159196.631288,53.22896898552963,10.39840878379961,36.06788,0.2317481,0.5709453,-1.0,-1.0,3.0,24.00362482104263,-9999,33773.61271554167,-3.979080200195312,2.340591430664062,1.891265869140625,33773.60896554167,0.78194331844561,1.777790251083154,-0.5558711723508574,-28.49016380310059,20.72836875915527,-14.7447395324707,-4.322229385375977,1.916133642196655,1.223403573036194,XArbitraryZVertical,0.4443910801972306,-0.6243434079786606,-0.0340295289656129,-0.641524728437662,0.8313083052635193,0.5276834964752197,0.1745762526988983,0,0,0,-1,-1,33772.640579625,unknown,2,2022-06-02T10:39:56.942+02:00,2022-06-02T10:32:51.428+02:00,41,0.9590018,0,0,41.84445,0,0,2022-06-02T10:39:56.942+02:00,675851996.9421668,0,7.960938,101.0979,1,0.91
287,2022-06-02T10:39:57.929+02:00,1654159197.63129,53.2289604867897,10.39838170195477,36.75568,0.2350646,0.4033257,213.3502477826197,57.02888638743671,3.0,16.00241654736175,-9999,33773.62268854167,-4.985763549804688,1.82232666015625,2.7974853515625,33773.61893754167,1.151158537058236,2.187422753181988,-0.5740668619685939,-27.10971260070801,21.00018501281738,-13.57114410400391,-5.018246173858643,1.646401524543762,1.700921654701233,XArbitraryZVertical,0.5728126602589951,-0.6439556643339328,-0.0287477179711946,-0.5063400511777094,0.6850551962852478,0.5430514812469482,0.4855864942073822,0,0,0,-1,-1,33772.640579625,unknown,2,2022-06-02T10:39:56.942+02:00,2022-06-02T10:32:51.428+02:00,41,0.9590018,0,0,41.84445,0,0,2022-06-02T10:39:56.942+02:00,675851996.9421668,0,7.960938,101.0979,1,0.91
288,2022-06-02T10:39:57.939+02:00,1654159197.63129,53.2289604867897,10.39838170195477,36.75568,0.2350646,0.4033257,213.3502477826197,57.02888638743671,3.0,16.00241654736175,-9999,33773.63266054167,-6.054443359375,1.005767822265625,4.225234985351562,33773.62891054167,1.462819539612739,2.554166999328536,-0.4811365995512379,-23.57239151000977,20.55249977111816,-12.2632474899292,-5.866055011749268,1.089291095733643,2.535383701324463,XArbitraryZVertical,0.6722403888782359,-0.6457772105338572,-0.0180760196742862,-0.3615769048150942,0.4912991225719452,0.4627870321273804,0.7378706932067871,0,0,0,-1,-1,33772.640579625,unknown,2,2022-06-02T10:39:56.942+02:00,2022-06-02T10:32:51.428+02:00,41,0.9590018,0,0,41.84445,0,0,2022-06-02T10:39:56.942+02:00,675851996.9421668,0,7.960938,101.0979,1,0.91
