loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2022-06-02T10:45:09.179+02:00,1654159508.000392,53.22910972289806,10.39850977200478,36.8321,0.09007179,0.4595262,286.1195476527992,45.25140330419885,3,16.00241654736175,-9999,34078.58614175001,-0.2302703857421875,-0.2431793212890625,-0.9628753662109375,34078.58239175,2.735766963487586,-0.1940807292593686,0.2668190296854928,-0.02314687892794609,-0.07535049319267273,-0.1223827451467514,-0.0408124178647995,0.01778420805931091,-0.00300443172454834,XArbitraryZVertical,-0.1207364060847452,-0.1103204968458404,-0.9636158296587513,-0.2114159814785035,-0.186039999127388,-0.2636643648147583,-0.9465042352676392,0,0,0,-1,-1,34047.20251800001,unknown,2,2022-06-02T10:44:37.772+02:00,2022-06-02T10:32:51.428+02:00,59,2.210386,0,0,55.92561,0,0,2022-06-02T10:44:40.329+02:00,675852308.410167,0,11.30859,101.0568,1,0.9
2022-06-02T10:45:09.188+02:00,1654159508.000392,53.22910972289806,10.39850977200478,36.8321,0.09007179,0.4595262,286.1195476527992,45.25140330419885,3,16.00241654736175,-9999,34078.59611375001,-0.233367919921875,-0.246490478515625,-0.964111328125,34078.59236375,2.734662538875079,-0.193819747027959,0.266389217914843,-0.007854742929339409,0.01237909588962793,-0.07662618160247803,-0.04296024143695831,0.0209096372127533,-0.01514339447021484,XArbitraryZVertical,-0.1206314458120413,-0.1100732744024281,-0.9635467245188354,-0.2119192571140692,-0.1858147829771042,-0.2632497251033783,-0.9466638565063477,0,0,0,-1,-1,34047.20251800001,unknown,2,2022-06-02T10:44:37.772+02:00,2022-06-02T10:32:51.428+02:00,59,2.210386,0,0,55.92561,0,0,2022-06-02T10:44:40.329+02:00,675852308.410167,0,11.30859,101.0568,1,0.9
2022-06-02T10:45:09.190+02:00,1654159508.000392,53.22910972289806,10.39850977200478,36.8321,0.09007179,0.4595262,286.1195476527992,45.25140330419885,3,16.00241654736175,-9999,34078.60608675001,-0.202606201171875,-0.2438812255859375,-0.9655914306640625,34078.60233675,2.734027064988132,-0.1931634292847941,0.2661819501699609,0.009103823453187943,0.05879311263561249,-0.0489831417798996,-0.05019344389438629,0.01723065972328186,-0.01750105619430542,XArbitraryZVertical,-0.1203308391951631,-0.1100041805098825,-0.9635343368544909,-0.2121823727353845,-0.1852038949728012,-0.2630497813224792,-0.9468391537666321,0,0,0,-1,-1,34047.20251800001,unknown,2,2022-06-02T10:44:37.772+02:00,2022-06-02T10:32:51.428+02:00,59,2.210386,0,0,55.92561,0,0,2022-06-02T10:44:40.329+02:00,675852308.410167,0,11.30859,101.0568,1,0.9
2022-06-02T10:45:09.192+02:00,1654159508.000392,53.22910972289806,10.39850977200478,36.8321,0.09007179,0.4595262,286.1195476527992,45.25140330419885,3,16.00241654736175,-9999,34078.61605975001,-0.1778717041015625,-0.238525390625,-0.9648895263671875,34078.61230875,2.733490198328302,-0.1924236870209541,0.2663062438665609,0.02841653488576412,0.05863571912050247,-0.06863460689783096,-0.0232207179069519,0.01858657598495483,-0.01794570684432983,XArbitraryZVertical,-0.1200156444741827,-0.110110651414888,-0.9635125186575089,-0.2124044268497259,-0.1844971776008606,-0.2631696760654449,-0.9469437599182129,0,0,0,-1,-1,34047.20251800001,unknown,2,2022-06-02T10:44:37.772+02:00,2022-06-02T10:32:51.428+02:00,59,2.210386,0,0,55.92561,0,0,2022-06-02T10:44:40.329+02:00,675852308.410167,0,11.30859,101.0568,1,0.9
2022-06-02T10:45:09.200+02:00,1654159508.000392,53.22910972289806,10.39850977200478,36.8321,0.09007179,0.4595262,286.1195476527992,45.25140330419885,3,16.00241654736175,-9999,34078.62603175001,-0.1815185546875,-0.249542236328125,-0.96673583984375,34078.62228175,2.733034540537192,-0.1925398744289301,0.2664724652397013,0.02561484463512897,0.06131184101104736,-0.07440578937530518,0.005781054496765137,0.02591851353645325,-0.01851367950439453,XArbitraryZVertical,-0.1201122975181756,-0.1101514659709192,-0.9634447087869489,-0.2126358241942795,-0.1845988184213638,-0.2633300423622131,-0.9468793869018555,0,0,0,-1,-1,34047.20251800001,unknown,2,2022-06-02T10:44:37.772+02:00,2022-06-02T10:32:51.428+02:00,59,2.210386,0,0,55.92561,0,0,2022-06-02T10:44:40.329+02:00,675852308.410167,0,11.30859,101.0568,1,0.9
2022-06-02T10:45:09.210+02:00,1654159508.000392,53.22910972289806,10.39850977200478,36.8321,0.09007179,0.4595262,286.1195476527992,45.25140330419885,3,16.00241654736175,-9999,34078.63600475001,-0.1797332763671875,-0.2543487548828125,-0.9671783447265625,34078.63225475,2.732327246690839,-0.1917190255330274,0.2665715115261685,0.007695233449339867,0.05476871877908707,-0.07582658529281616,0.002420082688331604,0.01559236645698547,-0.01956295967102051,XArbitraryZVertical,-0.1197651515799497,-0.1102443410421482,-0.9634113698054706,-0.2129346232859822,-0.1838165372610092,-0.2634255886077881,-0.9470049738883972,0,0,0,-1,-1,34047.20251800001,unknown,2,2022-06-02T10:44:37.772+02:00,2022-06-02T10:32:51.428+02:00,59,2.210386,0,0,55.92561,0,0,2022-06-02T10:44:40.329+02:00,675852308.410167,0,11.30859,101.0568,1,0.9
2022-06-02T10:45:09.220+02:00,1654159508.000392,53.22910972289806,10.39850977200478,36.8321,0.09007179,0.4595262,286.1195476527992,45.25140330419885,3,16.00241654736175,-9999,34078.64597775,-0.1796417236328125,-0.26470947265625,-0.968048095703125,34078.64222675,2.731508240940369,-0.1906052113237713,0.266800294624748,-0.02158528938889503,0.05193991214036942,-0.06278741359710693,0.002742275595664978,0.01013675332069397,-0.01937228441238403,XArbitraryZVertical,-0.1192953471042599,-0.1104248627971736,-0.9633736717783704,-0.2132752190215905,-0.1827502250671387,-0.2636463046073914,-0.947149932384491,0,0,0,-1,-1,34047.20251800001,unknown,2,2022-06-02T10:44:37.772+02:00,2022-06-02T10:32:51.428+02:00,59,2.210386,0,0,55.92561,0,0,2022-06-02T10:44:40.329+02:00,675852308.410167,0,11.30859,101.0568,1,0.9
2022-06-02T10:45:09.230+02:00,1654159508.000392,53.22910972289806,10.39850977200478,36.8321,0.09007179,0.4595262,286.1195476527992,45.25140330419885,3,16.00241654736175,-9999,34078.65594975001,-0.1792144775390625,-0.278961181640625,-0.9594268798828125,34078.65219975,2.730865205559143,-0.190206351296978,0.2666242152967825,-0.04796736314892769,0.04997316747903824,-0.06411632895469666,0.002480074763298035,0.0003844201564788818,-0.02189362049102783,XArbitraryZVertical,-0.1191221062468877,-0.1103438323382121,-0.9633419105373509,-0.2135571854651619,-0.182381197810173,-0.2634764313697815,-0.9472683072090149,0,0,0,-1,-1,34047.20251800001,unknown,2,2022-06-02T10:44:37.772+02:00,2022-06-02T10:32:51.428+02:00,59,2.210386,0,0,55.92561,0,0,2022-06-02T10:44:40.329+02:00,675852308.410167,0,11.30859,101.0568,1,0.9
2022-06-02T10:45:09.240+02:00,1654159508.000392,53.22910972289806,10.39850977200478,36.8321,0.09007179,0.4595262,286.1195476527992,45.25140330419885,3,16.00241654736175,-9999,34078.66592275,-0.18511962890625,-0.2761383056640625,-0.95806884765625,34078.66217275,2.730266637574178,-0.1900156859454042,0.2659355670922998,-0.06855790317058563,0.05607225000858307,-0.06160548329353333,0.003737494349479675,-0.0147605836391449,-0.01203739643096924,XArbitraryZVertical,-0.1189981614864713,-0.1099951072315142,-0.9633404119482286,-0.2138125401220094,-0.1822348088026047,-0.2628120481967926,-0.9474810361862183,0,0,0,-1,-1,34047.20251800001,unknown,2,2022-06-02T10:44:37.772+02:00,2022-06-02T10:32:51.428+02:00,59,2.210386,0,0,55.92561,0,0,2022-06-02T10:44:40.329+02:00,675852308.410167,0,11.30859,101.0568,1,0.9
2022-06-02T10:45:09.250+02:00,1654159508.000392,53.22910972289806,10.39850977200478,36.8321,0.09007179,0.4595262,286.1195476527992,45.25140330419885,3,16.00241654736175,-9999,34078.67589575,-0.1922760009765625,-0.272857666015625,-0.952606201171875,34078.67214475,2.729679512787315,-0.1896940562917738,0.2650784425067742,-0.07069455832242966,0.07816903293132782,-0.05520430952310562,-0.002094298601150513,-0.01551139354705811,-0.01027786731719971,XArbitraryZVertical,-0.1187943185595262,-0.1095795641848262,-0.963360177093642,-0.2140497774535052,-0.181972473859787,-0.2619849741458893,-0.9477604627609253,0,0,0,-1,-1,34047.20251800001,unknown,2,2022-06-02T10:44:37.772+02:00,2022-06-02T10:32:51.428+02:00,59,2.210386,0,0,55.92561,0,0,2022-06-02T10:44:40.329+02:00,675852308.410167,0,11.30859,101.0568,1,0.9
