loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2022-06-02T11:02:03.161+02:00,1654160521.000437,53.22905873479596,10.3985349031276,38.36755,0.07410813,0.5324835,153.8203543731612,91.97995928937431,3,5.999684891258127,-9999,3630.426996375,0.1217193603515625,-0.427764892578125,-0.9053955078125,3630.421998375,0.01589780854136622,0.128218715308893,0.4425315781798247,-0.05623470619320869,0.09659325331449509,-0.04251643270254135,-0.0009414851665496826,0.002447307109832764,-0.00534355640411377,XArbitraryZVertical,0.2185101501977098,0.06424249663005321,0.02179876735264366,0.9734736176522328,0.1155502498149872,-0.4282285571098328,-0.896252453327179,0,0,0,-1,-1,3629.025778125,unknown,2,2022-06-02T11:02:01.737+02:00,2022-06-02T10:17:13.754+02:00,660,1.485084,0,0,531.9442,0,0,2022-06-02T11:02:01.737+02:00,675853321.7367381,0,6.441406,101.3052,1,0.76
2022-06-02T11:02:03.164+02:00,1654160521.000437,53.22905873479596,10.3985349031276,38.36755,0.07410813,0.5324835,153.8203543731612,91.97995928937431,3,5.999684891258127,-9999,3630.436991375,0.1016387939453125,-0.421875,-0.8968658447265625,3630.431993375,0.01531571399934242,0.1297044931171132,0.4419561090698788,-0.05291165038943291,0.07258452475070953,-0.03988409787416458,0.004805751144886017,-5.647540092468262e-05,-0.009071528911590576,XArbitraryZVertical,0.2182326351846667,0.06490401202486161,0.02166006644440376,0.9734950759933542,0.1169136017560959,-0.4277084469795227,-0.8963239789009094,0,0,0,-1,-1,3629.025778125,unknown,2,2022-06-02T11:02:01.737+02:00,2022-06-02T10:17:13.754+02:00,660,1.485084,0,0,531.9442,0,0,2022-06-02T11:02:01.737+02:00,675853321.7367381,0,6.441406,101.3052,1,0.76
2022-06-02T11:02:03.166+02:00,1654160521.000437,53.22905873479596,10.3985349031276,38.36755,0.07410813,0.5324835,153.8203543731612,91.97995928937431,3,5.999684891258127,-9999,3630.446986375,0.0911865234375,-0.4227447509765625,-0.903045654296875,3630.441988375,0.01484458029157219,0.1309447454621788,0.4412554666182437,-0.06478242576122284,0.07916945219039917,-0.03597990423440933,-0.0164254903793335,0.005200028419494629,-0.0003906488418579102,XArbitraryZVertical,0.2178934813621911,0.06545877241560956,0.02154428658480904,0.9735364427595072,0.118064284324646,-0.4270750284194946,-0.8964751362800598,0,0,0,-1,-1,3629.025778125,unknown,2,2022-06-02T11:02:01.737+02:00,2022-06-02T10:17:13.754+02:00,660,1.485084,0,0,531.9442,0,0,2022-06-02T11:02:01.737+02:00,675853321.7367381,0,6.441406,101.3052,1,0.76
2022-06-02T11:02:03.174+02:00,1654160521.000437,53.22905873479596,10.3985349031276,38.36755,0.07410813,0.5324835,153.8203543731612,91.97995928937431,3,5.999684891258127,-9999,3630.456981375,0.1047515869140625,-0.42633056640625,-0.9044189453125,3630.451983375,0.01456949711339346,0.1319555557755729,0.4404549327994103,-0.06579691916704178,0.09391624480485916,-0.0289502926170826,-0.02782881259918213,0.003606289625167847,-0.006351649761199951,XArbitraryZVertical,0.2175018538398219,0.06592375159899558,0.02149539296270946,0.9735937896906158,0.1190153360366821,-0.426351010799408,-0.896694004535675,0,0,0,-1,-1,3629.025778125,unknown,2,2022-06-02T11:02:01.737+02:00,2022-06-02T10:17:13.754+02:00,660,1.485084,0,0,531.9442,0,0,2022-06-02T11:02:01.737+02:00,675853321.7367381,0,6.441406,101.3052,1,0.76
2022-06-02T11:02:03.179+02:00,1654160521.000437,53.22905873479596,10.3985349031276,38.36755,0.07410813,0.5324835,153.8203543731612,91.97995928937431,3,5.999684891258127,-9999,3630.466975375,0.11566162109375,-0.430145263671875,-0.8963470458984375,3630.461978375,0.01426899201570718,0.1331727301327981,0.4396276375856535,-0.08107201009988785,0.09313540160655975,-0.03026402741670609,-0.01540187746286392,-0.0007280111312866211,-0.007521152496337891,XArbitraryZVertical,0.2170959214125526,0.06648671399774089,0.02145526532111204,0.9736469416423695,0.120153471827507,-0.425602525472641,-0.8968977332115173,0,0,0,-1,-1,3629.025778125,unknown,2,2022-06-02T11:02:01.737+02:00,2022-06-02T10:17:13.754+02:00,660,1.485084,0,0,531.9442,0,0,2022-06-02T11:02:01.737+02:00,675853321.7367381,0,6.441406,101.3052,1,0.76
2022-06-02T11:02:03.189+02:00,1654160521.000437,53.22905873479596,10.3985349031276,38.36755,0.07410813,0.5324835,153.8203543731612,91.97995928937431,3,5.999684891258127,-9999,3630.476970375,0.1227264404296875,-0.4341278076171875,-0.89276123046875,3630.471973375,0.01418095286877099,0.1338405336996742,0.4385887634878838,-0.1111565157771111,0.08896256238222122,-0.03885678574442863,-0.005149714648723602,-0.005483061075210571,0.0009080171585083008,XArbitraryZVertical,0.2165857877346784,0.06680622697186082,0.021451788607608,0.9737388612951073,0.1208113357424736,-0.4246622323989868,-0.8972550630569458,0,0,0,-1,-1,3629.025778125,unknown,2,2022-06-02T11:02:01.737+02:00,2022-06-02T10:17:13.754+02:00,660,1.485084,0,0,531.9442,0,0,2022-06-02T11:02:01.737+02:00,675853321.7367381,0,6.441406,101.3052,1,0.76
2022-06-02T11:02:03.199+02:00,1654160521.000437,53.22905873479596,10.3985349031276,38.36755,0.07410813,0.5324835,153.8203543731612,91.97995928937431,3,5.999684891258127,-9999,3630.486965375,0.129730224609375,-0.430755615234375,-0.8894195556640625,3630.481968375,0.01410179040691334,0.1343800293652243,0.4372266051073839,-0.1520213931798935,0.08940278738737106,-0.04730140045285225,0.001353681087493896,-0.01069921255111694,0.005000948905944824,XArbitraryZVertical,0.2159192871347213,0.06706557479028184,0.02142807923638035,0.9738695167487286,0.1213727667927742,-0.4234285950660706,-0.89776211977005,0,0,0,-1,-1,3629.025778125,unknown,2,2022-06-02T11:02:01.737+02:00,2022-06-02T10:17:13.754+02:00,660,1.485084,0,0,531.9442,0,0,2022-06-02T11:02:01.737+02:00,675853321.7367381,0,6.441406,101.3052,1,0.76
2022-06-02T11:02:03.209+02:00,1654160521.000437,53.22905873479596,10.3985349031276,38.36755,0.07410813,0.5324835,153.8203543731612,91.97995928937431,3,5.999684891258127,-9999,3630.496960375,0.1344451904296875,-0.4223175048828125,-0.88726806640625,3630.491963375,0.01390741154456867,0.1352004900934324,0.4356213995126897,-0.1642798483371735,0.08261691778898239,-0.0460146963596344,0.007529459893703461,-0.008781760931015015,0.008915066719055176,XArbitraryZVertical,0.2151352048376795,0.06745040004440689,0.02137028755037496,0.9740176648427336,0.1222007572650909,-0.42197385430336,-0.8983345627784729,0,0,0,-1,-1,3629.025778125,unknown,2,2022-06-02T11:02:01.737+02:00,2022-06-02T10:17:13.754+02:00,660,1.485084,0,0,531.9442,0,0,2022-06-02T11:02:01.737+02:00,675853321.7367381,0,6.441406,101.3052,1,0.76
2022-06-02T11:02:03.219+02:00,1654160521.000437,53.22905873479596,10.3985349031276,38.36755,0.07410813,0.5324835,153.8203543731612,91.97995928937431,3,5.999684891258127,-9999,3630.506955375,0.1395263671875,-0.41705322265625,-0.8955841064453125,3630.501957375,0.01366749766770037,0.1359943077169568,0.4340850530233054,-0.1322673261165619,0.06738682836294174,-0.04129424318671227,0.0114436000585556,-0.001736998558044434,0.01161050796508789,XArbitraryZVertical,0.2143864101387495,0.06781732322568555,0.02128899990550595,0.9741591382726591,0.1230015829205513,-0.4205804765224457,-0.8988785743713379,0,0,0,-1,-1,3629.025778125,unknown,2,2022-06-02T11:02:01.737+02:00,2022-06-02T10:17:13.754+02:00,660,1.485084,0,0,531.9442,0,0,2022-06-02T11:02:01.737+02:00,675853321.7367381,0,6.441406,101.3052,1,0.76
2022-06-02T11:02:03.229+02:00,1654160521.000437,53.22905873479596,10.3985349031276,38.36755,0.07410813,0.5324835,153.8203543731612,91.97995928937431,3,5.999684891258127,-9999,3630.516950375,0.1428375244140625,-0.4159088134765625,-0.8934173583984375,3630.511952375,0.0134065048680411,0.1367445740723744,0.4330041214395925,-0.08596228063106537,0.06617855280637741,-0.03714024275541306,0.01578851789236069,0.002546340227127075,0.003651797771453857,XArbitraryZVertical,0.2138606767580865,0.06815919243075853,0.02120701836793554,0.9742526315931915,0.1237378492951393,-0.4195995628833771,-0.8992358446121216,0,0,0,-1,-1,3629.025778125,unknown,2,2022-06-02T11:02:01.737+02:00,2022-06-02T10:17:13.754+02:00,660,1.485084,0,0,531.9442,0,0,2022-06-02T11:02:01.737+02:00,675853321.7367381,0,6.441406,101.3052,1,0.76
