loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2022-06-02T10:44:55.717+02:00,1654159495.580278,53.22891816840651,10.39822123507993,42.38792,-1,-1,-1,-1,25.85446548461914,40,-9999,2639.980389,-0.0238800048828125,-0.0653076171875,-1.011550903320312,2639.970395,-0.1697117767208875,0.1374463135118959,0.1324108702497353,0.09074728190898895,-0.0899936705827713,0.04532207548618317,-0.0963248610496521,0.1527609527111053,-0.08014410734176636,XArbitraryZVertical,0.07157068060967979,0.06267825544236148,-0.07984219535750194,0.9922570839062618,0.1358146071434021,-0.1320242881774902,-0.9818981289863586,0,0,0,-1,-1,2637.99328225,unknown,2,2022-06-02T10:44:53.715+02:00,2022-06-02T10:17:13.754+02:00,448,1.355087,0,0,345.1212,0,0,2022-06-02T10:44:53.715+02:00,675852293.7147326,0,7.382812,101.2926,1,0.82
2022-06-02T10:44:55.719+02:00,1654159495.580278,53.22891816840651,10.39822123507993,42.38792,-1,-1,-1,-1,25.85446548461914,40,-9999,2639.990384,0.0836639404296875,-0.1332550048828125,-0.992889404296875,2639.980389,-0.1695220833704581,0.1372888524162407,0.1342905012974255,0.2483217269182205,0.04013343527913094,0.02842884510755539,-0.1843013167381287,0.09218493103981018,-0.05424720048904419,XArbitraryZVertical,0.07249024671627244,0.06252343755689234,-0.07968433438727837,0.9922128666188069,0.1356257945299149,-0.1338872313499451,-0.9816719889640808,0,0,0,-1,-1,2637.99328225,unknown,2,2022-06-02T10:44:53.715+02:00,2022-06-02T10:17:13.754+02:00,448,1.355087,0,0,345.1212,0,0,2022-06-02T10:44:53.715+02:00,675852293.7147326,0,7.382812,101.2926,1,0.82
2022-06-02T10:44:55.725+02:00,1654159495.580278,53.22891816840651,10.39822123507993,42.38792,-1,-1,-1,-1,25.85446548461914,40,-9999,2640.000378,0.1688690185546875,-0.1917877197265625,-0.9807586669921875,2639.990384,-0.1695033157449843,0.1378957364969094,0.1368099767954468,0.2410675436258316,0.06634720414876938,0.04489570111036301,-0.1173606365919113,0.04043631255626678,-0.01795428991317749,XArbitraryZVertical,0.07376269994582461,0.06271320141960363,-0.07955954578550718,0.9921170573412694,0.1361747235059738,-0.136383593082428,-0.9812522530555725,0,0,0,-1,-1,2637.99328225,unknown,2,2022-06-02T10:44:53.715+02:00,2022-06-02T10:17:13.754+02:00,448,1.355087,0,0,345.1212,0,0,2022-06-02T10:44:53.715+02:00,675852293.7147326,0,7.382812,101.2926,1,0.82
2022-06-02T10:44:55.732+02:00,1654159495.580278,53.22891816840651,10.39822123507993,42.38792,-1,-1,-1,-1,25.85446548461914,40,-9999,2640.010373,0.1768341064453125,-0.1998138427734375,-0.9910888671875,2640.000378,-0.1692222431187413,0.1383942558206315,0.1388533128473515,0.1499096751213074,0.03942343965172768,0.05019539222121239,-0.007093280553817749,-0.02866095304489136,-0.007954895496368408,XArbitraryZVertical,0.07478643656050894,0.06288008658288591,-0.07932557997359568,0.9920485631358783,0.1366251558065414,-0.1384075582027435,-0.9809061884880066,0,0,0,-1,-1,2637.99328225,unknown,2,2022-06-02T10:44:53.715+02:00,2022-06-02T10:17:13.754+02:00,448,1.355087,0,0,345.1212,0,0,2022-06-02T10:44:53.715+02:00,675852293.7147326,0,7.382812,101.2926,1,0.82
2022-06-02T10:44:55.743+02:00,1654159495.580278,53.22891816840651,10.39822123507993,42.38792,-1,-1,-1,-1,25.85446548461914,40,-9999,2640.020367,0.1324615478515625,-0.1704559326171875,-1.025726318359375,2640.010373,-0.1690535745536194,0.1386173228050769,0.1397689752277637,0.03046519868075848,0.01869159564375877,-0.003212505020201206,0.04238808155059814,-0.06408531963825226,-0.0002225041389465332,XArbitraryZVertical,0.07524377375302196,0.06295636985552187,-0.07919936772225239,0.9920193288065818,0.1368263959884644,-0.1393143534660339,-0.9807497262954712,0,0,0,-1,-1,2637.99328225,unknown,2,2022-06-02T10:44:53.715+02:00,2022-06-02T10:17:13.754+02:00,448,1.355087,0,0,345.1212,0,0,2022-06-02T10:44:53.715+02:00,675852293.7147326,0,7.382812,101.2926,1,0.82
2022-06-02T10:44:55.752+02:00,1654159495.580278,53.22891816840651,10.39822123507993,42.38792,-1,-1,-1,-1,25.85446548461914,40,-9999,2640.030362,0.096649169921875,-0.131988525390625,-1.043807983398438,2640.020367,-0.1692605071492811,0.1389505145956529,0.1395930134791151,-0.04995347559452057,0.04957760497927666,-0.03917423263192177,0.01710981130599976,-0.04828363656997681,-0.0279996395111084,XArbitraryZVertical,0.07517629137217254,0.06312167350918146,-0.07929605825704798,0.9920062270473924,0.1371565461158752,-0.1391400992870331,-0.9807283878326416,0,0,0,-1,-1,2637.99328225,unknown,2,2022-06-02T10:44:53.715+02:00,2022-06-02T10:17:13.754+02:00,448,1.355087,0,0,345.1212,0,0,2022-06-02T10:44:53.715+02:00,675852293.7147326,0,7.382812,101.2926,1,0.82
2022-06-02T10:44:55.762+02:00,1654159495.580278,53.22891816840651,10.39822123507993,42.38792,-1,-1,-1,-1,25.85446548461914,40,-9999,2640.040357,0.1048736572265625,-0.1065826416015625,-1.041732788085938,2640.030362,-0.1693975102579221,0.1397163439183838,0.1389071704605649,-0.07365830987691879,0.1067598685622215,-0.003555985167622566,-0.03078886866569519,-0.01171612739562988,-0.05845201015472412,XArbitraryZVertical,0.0748711185166972,0.06352690606023047,-0.07936103358680922,0.9919981097913616,0.1379208415746689,-0.1384608894586563,-0.9807173013687134,0,0,0,-1,-1,2637.99328225,unknown,2,2022-06-02T10:44:53.715+02:00,2022-06-02T10:17:13.754+02:00,448,1.355087,0,0,345.1212,0,0,2022-06-02T10:44:53.715+02:00,675852293.7147326,0,7.382812,101.2926,1,0.82
2022-06-02T10:44:55.773+02:00,1654159495.580278,53.22891816840651,10.39822123507993,42.38792,-1,-1,-1,-1,25.85446548461914,40,-9999,2640.050351,0.1342620849609375,-0.1128082275390625,-1.0289306640625,2640.040357,-0.1690909742621243,0.140935550131637,0.1382183719093701,-0.06602782011032104,0.1502894908189774,0.03815897181630135,-0.04312148690223694,0.02152195572853088,-0.06594246625900269,XArbitraryZVertical,0.07456828709628086,0.06417370817345462,-0.07918944407808093,0.991993136656984,0.1391298025846481,-0.1377786993980408,-0.9806426167488098,0,0,0,-1,-1,2637.99328225,unknown,2,2022-06-02T10:44:53.715+02:00,2022-06-02T10:17:13.754+02:00,448,1.355087,0,0,345.1212,0,0,2022-06-02T10:44:53.715+02:00,675852293.7147326,0,7.382812,101.2926,1,0.82
2022-06-02T10:44:55.782+02:00,1654159495.580278,53.22891816840651,10.39822123507993,42.38792,-1,-1,-1,-1,25.85446548461914,40,-9999,2640.060346,0.1654205322265625,-0.1332550048828125,-1.009780883789062,2640.050351,-0.1686095166622597,0.1424587291214364,0.1376534773441988,-0.05954951420426369,0.1696369051933289,0.0277845598757267,-0.02308064699172974,0.0301024466753006,-0.05658763647079468,XArbitraryZVertical,0.07433299854004899,0.06497219278454343,-0.07891545801252299,0.9919806272675363,0.1406343579292297,-0.137219175696373,-0.980506420135498,0,0,0,-1,-1,2637.99328225,unknown,2,2022-06-02T10:44:53.715+02:00,2022-06-02T10:17:13.754+02:00,448,1.355087,0,0,345.1212,0,0,2022-06-02T10:44:53.715+02:00,675852293.7147326,0,7.382812,101.2926,1,0.82
2022-06-02T10:44:55.792+02:00,1654159495.580278,53.22891816840651,10.39822123507993,42.38792,-1,-1,-1,-1,25.85446548461914,40,-9999,2640.07034,0.173858642578125,-0.1455841064453125,-0.9785308837890625,2640.060346,-0.1684002157434452,0.1440721571915874,0.1370974816832169,-0.05270865187048912,0.1639672964811325,-0.007399526424705982,0.009094342589378357,0.01472014188766479,-0.04059672355651855,XArbitraryZVertical,0.07411422915823493,0.06580483638364401,-0.07877315475769954,0.9919533779530483,0.1422270834445953,-0.1366684138774872,-0.9803535938262939,0,0,0,-1,-1,2637.99328225,unknown,2,2022-06-02T10:44:53.715+02:00,2022-06-02T10:17:13.754+02:00,448,1.355087,0,0,345.1212,0,0,2022-06-02T10:44:53.715+02:00,675852293.7147326,0,7.382812,101.2926,1,0.82
