,loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
186,2022-06-02T10:55:56.609+02:00,1654160152.999776,53.22881542151163,10.39860147983804,40.05172,0,0.31,107.9296875,18.71859275064163,4,5,-9999,3294.750013416667,0.857391357421875,0.529266357421875,1.670303344726562,3294.740019416667,-1.301122254852919,1.862475406566302,0.0030904258950583,-3.219460725784302,5.300881385803223,2.633569955825806,-0.2742708921432495,0.7920766472816467,1.202018737792969,XArbitraryZVertical,0.4866685413481736,0.6379133554964991,-0.3604798333881096,0.4756833263806245,0.9577578902244568,-0.0030904209706932,0.287559449672699,0,0,0,-1,-1,3294.316185416667,walking,2,2022-06-02T10:55:56.174+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:56.174+02:00,675852956.1742305,0,4.382812,101.3313,1,0.77
187,2022-06-02T10:55:56.619+02:00,1654160152.999776,53.22881542151163,10.39860147983804,40.05172,0,0.31,107.9296875,18.71859275064163,4,5,-9999,3294.760007416667,0.9113616943359376,0.495819091796875,1.795608520507812,3294.750013416667,-1.276711520452077,1.917421487726254,0.0368317707683685,-3.522174119949341,5.814401149749756,2.225462675094604,-0.1577211618423462,0.7152597308158875,1.218625426292419,XArbitraryZVertical,0.4961098518546333,0.6508629893192929,-0.3302139805775944,0.4703308743815448,0.939886748790741,-0.0368234440684318,0.3394952416419983,0,0,0,-1,-1,3294.316185416667,walking,2,2022-06-02T10:55:56.174+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:56.174+02:00,675852956.1742305,0,4.382812,101.3313,1,0.77
188,2022-06-02T10:55:56.629+02:00,1654160152.999776,53.22881542151163,10.39860147983804,40.05172,0,0.31,107.9296875,18.71859275064163,4,5,-9999,3294.770002416667,0.957916259765625,0.5544586181640625,1.862503051757812,3294.760007416667,-1.250750860216798,1.976459900596403,0.0686583167721992,-3.623142719268799,6.256706714630127,1.80834949016571,-0.059284508228302,0.5978707075119019,1.276604533195496,XArbitraryZVertical,0.50386307835185,0.6655609435963905,-0.2986432135398336,0.4625610859103092,0.9166757464408876,-0.0686043873429298,0.3936987519264221,0,0,0,-1,-1,3294.316185416667,walking,2,2022-06-02T10:55:56.174+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:56.174+02:00,675852956.1742305,0,4.382812,101.3313,1,0.77
189,2022-06-02T10:55:56.640+02:00,1654160152.999776,53.22881542151163,10.39860147983804,40.05172,0,0.31,107.9296875,18.71859275064163,4,5,-9999,3294.779996416667,0.9217071533203124,0.5816497802734375,2.003265380859375,3294.770002416667,-1.22441718543814,2.039165016912551,0.0986844373955497,-3.687102317810059,6.724781036376953,1.412267327308655,0.0233972072601318,0.5943434238433838,1.346373558044434,XArbitraryZVertical,0.5101045605295148,0.6814768926628451,-0.266218163565903,0.4522282584945829,0.8879644274711609,-0.0985243394970893,0.4492348432540894,0,0,0,-1,-1,3294.316185416667,walking,2,2022-06-02T10:55:56.174+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:56.174+02:00,675852956.1742305,0,4.382812,101.3313,1,0.77
190,2022-06-02T10:55:56.649+02:00,1654160152.999776,53.22881542151163,10.39860147983804,40.05172,0,0.31,107.9296875,18.71859275064163,4,5,-9999,3294.789990416667,0.969573974609375,0.697265625,2.248245239257812,3294.779996416667,-1.197396754542283,2.105677116842857,0.1267960028749577,-3.753299951553345,7.174416542053223,0.9235373735427856,0.1044934391975403,0.6809151768684387,1.35685658454895,XArbitraryZVertical,0.5145740418019399,0.6985962168151539,-0.2329943405052923,0.4391928217589204,0.8534225821495056,-0.1264565140008926,0.5056462287902832,0,0,0,-1,-1,3294.316185416667,walking,2,2022-06-02T10:55:56.174+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:56.174+02:00,675852956.1742305,0,4.382812,101.3313,1,0.77
191,2022-06-02T10:55:56.659+02:00,1654160152.999776,53.22881542151163,10.39860147983804,40.05172,0,0.31,107.9296875,18.71859275064163,4,5,-9999,3294.799984416667,0.9771881103515624,0.8294219970703125,2.545333862304688,3294.789990416667,-1.168828644422362,2.175748952627426,0.1527733330944666,-3.782798528671265,7.665303230285645,0.3832499086856842,0.1087582111358643,0.7338295578956604,1.441166162490845,XArbitraryZVertical,0.5167493589469608,0.7169516018164905,-0.1990816467116879,0.4234582484203211,0.8129487633705139,-0.1521797478199005,0.5620989799499512,0,0,0,-1,-1,3294.316185416667,walking,2,2022-06-02T10:55:56.174+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:56.174+02:00,675852956.1742305,0,4.382812,101.3313,1,0.77
192,2022-06-02T10:55:56.669+02:00,1654160152.999776,53.22881542151163,10.39860147983804,40.05172,0,0.31,107.9296875,18.71859275064163,4,5,-9999,3294.809979416667,0.850555419921875,0.8497467041015625,2.968475341796875,3294.799984416667,-1.138265870609467,2.250552659318367,0.1768414279574722,-3.981142282485962,8.310461044311523,-0.1456416249275208,0.2039773464202881,0.8731867074966431,1.629445195198059,XArbitraryZVertical,0.5164529900557902,0.736665673164371,-0.1641954797313717,0.4045242254564113,0.7655966877937317,-0.1759211421012878,0.6187999844551086,0,0,0,-1,-1,3294.316185416667,walking,2,2022-06-02T10:55:56.174+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:56.174+02:00,675852956.1742305,0,4.382812,101.3313,1,0.77
193,2022-06-02T10:55:56.679+02:00,1654160152.999776,53.22881542151163,10.39860147983804,40.05172,0,0.31,107.9296875,18.71859275064163,4,5,-9999,3294.819973416667,0.641937255859375,1.009124755859375,3.51116943359375,3294.809979416667,-1.103240807594729,2.330565860999847,0.199678543669552,-4.196876049041748,9.021347045898438,-0.9895407557487488,0.2665987610816956,1.02777636051178,1.870264768600464,XArbitraryZVertical,0.5126561114538348,0.758101687797271,-0.1277053089478511,0.3823045153276088,0.7105892300605774,-0.1983542740345001,0.6750689148902893,0,0,0,-1,-1,3294.316185416667,walking,2,2022-06-02T10:55:56.174+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:56.174+02:00,675852956.1742305,0,4.382812,101.3313,1,0.77
194,2022-06-02T10:55:56.689+02:00,1654160152.999776,53.22881542151163,10.39860147983804,40.05172,0,0.31,107.9296875,18.71859275064163,4,5,-9999,3294.829967416667,0.35992431640625,1.221084594726562,4.118026733398438,3294.819973416667,-1.06090857379757,2.415681228498355,0.2215281681030477,-4.751773357391357,9.777509689331056,-1.967244625091553,0.2029598951339722,1.069467425346375,2.23885703086853,XArbitraryZVertical,0.5039186644877828,0.7815849451586373,-0.0893867885415652,0.3566522385557045,0.6475954055786133,-0.2197207063436508,0.7296180725097656,0,0,0,-1,-1,3294.316185416667,walking,2,2022-06-02T10:55:56.174+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:56.174+02:00,675852956.1742305,0,4.382812,101.3313,1,0.77
195,2022-06-02T10:55:56.699+02:00,1654160152.999776,53.22881542151163,10.39860147983804,40.05172,0,0.31,107.9296875,18.71859275064163,4,5,-9999,3294.839961416667,0.0170745849609375,1.471099853515625,4.92230224609375,3294.829967416667,-1.007862065569288,2.504585906023172,0.2451611720261537,-5.396697044372559,10.46835517883301,-3.089093685150146,0.0649306774139404,1.251837372779846,2.731327056884766,XArbitraryZVertical,0.4886744131936864,0.8069191148630335,-0.0483856571315212,0.3282341935897034,0.5770065784454346,-0.242712676525116,0.7798422574996948,0,0,0,-1,-1,3294.316185416667,walking,2,2022-06-02T10:55:56.174+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:56.174+02:00,675852956.1742305,0,4.382812,101.3313,1,0.77
