,loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
448,2022-06-02T11:06:08.713+02:00,1654160768.48912,53.22902769501223,10.39846321744277,37.3933,0.2641875,0.7927575,216.3806251324359,46.26193373641607,2.400000095367432,7.999579855010836,-9999,3852.848795375,1.152084350585938,-0.053466796875,0.5430908203125,3852.848795375,-2.311476852121104,0.2828845717492201,0.6953962435276452,-10.80828762054443,11.62132835388184,-7.942453384399414,0.8818016648292542,0.2218665480613708,1.084206819534302,XArbitraryZVertical,0.2573088873840159,-0.2552461549862605,-0.8323725046207523,0.4192819865463929,0.2143134623765945,-0.6406897306442261,-0.7372830510139465,0,0,0,-1,-1,3851.321616,unknown,2,2022-06-02T11:06:07.184+02:00,2022-06-02T10:17:13.754+02:00,739,1.523163,0.0,0,592.3977,0,0,2022-06-02T11:06:07.184+02:00,675853567.1838299,0,4.363281,101.3304,1,0.75
449,2022-06-02T11:06:08.722+02:00,1654160768.48912,53.22902769501223,10.39846321744277,37.3933,0.2641875,0.7927575,216.3806251324359,46.26193373641607,2.400000095367432,7.999579855010836,-9999,3852.858789375,0.9730224609375,0.5713043212890625,0.958953857421875,3852.848795375,-2.311476852121104,0.2828845717492201,0.6953962435276452,-10.80828762054443,11.62132835388184,-7.942453384399414,0.8818016648292542,0.2218665480613708,1.084206819534302,XArbitraryZVertical,0.2573088873840159,-0.2552461549862605,-0.8323725046207523,0.4192819865463929,0.2143134623765945,-0.6406897306442261,-0.7372830510139465,0,0,0,-1,-1,3851.321616,unknown,2,2022-06-02T11:06:07.184+02:00,2022-06-02T10:17:13.754+02:00,739,1.523163,0.0,0,592.3977,0,0,2022-06-02T11:06:07.184+02:00,675853567.1838299,0,4.363281,101.3304,1,0.75
450,2022-06-02T11:06:08.732+02:00,1654160768.48912,53.22902769501223,10.39846321744277,37.3933,0.2641875,0.7927575,216.3806251324359,46.26193373641607,2.400000095367432,7.999579855010836,-9999,3852.868784375,0.8286895751953125,1.03594970703125,1.24871826171875,3852.858789375,-2.347808761727149,0.4348968117173337,0.5547213586858674,-13.58944892883301,14.42593574523926,-7.421389102935791,0.7330625653266907,0.8117865324020386,1.504989147186279,XArbitraryZVertical,0.294717381634313,-0.1663791252392536,-0.8432958612176592,0.4175064354796159,0.3581391870975494,-0.5267064571380615,-0.7709193229675293,0,0,0,-1,-1,3851.321616,unknown,2,2022-06-02T11:06:07.184+02:00,2022-06-02T10:17:13.754+02:00,739,1.523163,0.0,0,592.3977,0,0,2022-06-02T11:06:07.184+02:00,675853567.1838299,0,4.363281,101.3304,1,0.75
451,2022-06-02T11:06:08.742+02:00,1654160768.48912,53.22902769501223,10.39846321744277,37.3933,0.2641875,0.7927575,216.3806251324359,46.26193373641607,2.400000095367432,7.999579855010836,-9999,3852.878779375,0.5071258544921875,1.371719360351562,1.273147583007812,3852.868784375,-2.333046102497656,0.5871143183624395,0.3910942785440052,-16.35559844970703,17.27023124694824,-6.268409729003906,0.3465098738670349,1.200643181800842,1.944713115692139,XArbitraryZVertical,0.3341229019255885,-0.0593477196192992,-0.8411695726118418,0.4210386386510633,0.5121326446533203,-0.3812002837657928,-0.7696794867515564,0,0,0,-1,-1,3851.321616,unknown,2,2022-06-02T11:06:07.184+02:00,2022-06-02T10:17:13.754+02:00,739,1.523163,0.0,0,592.3977,0,0,2022-06-02T11:06:07.184+02:00,675853567.1838299,0,4.363281,101.3304,1,0.75
452,2022-06-02T11:06:08.752+02:00,1654160768.48912,53.22902769501223,10.39846321744277,37.3933,0.2641875,0.7927575,216.3806251324359,46.26193373641607,2.400000095367432,7.999579855010836,-9999,3852.888773375,0.386138916015625,1.847885131835938,1.529815673828125,3852.878779375,-2.265259858789556,0.7529732018338844,0.2189641536365252,-18.65544128417969,19.79916191101074,-4.870050430297852,0.0690426230430603,1.414484262466431,1.956942081451416,XArbitraryZVertical,0.3740416481573278,0.063042965877097,-0.8200238178161138,0.4285780675351494,0.6674838066101074,-0.2172186225652695,-0.7122368812561035,0,0,0,-1,-1,3851.321616,unknown,2,2022-06-02T11:06:07.184+02:00,2022-06-02T10:17:13.754+02:00,739,1.523163,0.0,0,592.3977,0,0,2022-06-02T11:06:07.184+02:00,675853567.1838299,0,4.363281,101.3304,1,0.75
453,2022-06-02T11:06:08.762+02:00,1654160768.48912,53.22902769501223,10.39846321744277,37.3933,0.2641875,0.7927575,216.3806251324359,46.26193373641607,2.400000095367432,7.999579855010836,-9999,3852.898768375,0.3110504150390625,1.53466796875,1.673965454101562,3852.888773375,-2.144108451306169,0.9438059807095246,0.0635887844302825,-19.98609924316406,21.60890007019043,-2.470453977584839,-0.4117980003356934,1.721245527267456,1.993483304977417,XArbitraryZVertical,0.4125489224438086,0.1924608807487529,-0.7748961135336337,0.4385180720536143,0.8081602454185486,-0.0635459423065185,-0.5855243802070618,0,0,0,-1,-1,3851.321616,unknown,2,2022-06-02T11:06:07.184+02:00,2022-06-02T10:17:13.754+02:00,739,1.523163,0.0,0,592.3977,0,0,2022-06-02T11:06:07.184+02:00,675853567.1838299,0,4.363281,101.3304,1,0.75
454,2022-06-02T11:06:08.772+02:00,1654160768.48912,53.22902769501223,10.39846321744277,37.3933,0.2641875,0.7927575,216.3806251324359,46.26193373641607,2.400000095367432,7.999579855010836,-9999,3852.908763375,-0.0207977294921875,0.9557342529296876,1.922958374023438,3852.898768375,-1.972889332359641,1.166094986847592,-0.0474719328385997,-20.94812202453613,22.91399765014648,0.1334289014339447,-0.5602591037750244,1.733612775802612,1.998769402503967,XArbitraryZVertical,0.4481551214467245,0.3201666113987696,-0.7032845652503676,0.44948986234606,0.918184459209442,0.0474541038274765,-0.3933006525039673,0,0,0,-1,-1,3851.321616,unknown,2,2022-06-02T11:06:07.184+02:00,2022-06-02T10:17:13.754+02:00,739,1.523163,0.0,0,592.3977,0,0,2022-06-02T11:06:07.184+02:00,675853567.1838299,0,4.363281,101.3304,1,0.75
455,2022-06-02T11:06:08.782+02:00,1654160768.48912,53.22902769501223,10.39846321744277,37.3933,0.2641875,0.7927575,216.3806251324359,46.26193373641607,2.400000095367432,7.999579855010836,-9999,3852.918757375,-1.227645874023438,0.1735076904296875,2.027084350585938,3852.908763375,-1.765021836860404,1.415649201326148,-0.0916692847482493,-21.33440017700195,23.82317161560059,2.925520420074463,-0.7524715662002563,1.161617636680603,1.947333693504333,XArbitraryZVertical,0.4795191315489233,0.4394577134426566,-0.6051111761443865,0.4591063909822113,0.9838404655456544,0.0915409550070762,-0.1538766473531723,0,0,0,-1,-1,3851.321616,unknown,2,2022-06-02T11:06:07.184+02:00,2022-06-02T10:17:13.754+02:00,739,1.523163,0.0,0,592.3977,0,0,2022-06-02T11:06:07.184+02:00,675853567.1838299,0,4.363281,101.3304,1,0.75
456,2022-06-02T11:06:08.792+02:00,1654160768.48912,53.22902769501223,10.39846321744277,37.3933,0.2641875,0.7927575,216.3806251324359,46.26193373641607,2.400000095367432,7.999579855010836,-9999,3852.928752375,-3.02984619140625,-1.192886352539062,2.217025756835938,3852.918757375,-1.559004016765658,1.674075996783409,-0.0533831130123751,-19.40108680725098,24.55134582519531,5.870983600616455,-1.525114774703979,0.5708182454109192,1.886079549789429,XArbitraryZVertical,0.5091386711792747,0.5406037847243721,-0.4846547174595686,0.4622066775892234,0.99325430393219,0.0533577613532543,0.1029492765665054,0,0,0,-1,-1,3851.321616,unknown,2,2022-06-02T11:06:07.184+02:00,2022-06-02T10:17:13.754+02:00,739,1.523163,0.0,0,592.3977,0,0,2022-06-02T11:06:07.184+02:00,675853567.1838299,0,4.363281,101.3304,1,0.75
457,2022-06-02T11:06:08.802+02:00,1654160768.48912,53.22902769501223,10.39846321744277,37.3933,0.2641875,0.7927575,216.3806251324359,46.26193373641607,2.400000095367432,7.999579855010836,-9999,3852.938746375,-5.39599609375,-2.87908935546875,2.904129028320312,3852.928752375,-1.40924548669106,1.922740375535634,0.0541675954447028,-14.4437952041626,24.96190643310547,8.398110389709473,-2.995173692703247,-0.379849374294281,1.744374752044678,XArbitraryZVertical,0.5427515621631683,0.6144343598112917,-0.3537148370052483,0.4503075100615072,0.9373273849487304,-0.0541411116719245,0.3442176878452301,0,0,0,-1,-1,3851.321616,unknown,2,2022-06-02T11:06:07.184+02:00,2022-06-02T10:17:13.754+02:00,739,1.523163,0.0,0,592.3977,0,0,2022-06-02T11:06:07.184+02:00,675853567.1838299,0,4.363281,101.3304,1,0.75
