loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt)
2022-06-30T09:18:34.818+02:00,3109.214185041667,0.1617584228515625,-0.31317138671875,-0.9121856689453125,3109.204233041667,2.360602031290916,0.1613533464309226,0.3137851905856118,-0.2008657604455948,0.007495722733438015,0.05407695099711418,-0.02402544021606445,0.06182020902633667,0.02232831716537476,XArbitraryZVertical,-0.01432470761081735,0.1743166032749792,0.9151851406172262,0.3631042228262863,0.1528097093105316,-0.3086611926555634,-0.938817024230957,0,0,0,-1,-1,3108.688408541667,unknown,2,2022-06-30T09:18:34.269+02:00,2022-06-30T08:20:05.567+02:00,926,1.452099,0,0,719.4605,0,0,2022-06-30T09:18:24.071+02:00
2022-06-30T09:18:34.820+02:00,3109.224136041667,0.1574554443359375,-0.2773895263671875,-0.9238433837890625,3109.214185041667,2.36192216871492,0.1595803156346094,0.3102969103586471,-0.3721213936805725,-0.04147714376449585,0.04064583033323288,-0.03377652168273926,0.004438459873199463,0.02733242511749268,XArbitraryZVertical,-0.01430090299215783,0.1724052735513571,0.915634760417891,0.3628841478370183,0.1513150930404663,-0.3053413927555084,-0.9401438236236572,0,0,0,-1,-1,3108.688408541667,unknown,2,2022-06-30T09:18:34.269+02:00,2022-06-30T08:20:05.567+02:00,926,1.452099,0,0,719.4605,0,0,2022-06-30T09:18:24.071+02:00
2022-06-30T09:18:34.821+02:00,3109.234088041667,0.1229248046875,-0.2534637451171875,-0.9178009033203125,3109.224136041667,2.363649110968274,0.158018418866559,0.3065614213786316,-0.3714720606803894,-0.004581869579851627,0.1308294832706451,0.01173359155654907,-0.01138883829116821,0.02931308746337891,XArbitraryZVertical,-0.01445312342572085,0.1704162222350351,0.9161682037487996,0.3624712304702049,0.1500249356031418,-0.3017821609973907,-0.9414988160133362,0,0,0,-1,-1,3108.688408541667,unknown,2,2022-06-30T09:18:34.269+02:00,2022-06-30T08:20:05.567+02:00,926,1.452099,0,0,719.4605,0,0,2022-06-30T09:18:24.071+02:00
2022-06-30T09:18:34.825+02:00,3109.244039041667,0.110382080078125,-0.2668914794921875,-0.90362548828125,3109.234088041667,2.365993657041531,0.1575582864845916,0.3029565835901417,-0.3424047231674194,0.05187927559018135,0.2002466470003128,0.007694125175476074,0.02095431089401245,0.01879256963729858,XArbitraryZVertical,-0.01513354040534265,0.1686800224281925,0.9167953251445783,0.3616691341165187,0.149761438369751,-0.2983434498310089,-0.9426360726356506,0,0,0,-1,-1,3108.688408541667,unknown,2,2022-06-30T09:18:34.269+02:00,2022-06-30T08:20:05.567+02:00,926,1.452099,0,0,719.4605,0,0,2022-06-30T09:18:24.071+02:00
2022-06-30T09:18:34.835+02:00,3109.253991041667,0.1440277099609375,-0.305267333984375,-0.89874267578125,3109.244039041667,2.368552384151191,0.1574406632600427,0.299399181058017,-0.4016813635826111,0.04052340984344482,0.1739162355661392,-0.02689109742641449,0.0414828360080719,0.0258948802947998,XArbitraryZVertical,-0.01597569310981758,0.1670234409505052,0.9174524410470716,0.3607342118654716,0.149816021323204,-0.294946163892746,-0.9436959028244019,0,0,0,-1,-1,3108.688408541667,unknown,2,2022-06-30T09:18:34.269+02:00,2022-06-30T08:20:05.567+02:00,926,1.452099,0,0,719.4605,0,0,2022-06-30T09:18:24.071+02:00
2022-06-30T09:18:34.845+02:00,3109.263942041667,0.175445556640625,-0.3171234130859375,-0.9178924560546875,3109.253991041667,2.370671712281219,0.1568932953020347,0.2949087289587151,-0.5127100944519043,-0.02450965158641338,0.09829923510551453,-0.03912270069122314,0.02376148104667664,0.0414508581161499,XArbitraryZVertical,-0.01675792182490307,0.1648665170762495,0.9180801421723974,0.3600932864714389,0.1495048850774765,-0.2906525135040283,-0.9450764060020447,0,0,0,-1,-1,3108.688408541667,unknown,2,2022-06-30T09:18:34.269+02:00,2022-06-30T08:20:05.567+02:00,926,1.452099,0,0,719.4605,0,0,2022-06-30T09:18:24.071+02:00
2022-06-30T09:18:34.855+02:00,3109.273894041667,0.1638031005859375,-0.2970733642578125,-0.9286041259765625,3109.263942041667,2.372367633797271,0.1563153510859884,0.2900017022544428,-0.5092328786849976,-0.03859975934028625,0.09643076360225677,-0.005151063203811646,-0.01931306719779968,0.04781734943389893,XArbitraryZVertical,-0.0175661483545271,0.1625157465774202,0.9186492893933166,0.3596717300457825,0.1491788923740387,-0.2859538495540619,-0.9465601444244385,0,0,0,-1,-1,3108.688408541667,unknown,2,2022-06-30T09:18:34.269+02:00,2022-06-30T08:20:05.567+02:00,926,1.452099,0,0,719.4605,0,0,2022-06-30T09:18:24.071+02:00
2022-06-30T09:18:34.865+02:00,3109.283845041667,0.13604736328125,-0.268646240234375,-0.9314727783203125,3109.273894041667,2.374188002980475,0.1558325335486228,0.2856418642772583,-0.471926212310791,-0.02678783982992172,0.1216080188751221,0.02653172612190247,-0.03534966707229614,0.02996206283569336,XArbitraryZVertical,-0.0183199628935933,0.1604277376995447,0.919206645336994,0.3591469968289006,0.1489139497280121,-0.2817733585834503,-0.9478546380996704,0,0,0,-1,-1,3108.688408541667,unknown,2,2022-06-30T09:18:34.269+02:00,2022-06-30T08:20:05.567+02:00,926,1.452099,0,0,719.4605,0,0,2022-06-30T09:18:24.071+02:00
2022-06-30T09:18:34.875+02:00,3109.293796041667,0.1273956298828125,-0.277679443359375,-0.9329376220703125,3109.283845041667,2.376167764381471,0.1548568707379029,0.2807370455178211,-0.5218456983566284,-0.03153594210743904,0.1010736599564552,0.01560273766517639,-0.02000907063484192,0.02074933052062988,XArbitraryZVertical,-0.01895894056869851,0.1579992703984027,0.91982056647994,0.3586181863193172,0.1482004672288895,-0.2770639061927795,-0.9493535757064819,0,0,0,-1,-1,3108.688408541667,unknown,2,2022-06-30T09:18:34.269+02:00,2022-06-30T08:20:05.567+02:00,926,1.452099,0,0,719.4605,0,0,2022-06-30T09:18:24.071+02:00
2022-06-30T09:18:34.885+02:00,3109.303748041667,0.1234283447265625,-0.2785491943359375,-0.950531005859375,3109.293796041667,2.377961728767904,0.1538954491606249,0.2752237325272527,-0.6192569136619568,-0.0550127699971199,0.07199034094810486,-0.01147210597991943,0.003116428852081299,0.01951777935028076,XArbitraryZVertical,-0.01969980290525688,0.155295141855662,0.9204261312097033,0.3582055443866484,0.147519588470459,-0.2717622518539429,-0.9509906768798828,0,0,0,-1,-1,3108.688408541667,unknown,2,2022-06-30T09:18:34.269+02:00,2022-06-30T08:20:05.567+02:00,926,1.452099,0,0,719.4605,0,0,2022-06-30T09:18:24.071+02:00
