loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2022-06-30T09:13:01.130+02:00,1656573181.07058,53.2290640287597,10.39857063443437,40.19455,0,0.07,-1,103.9230494294148,4,5,-9999,2775.532002125,0.2246246337890625,-0.18267822265625,-0.93804931640625,2775.527026125,0.2363139822765123,0.1045333011325566,0.3171400278833814,0.01033187843859196,0.07948395609855652,-0.1098044216632843,0.1377679854631424,0.1005161106586456,-0.01445156335830688,XArbitraryZVertical,0.1505099577409083,0.06981666471798201,0.124436307179005,0.9782576500142228,0.09913956373929977,-0.3118504881858826,-0.9449447989463806,0,0,0,-1,-1,2774.907539125,running,2,2022-06-30T09:13:00.488+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265980.4877707,0,-0.8299999,100.9168,1,0.97
2022-06-30T09:13:01.133+02:00,1656573181.07058,53.2290640287597,10.39857063443437,40.19455,0,0.07,-1,103.9230494294148,4,5,-9999,2775.541954125,0.1285858154296875,-0.243896484375,-0.913360595703125,2775.536978125,0.2348624438774063,0.1051862595103343,0.3185595536659336,0.2788152694702148,-0.01851903833448887,-0.1279512047767639,0.1249142438173294,0.1305205225944519,0.006389379501342773,XArbitraryZVertical,0.1512158994407278,0.07010294182118534,0.1237988703266983,0.9782092463561688,0.09970998018980026,-0.3131989240646362,-0.944438636302948,0,0,0,-1,-1,2774.907539125,running,2,2022-06-30T09:13:00.488+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265980.4877707,0,-0.8299999,100.9168,1,0.97
2022-06-30T09:13:01.134+02:00,1656573181.07058,53.2290640287597,10.39857063443437,40.19455,0,0.07,-1,103.9230494294148,4,5,-9999,2775.551906125,0.0160675048828125,-0.3152313232421875,-0.885650634765625,2775.546930125,0.2333889620651137,0.1052843302730037,0.3215467649637588,0.3182690143585205,-0.0284927599132061,-0.09465239942073822,0.02888157963752747,0.07213777303695679,0.03013366460800171,XArbitraryZVertical,0.1527253968536819,0.07019849248637254,0.1231349577889015,0.9780516441816652,0.0997038334608078,-0.3160344362258911,-0.9434942603111267,0,0,0,-1,-1,2774.907539125,running,2,2022-06-30T09:13:00.488+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265980.4877707,0,-0.8299999,100.9168,1,0.97
2022-06-30T09:13:01.143+02:00,1656573181.07058,53.2290640287597,10.39857063443437,40.19455,0,0.07,-1,103.9230494294148,4,5,-9999,2775.561858125,0.019775390625,-0.339630126953125,-0.8758392333984375,2775.556882125,0.2322893934987729,0.1056029393321939,0.3239533215672088,0.1766538023948669,0.02972181141376495,-0.06340660154819489,-0.08385688811540604,0.00308525562286377,0.05705279111862183,XArbitraryZVertical,0.1539236194082434,0.07039763757543771,0.1226614432971327,0.977908962418563,0.09992397576570511,-0.3183167278766632,-0.9427033662796021,0,0,0,-1,-1,2774.907539125,running,2,2022-06-30T09:13:00.488+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265980.4877707,0,-0.8299999,100.9168,1,0.97
2022-06-30T09:13:01.153+02:00,1656573181.07058,53.2290640287597,10.39857063443437,40.19455,0,0.07,-1,103.9230494294148,4,5,-9999,2775.571810125,0.087799072265625,-0.3425140380859375,-0.894622802734375,2775.566834125,0.2317043349738145,0.106142442353064,0.3250015735214365,0.05206973850727081,0.03767680749297142,-0.03282828256487846,-0.08062217384576797,-0.02031996846199036,0.06647783517837524,XArbitraryZVertical,0.1544247582279866,0.07067164926778682,0.1224343717050383,0.9778386656385409,0.1003971472382545,-0.3193102777004242,-0.942317008972168,0,0,0,-1,-1,2774.907539125,running,2,2022-06-30T09:13:00.488+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265980.4877707,0,-0.8299999,100.9168,1,0.97
2022-06-30T09:13:01.163+02:00,1656573181.07058,53.2290640287597,10.39857063443437,40.19455,0,0.07,-1,103.9230494294148,4,5,-9999,2775.581762125,0.1207122802734375,-0.3336029052734375,-0.9144439697265625,2775.576786125,0.2313550180651853,0.1064224272361576,0.3250305202730603,-0.03207682818174362,-0.001235438860021532,-0.04226013273000717,-0.01286133378744125,-0.02317649126052856,0.04765689373016357,XArbitraryZVertical,0.1544341572208876,0.07078308667502924,0.1222856795608417,0.9778477701804261,0.1006599962711334,-0.3193376958370209,-0.9422796964645386,0,0,0,-1,-1,2774.907539125,running,2,2022-06-30T09:13:00.488+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265980.4877707,0,-0.8299999,100.9168,1,0.97
2022-06-30T09:13:01.173+02:00,1656573181.07058,53.2290640287597,10.39857063443437,40.19455,0,0.07,-1,103.9230494294148,4,5,-9999,2775.591714125,0.110626220703125,-0.3375091552734375,-0.9216461181640625,2775.586738125,0.2308021850678916,0.1063877337360762,0.3244509181035503,-0.07306268066167831,-0.03648785874247551,-0.06419190019369125,0.02006493508815765,-0.01481467485427856,0.0280231237411499,XArbitraryZVertical,0.1541718579556912,0.07069302071120522,0.1220029811728042,0.9779310093923613,0.1006469428539276,-0.3187884092330933,-0.9424670934677124,0,0,0,-1,-1,2774.907539125,running,2,2022-06-30T09:13:00.488+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265980.4877707,0,-0.8299999,100.9168,1,0.97
2022-06-30T09:13:01.183+02:00,1656573181.07058,53.2290640287597,10.39857063443437,40.19455,0,0.07,-1,103.9230494294148,4,5,-9999,2775.601666125,0.0767822265625,-0.311492919921875,-0.9152374267578125,2775.596690125,0.2304161399531539,0.1060661619967361,0.3235194671065017,-0.1089050993323326,-0.04943827539682388,-0.03622337803244591,0.01025055348873138,-0.0196039080619812,0.02114814519882202,XArbitraryZVertical,0.1537487008551619,0.07045722268730605,0.1217738569558048,0.9780431026471832,0.1003752574324608,-0.3179053962230682,-0.9427942037582397,0,0,0,-1,-1,2774.907539125,running,2,2022-06-30T09:13:00.488+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265980.4877707,0,-0.8299999,100.9168,1,0.97
2022-06-30T09:13:01.193+02:00,1656573181.07058,53.2290640287597,10.39857063443437,40.19455,0,0.07,-1,103.9230494294148,4,5,-9999,2775.611618125,0.0672607421875,-0.293548583984375,-0.92669677734375,2775.606642125,0.2302019917467891,0.1056760432430638,0.322213328981089,-0.137375220656395,-0.03927614167332649,-0.03043133579194546,-0.02326934039592743,0.005173683166503906,0.02800798416137695,XArbitraryZVertical,0.1531399159546256,0.07018156040219896,0.1216173586724101,0.9781779126090062,0.1000511571764946,-0.3166667520999908,-0.9432454109191895,0,0,0,-1,-1,2774.907539125,running,2,2022-06-30T09:13:00.488+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265980.4877707,0,-0.8299999,100.9168,1,0.97
2022-06-30T09:13:01.203+02:00,1656573181.07058,53.2290640287597,10.39857063443437,40.19455,0,0.07,-1,103.9230494294148,4,5,-9999,2775.621570125,0.0863800048828125,-0.2762298583984375,-0.9307098388671875,2775.616594125,0.2300571862678611,0.1053436719189782,0.3209892845857243,-0.09736922383308411,-0.03936003148555756,-0.02308607287704945,-0.03251799941062927,0.02195671200752258,0.01696664094924927,XArbitraryZVertical,0.1525653032290258,0.0699437957748227,0.121500722370942,0.9782991963367157,0.09977833181619644,-0.3155054748058319,-0.9436633586883545,0,0,0,-1,-1,2774.907539125,running,2,2022-06-30T09:13:00.488+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265980.4877707,0,-0.8299999,100.9168,1,0.97
