loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt)
2022-06-30T09:29:17.763+02:00,3752.181921375,0.0469818115234375,-0.6106719970703125,-0.720794677734375,3752.176945375,-1.423979954975897,0.01759465895701119,0.7075163734112099,0.1191918104887009,0.09261731058359146,0.03963665664196014,0.02926236391067505,0.04170209169387817,0.008365750312805176,XArbitraryZVertical,0.2676477026819734,-0.220077881275886,-0.6105540595245629,0.7121476915077105,0.01337087247520685,-0.6499482989311218,-0.7598608732223511,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
2022-06-30T09:29:17.773+02:00,3752.191872375,0.04522705078125,-0.6190032958984375,-0.6959228515625,3752.186896375,-1.423027317057013,0.01773000573028109,0.7083755106244047,0.0403587780892849,0.1020584851503372,0.07897075265645981,0.03351819515228271,0.03992867469787598,0.03850603103637695,XArbitraryZVertical,0.268098096226656,-0.2201662757556622,-0.6100967326680586,0.7123428235430559,0.01346381194889545,-0.6506009697914124,-0.7593004703521729,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
2022-06-30T09:29:17.783+02:00,3752.201823375,0.0529022216796875,-0.6533203125,-0.702911376953125,3752.196848375,-1.421817108060451,0.01806003860596365,0.707573960106524,-0.04666813090443611,0.123091347515583,0.1005611941218376,0.03150343894958496,0.03098845481872559,0.06389451026916504,XArbitraryZVertical,0.2680478429254736,-0.2196402151184965,-0.6097145392409811,0.7128510513886538,0.01372381765395403,-0.649992048740387,-0.7598170638084412,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
2022-06-30T09:29:17.793+02:00,3752.211774375,0.1123809814453125,-0.6960296630859375,-0.7142181396484375,3752.206799375,-1.420249082933179,0.01807765390119576,0.7057356296485584,-0.1030339300632477,0.1101241558790207,0.1208392977714539,0.03914362192153931,-0.004726767539978027,0.05809921026229858,XArbitraryZVertical,0.2675732898678285,-0.2188592720780391,-0.6093663414519733,0.7135670577054364,0.01375877950340509,-0.6485939025878906,-0.7610102891921997,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
2022-06-30T09:29:17.803+02:00,3752.221725375,0.1326141357421875,-0.705596923828125,-0.7183837890625,3752.216750375,-1.418284438376539,0.01783235223898537,0.7030174008269902,-0.2245450615882874,0.05684376880526543,0.2097834795713425,0.0987776517868042,-0.04950737953186035,0.04855573177337646,XArbitraryZVertical,0.266748105707485,-0.2178500526380266,-0.6090118461535923,0.7144869126342486,0.01360348984599113,-0.646522581577301,-0.7627736330032349,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
2022-06-30T09:29:17.813+02:00,3752.231676375,0.105621337890625,-0.6938018798828125,-0.72296142578125,3752.226701375,-1.415253749384556,0.01643811585990135,0.6997252114398221,-0.3564639389514923,0.009181177243590355,0.2777409851551056,0.1200394034385681,-0.06158971786499023,0.04653233289718628,XArbitraryZVertical,0.265482374021804,-0.2169359178771821,-0.6084917370264183,0.7156785218793257,0.01257490739226341,-0.6440075039863586,-0.7649158239364624,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
2022-06-30T09:29:17.823+02:00,3752.241627375,0.0626220703125,-0.6475982666015625,-0.7263946533203125,3752.236652375,-1.412202078462232,0.01509976825657689,0.6953364783347223,-0.4165956377983093,0.01436551567167044,0.2638693451881409,0.09402778744697571,-0.05315840244293213,0.04478955268859863,XArbitraryZVertical,0.263841109192445,-0.2156676340705652,-0.6080751764665245,0.7170216358100314,0.01159373857080936,-0.640643835067749,-0.7677506804466248,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
2022-06-30T09:29:17.833+02:00,3752.251579375,0.049072265625,-0.6268463134765625,-0.7343292236328125,3752.246603375,-1.408996395790142,0.01343608401827019,0.6914181872514479,-0.3700523674488068,0.07191775739192963,0.2205527424812317,0.05227217078208923,-0.009968280792236328,0.04387861490249634,XArbitraryZVertical,0.2622804944771679,-0.2146449444396222,-0.6075852376043127,0.7183151660164492,0.01035007555037737,-0.63763028383255,-0.770272970199585,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
2022-06-30T09:29:17.843+02:00,3752.261530375,0.0811309814453125,-0.6379241943359375,-0.73065185546875,3752.256554375,-1.406067881538239,0.01253661220600733,0.6878613518616566,-0.3547185659408569,0.1232492923736572,0.2293472439050674,0.03938683867454529,0.008039653301239014,0.03821587562561035,XArbitraryZVertical,0.2610473004829903,-0.2134991297081826,-0.6070474907722847,0.7195594079805783,0.009685602970421314,-0.6348863244056702,-0.7725448608398438,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
2022-06-30T09:29:17.853+02:00,3752.271481375,0.111907958984375,-0.652557373046875,-0.7304840087890625,3752.266505375,-1.402867043783935,0.01180130254570356,0.6842069647591071,-0.3833480775356293,0.1359099596738815,0.2564629912376404,0.07198631763458252,-0.005865812301635742,0.04421502351760864,XArbitraryZVertical,0.2598537259207403,-0.2122327686065913,-0.6063954929924228,0.7209145857258712,0.00914485938847065,-0.6320586800575256,-0.7748665809631348,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
2022-06-30T09:29:17.862+02:00,3752.281432375,0.112091064453125,-0.6599273681640625,-0.7264404296875,3752.276456375,-1.399305237126472,0.0108691838532218,0.6802439695019504,-0.4147803783416748,0.1325010061264038,0.2860760390758514,0.1034584045410156,-0.02357500791549683,0.04688960313796997,XArbitraryZVertical,0.2585229480614902,-0.2109009478050912,-0.6056664986615644,0.7223951198336336,0.008449746295809746,-0.6289827227592468,-0.7773733735084534,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
2022-06-30T09:29:17.872+02:00,3752.291383375,0.108001708984375,-0.6496124267578125,-0.720489501953125,3752.286407375,-1.395501123585823,0.009861889952581073,0.6761592759503944,-0.4045791327953339,0.1504725515842438,0.2962133586406708,0.1043992638587952,-0.03412574529647827,0.05350393056869507,XArbitraryZVertical,0.2571455033853817,-0.2095331658196641,-0.6048654502481929,0.7239543393505761,0.007691971957683563,-0.6258019804954529,-0.7799440622329712,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
2022-06-30T09:29:17.882+02:00,3752.301334375,0.114959716796875,-0.636474609375,-0.7132415771484375,3752.296359375,-1.391520215673605,0.008953706231241728,0.6722960842517366,-0.3706361353397369,0.1696870774030685,0.3192907869815826,0.1009966433048248,-0.02682870626449585,0.06187319755554199,XArbitraryZVertical,0.2558906938233642,-0.2081795821213849,-0.603955924734791,0.7255470675956505,0.007005230523645878,-0.6227840781211853,-0.7823624014854431,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
2022-06-30T09:29:17.893+02:00,3752.311285375,0.1142120361328125,-0.61724853515625,-0.705535888671875,3752.306310375,-1.387404626103617,0.008185637700013626,0.6688541247339115,-0.3397767543792725,0.1921875923871994,0.3195147514343262,0.1085380613803864,-0.01638758182525635,0.07126516103744507,XArbitraryZVertical,0.2548390997515588,-0.2068907942719566,-0.6029271898881099,0.7271396886106336,0.006421829108148813,-0.6200874447822571,-0.7845064401626587,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
2022-06-30T09:29:17.902+02:00,3752.321236375,0.1140289306640625,-0.60430908203125,-0.6979522705078125,3752.316261375,-1.383258668102508,0.007562382175360436,0.665023653301874,-0.4403423368930817,0.2062606364488602,0.3306911289691925,0.1082614362239838,-0.0001711249351501465,0.08134406805038452,XArbitraryZVertical,0.2536876551391726,-0.2054330022948297,-0.6019031708411072,0.7288021062348227,0.005950798746198416,-0.6170777678489685,-0.7868797183036804,0,0,0,-1,-1,3750.744483875,running,2,2022-06-30T09:29:16.325+02:00,2022-06-30T08:20:05.567+02:00,1147,1.44327,0,0,894.856,0,0,2022-06-30T09:28:40.657+02:00
