loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2022-06-30T09:13:15.336+02:00,1656573195.059504,53.2290640287597,10.39857063443437,39.16378,0,0.07,-1,103.9230494294148,4,5,-9999,2789.743435875,0.1406707763671875,-0.4231719970703125,-0.886444091796875,2789.738459875,-0.007300510527330735,0.1702838515098711,0.4023620397283634,-0.1520266681909561,-0.01470190566033125,-0.08733107149600983,-0.1007989794015884,-0.0940946638584137,0.03358519077301025,XArbitraryZVertical,0.1994056282195691,0.08259662658171625,0.0134292910237793,0.976337558331112,0.1559286266565323,-0.3915928304195404,-0.906830370426178,0,0,0,-1,-1,2785.09797575,unknown,2,2022-06-30T09:13:10.678+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265993.2254606,0,-1.14,100.9231,1,0.97
2022-06-30T09:13:15.337+02:00,1656573195.059504,53.2290640287597,10.39857063443437,39.16378,0,0.07,-1,103.9230494294148,4,5,-9999,2789.753387875,0.185760498046875,-0.38232421875,-0.9237823486328125,2789.748411875,-0.007980536780116544,0.1704582725413695,0.4004361890127359,-0.1881527155637741,-0.01083020213991404,-0.1059614792466164,-0.01554401218891144,-0.03335219621658325,0.02110064029693604,XArbitraryZVertical,0.1984924590968323,0.08263406095537792,0.01303362834848766,0.9765258096481787,0.1562144309282303,-0.3898200690746307,-0.907544732093811,0,0,0,-1,-1,2785.09797575,unknown,2,2022-06-30T09:13:10.678+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265993.2254606,0,-1.14,100.9231,1,0.97
2022-06-30T09:13:15.344+02:00,1656573195.059504,53.2290640287597,10.39857063443437,39.16378,0,0.07,-1,103.9230494294148,4,5,-9999,2789.763339875,0.17999267578125,-0.3417510986328125,-0.9448394775390625,2789.758363875,-0.008929895485306255,0.1706219386782667,0.3986682137687719,-0.1236313134431839,-0.03311888873577118,-0.1230907663702965,0.0292803943157196,0.005866855382919312,-0.01558542251586914,XArbitraryZVertical,0.1976674568478745,0.08263854744224244,0.01251173381765576,0.9766995642949441,0.1564797461032867,-0.3881913423538208,-0.9081968665122986,0,0,0,-1,-1,2785.09797575,unknown,2,2022-06-30T09:13:10.678+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265993.2254606,0,-1.14,100.9231,1,0.97
2022-06-30T09:13:15.355+02:00,1656573195.059504,53.2290640287597,10.39857063443437,39.16378,0,0.07,-1,103.9230494294148,4,5,-9999,2789.773291875,0.1332244873046875,-0.3289642333984375,-0.9626007080078125,2789.768315875,-0.01004711639985272,0.1706991372711131,0.3976867141692474,-0.0337645411491394,-0.03154895454645157,-0.1107342317700386,0.02337779104709625,0.04553529620170593,-0.03627955913543701,XArbitraryZVertical,0.1972338716089982,0.08257649806076138,0.0119322761320598,0.9767997013396937,0.1566144973039627,-0.3872866332530975,-0.9085598587989807,0,0,0,-1,-1,2785.09797575,unknown,2,2022-06-30T09:13:10.678+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265993.2254606,0,-1.14,100.9231,1,0.97
2022-06-30T09:13:15.364+02:00,1656573195.059504,53.2290640287597,10.39857063443437,39.16378,0,0.07,-1,103.9230494294148,4,5,-9999,2789.783243875,0.111968994140625,-0.326812744140625,-0.9555511474609375,2789.778267875,-0.01110131846638923,0.1709360702994137,0.3974777636595243,0.0202382393181324,-0.0001454672310501337,-0.08824809640645981,-0.02361941337585449,0.05812948942184448,-0.05399823188781738,XArbitraryZVertical,0.1971739853516625,0.08259057085319786,0.01143191669479746,0.9768165786332252,0.1568435281515121,-0.3870939612388611,-0.9086024165153503,0,0,0,-1,-1,2785.09797575,unknown,2,2022-06-30T09:13:10.678+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265993.2254606,0,-1.14,100.9231,1,0.97
2022-06-30T09:13:15.374+02:00,1656573195.059504,53.2290640287597,10.39857063443437,39.16378,0,0.07,-1,103.9230494294148,4,5,-9999,2789.793195875,0.1301116943359375,-0.343353271484375,-0.9472503662109375,2789.788219875,-0.01198111311813181,0.1714067925020768,0.3977156286864977,0.05069121718406677,0.02677749469876289,-0.0657193511724472,-0.0452868640422821,0.06050026416778564,-0.04711335897445679,XArbitraryZVertical,0.197323845654251,0.08273102160143979,0.01105875075995713,0.976778751678911,0.1572555005550385,-0.3873132765293121,-0.9084377288818359,0,0,0,-1,-1,2785.09797575,unknown,2,2022-06-30T09:13:10.678+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265993.2254606,0,-1.14,100.9231,1,0.97
2022-06-30T09:13:15.384+02:00,1656573195.059504,53.2290640287597,10.39857063443437,39.16378,0,0.07,-1,103.9230494294148,4,5,-9999,2789.803147875,0.1533050537109375,-0.3708343505859375,-0.926300048828125,2789.798171875,-0.01275762752990709,0.1720227315233839,0.3981817383364729,0.06356147676706314,0.03280366957187653,-0.06258614361286163,-0.02767276763916016,0.04438948631286621,-0.03908753395080566,XArbitraryZVertical,0.1975802422412683,0.08294981191508774,0.0107602072333414,0.9767116663659067,0.1577840894460678,-0.3877429664134979,-0.9081627726554871,0,0,0,-1,-1,2785.09797575,unknown,2,2022-06-30T09:13:10.678+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265993.2254606,0,-1.14,100.9231,1,0.97
2022-06-30T09:13:15.394+02:00,1656573195.059504,53.2290640287597,10.39857063443437,39.16378,0,0.07,-1,103.9230494294148,4,5,-9999,2789.813099875,0.1534423828125,-0.3950958251953125,-0.9130859375,2789.808123875,-0.01351930873591868,0.1726430666729671,0.3986060108768134,0.03955121710896492,0.03359436243772507,-0.05966172739863396,-0.00501444935798645,0.01729941368103027,-0.01839745044708252,XArbitraryZVertical,0.1978157179873542,0.08317247863816904,0.01046773555423443,0.9766482771563563,0.1583191454410553,-0.3881340026855469,-0.9079025387763977,0,0,0,-1,-1,2785.09797575,unknown,2,2022-06-30T09:13:10.678+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265993.2254606,0,-1.14,100.9231,1,0.97
2022-06-30T09:13:15.404+02:00,1656573195.059504,53.2290640287597,10.39857063443437,39.16378,0,0.07,-1,103.9230494294148,4,5,-9999,2789.823051875,0.1602783203125,-0.4188995361328125,-0.9113922119140625,2789.818075875,-0.01422621932017902,0.1732983058311462,0.3986613584110225,-0.01190312020480633,0.0407714731991291,-0.07303415983915329,-0.005468294024467468,-0.00691106915473938,-0.005308449268341064,XArbitraryZVertical,0.1978687913066851,0.08342185171996443,0.01018973593174581,0.9766192217097234,0.1589103043079376,-0.3881850242614746,-0.9077774882316589,0,0,0,-1,-1,2785.09797575,unknown,2,2022-06-30T09:13:10.678+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265993.2254606,0,-1.14,100.9231,1,0.97
2022-06-30T09:13:15.414+02:00,1656573195.059504,53.2290640287597,10.39857063443437,39.16378,0,0.07,-1,103.9230494294148,4,5,-9999,2789.833003875,0.161468505859375,-0.4130096435546875,-0.9031524658203125,2789.828027875,-0.01491114222632116,0.174013513229601,0.3980324783556478,-0.08607935160398483,0.04770021885633469,-0.06999868899583817,0.0006761997938156128,-0.03129440546035767,-0.003488302230834961,XArbitraryZVertical,0.1975868309289847,0.08371102976364179,0.009898810469497563,0.976654418818394,0.1596017479896545,-0.3876053690910339,-0.907903790473938,0,0,0,-1,-1,2785.09797575,unknown,2,2022-06-30T09:13:10.678+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678265993.2254606,0,-1.14,100.9231,1,0.97
