,loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
231,2022-06-30T09:13:33.368+02:00,1656573212.062313,53.2290640287597,10.39857063443437,40.38913,0,0.07,-1,103.9230494294148,4,5,-9999,2807.786324291667,5.336253204345703,-3.495381317138672,0.13217514038085937,2807.781348291667,-1.997362721009916,1.416791234425087,0.4804942972217369,-1.431965112686157,4.064763069152832,-0.9783750772476196,-0.2621967196464539,0.0714091360569,0.0661883205175399,XArbitraryZVertical,0.6291305291190495,0.1902132431848588,-0.536324051121618,0.5295001607163761,0.8762715458869934,-0.4622175693511963,-0.1360273957252502,0,0,0,-1,-1,2802.931880625,unknown,2,2022-06-30T09:13:28.512+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678266011.0612233,0,-1.21,100.9236,1,0.97
232,2022-06-30T09:13:33.377+02:00,1656573212.062313,53.2290640287597,10.39857063443437,40.38913,0,0.07,-1,103.9230494294148,4,5,-9999,2807.796276291667,4.62478271484375,-3.5009197998046875,1.2499008178710938,2807.791300291667,-1.981276031447772,1.452274679180767,0.4669481872388507,-1.811728358268738,4.541403293609619,-1.335674285888672,-0.3427213430404663,0.093855082988739,0.1190598085522652,XArbitraryZVertical,0.6351044292983489,0.2094025645754161,-0.5242205006055137,0.5272436190787814,0.886681854724884,-0.4501632750034332,-0.1055858582258224,0,0,0,-1,-1,2802.931880625,unknown,2,2022-06-30T09:13:28.512+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678266011.0612233,0,-1.21,100.9236,1,0.97
233,2022-06-30T09:13:33.388+02:00,1656573212.062313,53.2290640287597,10.39857063443437,40.38913,0,0.07,-1,103.9230494294148,4,5,-9999,2807.806228291667,4.189038848876954,-3.4849031066894534,2.2601499938964844,2807.801252291667,-1.960140253729421,1.49052704440372,0.4497594723807985,-2.332133293151855,5.031420707702637,-1.728668451309204,-0.4262166023254395,0.0778761506080627,0.1996203660964966,XArbitraryZVertical,0.6403327900353333,0.2320978318373454,-0.5107741977534452,0.524608545199147,0.8976519703865051,-0.4347489476203918,-0.0722090303897857,0,0,0,-1,-1,2802.931880625,unknown,2,2022-06-30T09:13:28.512+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678266011.0612233,0,-1.21,100.9236,1,0.97
234,2022-06-30T09:13:33.397+02:00,1656573212.062313,53.2290640287597,10.39857063443437,40.38913,0,0.07,-1,103.9230494294148,4,5,-9999,2807.816180291667,4.034111022949219,-2.727777557373047,3.4320629882812503,2807.811204291667,-1.932726107336697,1.53149716963943,0.4290041063402134,-2.897050857543945,5.538283824920654,-2.148860692977905,-0.4816612005233765,0.0607252418994903,0.2661215662956238,XArbitraryZVertical,0.6444124746751344,0.2585888982536683,-0.4957107299551172,0.5216658367661722,0.9086783528327942,-0.415965348482132,-0.0357286892831325,0,0,0,-1,-1,2802.931880625,unknown,2,2022-06-30T09:13:28.512+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678266011.0612233,0,-1.21,100.9236,1,0.97
235,2022-06-30T09:13:33.407+02:00,1656573212.062313,53.2290640287597,10.39857063443437,40.38913,0,0.07,-1,103.9230494294148,4,5,-9999,2807.826132291667,3.693718872070313,-2.0652552795410157,4.347708892822266,2807.821156291667,-1.89878345299691,1.575668000232396,0.4047000466619255,-3.415584325790405,6.111326694488525,-2.633983612060547,-0.5079854130744934,0.1156819462776184,0.3453757762908936,XArbitraryZVertical,0.6470920815137188,0.2889825262254199,-0.47888394499411,0.5181034186320003,0.9192096590995787,-0.3937430679798126,0.0044781249016523,0,0,0,-1,-1,2802.931880625,unknown,2,2022-06-30T09:13:28.512+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678266011.0612233,0,-1.21,100.9236,1,0.97
236,2022-06-30T09:13:33.417+02:00,1656573212.062313,53.2290640287597,10.39857063443437,40.38913,0,0.07,-1,103.9230494294148,4,5,-9999,2807.836084291667,3.686683502197266,-1.8462606811523439,5.558391265869141,2807.831108291667,-1.858356299306526,1.624472544147761,0.377093841546747,-3.937501430511475,6.811927795410156,-3.131273508071899,-0.5518739223480225,0.1576942205429077,0.3933110237121582,XArbitraryZVertical,0.6483391991380374,0.3234141855285986,-0.4598906523950607,0.5133812537620934,0.9283998608589172,-0.3682200610637665,0.0498809069395065,0,0,0,-1,-1,2802.931880625,unknown,2,2022-06-30T09:13:28.512+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678266011.0612233,0,-1.21,100.9236,1,0.97
237,2022-06-30T09:13:33.427+02:00,1656573212.062313,53.2290640287597,10.39857063443437,40.38913,0,0.07,-1,103.9230494294148,4,5,-9999,2807.846036291667,3.719165954589844,-2.072590026855469,7.174430694580079,2807.841060291667,-1.810276438755882,1.679485484976342,0.3469746485663435,-4.58879566192627,7.675584316253662,-3.635063409805298,-0.559048056602478,0.1518520414829254,0.4645941257476807,XArbitraryZVertical,0.6479203304153104,0.3622218281896857,-0.4378701619462397,0.5072124922346781,0.9348568320274352,-0.3400543034076691,0.1020108163356781,0,0,0,-1,-1,2802.931880625,unknown,2,2022-06-30T09:13:28.512+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678266011.0612233,0,-1.21,100.9236,1,0.97
238,2022-06-30T09:13:33.437+02:00,1656573212.062313,53.2290640287597,10.39857063443437,40.38913,0,0.07,-1,103.9230494294148,4,5,-9999,2807.855988291667,3.7907171630859375,-1.8303936767578126,9.964329071044927,2807.851012291667,-1.752972234241102,1.742498270085772,0.3158984737246925,-5.34197998046875,8.768624305725098,-4.050371170043945,-0.5574209690093994,0.0993970930576324,0.5689338445663452,XArbitraryZVertical,0.645484607220559,0.4056502559575085,-0.4116457631314073,0.4993450058849342,0.9365408420562744,-0.3106706142425537,0.1624050140380859,0,0,0,-1,-1,2802.931880625,unknown,2,2022-06-30T09:13:28.512+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678266011.0612233,0,-1.21,100.9236,1,0.97
239,2022-06-30T09:13:33.447+02:00,1656573213.060533,53.2290640287597,10.39857063443437,40.44503,0,0.07,-1,103.9230494294148,4,5,-9999,2807.865940291667,4.273463287353516,-0.8300239562988282,14.982344055175782,2807.860964291667,-1.684624358773541,1.81611407577852,0.2872111463668209,-6.352980613708496,10.11987972259521,-4.281789302825928,-0.5439108610153198,0.0966939032077789,0.7828159332275391,XArbitraryZVertical,0.6407905710164621,0.4537020857676325,-0.3792787055132974,0.4895810133348761,0.9303243160247804,-0.2832787036895752,0.2329162806272507,0,0,0,-1,-1,2802.931880625,unknown,2,2022-06-30T09:13:28.512+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678266011.0612233,0,-1.21,100.9236,1,0.97
240,2022-06-30T09:13:33.457+02:00,1656573213.060533,53.2290640287597,10.39857063443437,40.44503,0,0.07,-1,103.9230494294148,4,5,-9999,2807.875891291667,3.2495924377441407,-0.27333160400390627,22.410946197509762,2807.870916291667,-1.602116519958842,1.901551813581732,0.2658729945677216,-7.822287082672119,11.5759391784668,-4.343203544616699,-0.4769423007965088,0.1781413555145264,1.213905692100525,XArbitraryZVertical,0.6328742677644454,0.5061062728998876,-0.3384930516135087,0.4782771500551947,0.9125652313232422,-0.2627516984939575,0.313346803188324,0,0,0,-1,-1,2802.931880625,unknown,2,2022-06-30T09:13:28.512+02:00,2022-06-30T08:20:05.567+02:00,833,1.490593,0,0,651.261,0,0,2022-06-30T09:09:38.916+02:00,678266011.0612233,0,-1.21,100.9236,1,0.97
