,loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt)
237,2022-06-30T09:16:31.146+02:00,2985.564450541667,5.8598643493652345,-2.3640339660644534,-1.9881655883789064,2985.554498541667,3.022069326138982,1.001834243780293,0.4930468236479514,-4.001778125762939,6.817986965179443,-1.089412927627563,-0.0127183198928833,0.1687162816524506,0.0701856613159179,XArbitraryZVertical,-0.4520953071447555,0.2414855425393354,0.856104584611747,-0.0661788024277233,0.7421192526817322,-0.4733120203018188,-0.4745891392230988,0,0,0,-1,-1,2983.843994416667,unknown,2,2022-06-30T09:16:29.424+02:00,2022-06-30T08:20:05.567+02:00,873,1.488614,0,0,680.226,0,0,2022-06-30T09:16:29.423+02:00
238,2022-06-30T09:16:31.156+02:00,2985.574402541667,4.957091674804688,-2.0457957458496097,-0.6527925109863282,2985.564450541667,3.055491333430504,1.057274777039799,0.461038813843219,-4.454402446746826,7.385661602020264,-1.351806163787842,-0.1026784777641296,0.1584256291389465,0.1032567024230957,XArbitraryZVertical,-0.482069875947788,0.2182433663887882,0.8448345653717926,-0.0789508156578532,0.7800775766372681,-0.4448786973953247,-0.439956933259964,0,0,0,-1,-1,2983.843994416667,unknown,2,2022-06-30T09:16:29.424+02:00,2022-06-30T08:20:05.567+02:00,873,1.488614,0,0,680.226,0,0,2022-06-30T09:16:29.423+02:00
239,2022-06-30T09:16:31.165+02:00,2985.584353541667,4.738546142578126,-1.5540682983398437,0.3511697387695313,2985.574402541667,3.093874216456689,1.11732569779622,0.4257940103918041,-5.014392852783203,7.977299213409424,-1.701855778694153,-0.2213312983512878,0.1720622181892395,0.1963047087192535,XArbitraryZVertical,-0.5136639002110576,0.1914774228242897,0.8312559854238614,-0.0921911373205534,0.8186673521995544,-0.4130440354347229,-0.3989715874195099,0,0,0,-1,-1,2983.843994416667,unknown,2,2022-06-30T09:16:29.424+02:00,2022-06-30T08:20:05.567+02:00,873,1.488614,0,0,680.226,0,0,2022-06-30T09:16:29.423+02:00
240,2022-06-30T09:16:31.175+02:00,2985.594305541667,4.874014434814454,-0.5289999389648438,1.4709910583496095,2985.584353541667,3.137464553016817,1.18265655687508,0.3868474688147074,-5.522467136383057,8.598008155822754,-2.178761959075928,-0.3519042730331421,0.1687290966510773,0.2839564383029938,XArbitraryZVertical,-0.5467380424919711,0.1607099814338223,0.8149386946725762,-0.1054738760729573,0.8572145700454712,-0.3772707283496857,-0.3504996299743652,0,0,0,-1,-1,2983.843994416667,unknown,2,2022-06-30T09:16:29.424+02:00,2022-06-30T08:20:05.567+02:00,873,1.488614,0,0,680.226,0,0,2022-06-30T09:16:29.423+02:00
241,2022-06-30T09:16:31.185+02:00,2985.604257541667,5.1492919921875,-0.3758683776855469,2.625989227294922,2985.594305541667,-3.097364332704084,1.254397398536573,0.3440410530974576,-5.984427452087402,9.268147468566896,-2.77205491065979,-0.4116377830505371,0.1788775622844696,0.3287103474140167,XArbitraryZVertical,-0.5811404168755281,0.1257751471149019,0.7953081503633306,-0.1180730829280857,0.8946701288223267,-0.3372940719127655,-0.2929128706455231,0,0,0,-1,-1,2983.843994416667,unknown,2,2022-06-30T09:16:29.424+02:00,2022-06-30T08:20:05.567+02:00,873,1.488614,0,0,680.226,0,0,2022-06-30T09:16:29.423+02:00
242,2022-06-30T09:16:31.195+02:00,2985.614209541667,5.864355010986328,-0.0034428405761718754,4.951553192138672,2985.604257541667,-3.043438036276861,1.333337031292793,0.2975383529673571,-6.48329496383667,10.00704288482666,-3.412648439407349,-0.4323912262916565,0.2392432689666748,0.3748465776443481,XArbitraryZVertical,-0.6165190313409695,0.0863438518514999,0.7717732214183096,-0.1296730992119505,0.9292328357696532,-0.2931676208972931,-0.2248980402946472,0,0,0,-1,-1,2983.843994416667,unknown,2,2022-06-30T09:16:29.424+02:00,2022-06-30T08:20:05.567+02:00,873,1.488614,0,0,680.226,0,0,2022-06-30T09:16:29.423+02:00
243,2022-06-30T09:16:31.205+02:00,2985.624160541667,7.08252182006836,0.4267625427246094,7.924670562744141,2985.614209541667,-2.981596301100809,1.420621277345588,0.2478619176375497,-7.21564769744873,10.86498260498047,-4.105142116546631,-0.4336255788803101,0.2070171386003494,0.4127243757247925,XArbitraryZVertical,-0.6524881360284581,0.0417102745516028,0.7434970782523853,-0.1404691029127655,0.9585280418395996,-0.2453317791223526,-0.145038977265358,0,0,0,-1,-1,2983.843994416667,unknown,2,2022-06-30T09:16:29.424+02:00,2022-06-30T08:20:05.567+02:00,873,1.488614,0,0,680.226,0,0,2022-06-30T09:16:29.423+02:00
244,2022-06-30T09:16:31.215+02:00,2985.634112541667,8.084987182617187,1.542242889404297,12.206965484619136,2985.624160541667,-2.90865279899632,1.51773303270237,0.1959317018077385,-8.13363265991211,11.86309051513672,-4.830354690551758,-0.3816924691200256,0.1943296641111374,0.5567695498466492,XArbitraryZVertical,-0.6884080314442289,-0.0090872843745252,0.7094239146572288,-0.1507637613478864,0.9794862866401672,-0.1946804970502853,-0.0520236082375049,0,0,0,-1,-1,2983.843994416667,unknown,2,2022-06-30T09:16:29.424+02:00,2022-06-30T08:20:05.567+02:00,873,1.488614,0,0,680.226,0,0,2022-06-30T09:16:29.423+02:00
245,2022-06-30T09:16:31.225+02:00,2985.644064541667,6.628066864013673,3.2418086242675783,18.211429138183593,2985.634112541667,-2.819879751007975,1.626738991029832,0.144989675152361,-9.49863338470459,13.03555965423584,-5.449183464050293,-0.2659898400306702,0.1879851371049881,0.7524892091751099,XArbitraryZVertical,-0.7233127360096235,-0.0669484416950186,0.667973965309359,-0.1617017326669918,0.9879595041275024,-0.144482210278511,0.0553268156945705,0,0,0,-1,-1,2983.843994416667,unknown,2,2022-06-30T09:16:29.424+02:00,2022-06-30T08:20:05.567+02:00,873,1.488614,0,0,680.226,0,0,2022-06-30T09:16:29.423+02:00
246,2022-06-30T09:16:31.235+02:00,2985.654016541667,3.367098083496094,4.243974609375,26.29027908325195,2985.644064541667,-2.709594619354979,1.7495045919832,0.1004071008430443,-11.36596012115479,14.32860374450684,-6.045289993286133,-0.1549600958824158,0.2574498355388641,1.067476153373718,XArbitraryZVertical,-0.7555045675249482,-0.1328326116702867,0.617245166925536,-0.1748626427171422,0.9791179895401,-0.1002384722232819,0.1768633127212524,0,0,0,-1,-1,2983.843994416667,unknown,2,2022-06-30T09:16:29.424+02:00,2022-06-30T08:20:05.567+02:00,873,1.488614,0,0,680.226,0,0,2022-06-30T09:16:29.423+02:00
