loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt)
2022-06-30T09:58:09.116+02:00,5336.209824500001,-0.0585174560546875,-0.027069091796875,-0.9528045654296875,5336.1998725,-2.69100670315635,-0.01787523283170187,0.01797637882221097,0.1604530066251755,-0.09741416573524475,0.1514684706926346,0.01620861887931824,0.02549805864691734,0.02136141061782837,XArbitraryZVertical,-0.006703501574117606,-0.0107570626333829,-0.9746683374490293,0.2232956920247524,-0.01787139289081097,-0.01797541044652462,-0.9996786713600159,0,0,0,-1,-1,5333.888265250001,unknown,2,2022-06-30T09:58:06.776+02:00,2022-06-30T08:20:05.567+02:00,1483,1.408551,0,0,1171.106,0,0,2022-06-30T09:57:51.488+02:00
2022-06-30T09:58:09.119+02:00,5336.219775500001,-0.066070556640625,-0.02490234375,-0.92950439453125,5336.209824500001,-2.689273419507694,-0.01835978016324116,0.01947222160779826,0.07988905906677246,0.01921173371374607,0.1684544384479523,0.04171691089868546,0.01147545129060745,0.02375084161758423,XArbitraryZVertical,-0.006762505809734033,-0.01154596906627081,-0.9744675539406866,0.224129447026143,-0.01835526898503304,-0.01947099156677723,-0.9996418952941895,0,0,0,-1,-1,5333.888265250001,unknown,2,2022-06-30T09:58:06.776+02:00,2022-06-30T08:20:05.567+02:00,1483,1.408551,0,0,1171.106,0,0,2022-06-30T09:57:51.488+02:00
2022-06-30T09:58:09.119+02:00,5336.2297275,-0.0078277587890625,-0.0480194091796875,-0.988311767578125,5336.219775500001,-2.688122635686021,-0.01800500422574505,0.01857560848201089,-0.2004563212394714,0.05959510803222656,0.06847724318504333,-0.06196995452046394,0.004948506131768227,0.07470816373825073,XArbitraryZVertical,-0.00668383212835018,-0.0110732144771495,-0.974342858555539,0.2246970449207667,-0.01800092495977879,-0.0185745395720005,-0.9996654391288757,0,0,0,-1,-1,5333.888265250001,unknown,2,2022-06-30T09:58:06.776+02:00,2022-06-30T08:20:05.567+02:00,1483,1.408551,0,0,1171.106,0,0,2022-06-30T09:57:51.488+02:00
2022-06-30T09:58:09.128+02:00,5336.2396785,0.0283050537109375,-0.0177459716796875,-1.014907836914062,5336.2297275,-2.68798737358575,-0.01742776523223306,0.01611182388196943,-0.2493747919797897,0.05957451835274696,-0.04024021327495575,-0.017105583101511,-0.03306788578629494,0.03975743055343628,XArbitraryZVertical,-0.006678949774769946,-0.009808562704373896,-0.9743375618448272,0.2247790020732,-0.01742462068796158,-0.01611112616956234,-0.9997183680534363,0,0,0,-1,-1,5333.888265250001,unknown,2,2022-06-30T09:58:06.776+02:00,2022-06-30T08:20:05.567+02:00,1483,1.408551,0,0,1171.106,0,0,2022-06-30T09:57:51.488+02:00
2022-06-30T09:58:09.138+02:00,5336.2496305,0.0370635986328125,-0.0247650146484375,-1.017929077148438,5336.2396785,-2.689072510994038,-0.01689176517858652,0.01410377795625916,-0.1273146569728851,0.0488654151558876,-0.1743767112493515,0.03193488344550133,-0.01418642047792673,-0.003003954887390137,XArbitraryZVertical,-0.006648400303716506,-0.008766482732571782,-0.9744666133516693,0.2242629024159427,-0.01688928157091141,-0.01410331018269062,-0.9997578859329224,0,0,0,-1,-1,5333.888265250001,unknown,2,2022-06-30T09:58:06.776+02:00,2022-06-30T08:20:05.567+02:00,1483,1.408551,0,0,1171.106,0,0,2022-06-30T09:57:51.488+02:00
2022-06-30T09:58:09.149+02:00,5336.259582500001,0.0169830322265625,-0.0211181640625,-0.9937286376953125,5336.2496305,-2.691313101893024,-0.01652249878956392,0.01368664495345837,-0.01747790724039078,0.01794061809778214,-0.2652153968811035,0.05236352980136871,-0.009385005570948124,-0.02218753099441528,XArbitraryZVertical,-0.006524822014858123,-0.008514535873423153,-0.9747194657256774,0.2231746749220201,-0.01652020029723644,-0.01368621736764908,-0.9997698664665222,0,0,0,-1,-1,5333.888265250001,unknown,2,2022-06-30T09:58:06.776+02:00,2022-06-30T08:20:05.567+02:00,1483,1.408551,0,0,1171.106,0,0,2022-06-30T09:57:51.488+02:00
2022-06-30T09:58:09.158+02:00,5336.269533500001,-0.000396728515625,-0.033233642578125,-0.994384765625,5336.259582500001,-2.694060010914021,-0.01645206146695997,0.01378026434865921,-0.01846221275627613,0.007001684978604317,-0.2859939336776733,0.0460522398352623,-0.007597668096423149,-0.002808988094329834,XArbitraryZVertical,-0.006491782174542248,-0.00854339315946559,-0.97502504297473,0.2218355661152718,-0.01644975692033768,-0.01377982832491398,-0.9997697472572327,0,0,0,-1,-1,5333.888265250001,unknown,2,2022-06-30T09:58:06.776+02:00,2022-06-30T08:20:05.567+02:00,1483,1.408551,0,0,1171.106,0,0,2022-06-30T09:57:51.488+02:00
2022-06-30T09:58:09.168+02:00,5336.2794855,-0.00128173828125,-0.036224365234375,-0.9867401123046875,5336.269533500001,-2.696949241451876,-0.01660350627862631,0.01369656625514474,-0.04208951070904732,0.01042084489017725,-0.2965420484542847,0.02285772375762463,-0.01463936641812325,0.006131291389465332,XArbitraryZVertical,-0.006587201296937469,-0.008509880777354401,-0.975344262661794,0.2204265993146388,-0.01660118624567986,-0.01369613781571388,-0.9997683763504028,0,0,0,-1,-1,5333.888265250001,unknown,2,2022-06-30T09:58:06.776+02:00,2022-06-30T08:20:05.567+02:00,1483,1.408551,0,0,1171.106,0,0,2022-06-30T09:57:51.488+02:00
2022-06-30T09:58:09.178+02:00,5336.2894365,-0.0035858154296875,-0.0248870849609375,-0.9835205078125,5336.2794855,-2.699753903464913,-0.01627041714811767,0.01262414361804268,-0.1383630484342575,0.01805745810270309,-0.25953209400177,0.01475821621716022,-0.02523317933082581,0.007585227489471436,XArbitraryZVertical,-0.006554159414827281,-0.007941007759389791,-0.9756559172452445,0.2190650190520474,-0.01626840233802795,-0.01262380834668875,-0.9997879862785339,0,0,0,-1,-1,5333.888265250001,unknown,2,2022-06-30T09:58:06.776+02:00,2022-06-30T08:20:05.567+02:00,1483,1.408551,0,0,1171.106,0,0,2022-06-30T09:57:51.488+02:00
2022-06-30T09:58:09.188+02:00,5336.299388500001,-0.0087432861328125,-0.010406494140625,-0.984130859375,5336.2894365,-2.702098044849518,-0.01555099962854903,0.01081455557052519,-0.2180378437042236,0.02245042845606804,-0.2038941532373428,0.01284909155219793,-0.02328897826373577,0.01622378826141357,XArbitraryZVertical,-0.006409678417720097,-0.006971946453697507,-0.9759179441460635,0.2179321915840439,-0.01554946321994066,-0.01081434451043606,-0.9998205900192261,0,0,0,-1,-1,5333.888265250001,unknown,2,2022-06-30T09:58:06.776+02:00,2022-06-30T08:20:05.567+02:00,1483,1.408551,0,0,1171.106,0,0,2022-06-30T09:57:51.488+02:00
2022-06-30T09:58:09.199+02:00,5336.309339500001,-0.002166748046875,-0.008544921875,-0.9754791259765625,5336.299388500001,-2.704021186836724,-0.01617325098459776,0.008674429228305259,-0.2210469543933868,0.02308159694075584,-0.1856517642736435,0.009077034890651703,-0.00681327935308218,0.01562446355819702,XArbitraryZVertical,-0.006952358399627961,-0.005988792535199948,-0.9761283142807875,0.2170011460418073,-0.01617193780839443,-0.008674320764839649,-0.9998316168785095,0,0,0,-1,-1,5333.888265250001,unknown,2,2022-06-30T09:58:06.776+02:00,2022-06-30T08:20:05.567+02:00,1483,1.408551,0,0,1171.106,0,0,2022-06-30T09:57:51.488+02:00
2022-06-30T09:58:09.208+02:00,5336.319290500001,-0.0135955810546875,0.02154541015625,-0.9537506103515625,5336.309339500001,-2.70579198664406,-0.01622216700951209,0.007054106172124916,-0.2270371913909912,0.009175780229270458,-0.152716189622879,0.01030107587575912,-0.00654146121814847,0.0162772536277771,XArbitraryZVertical,-0.007156696515690466,-0.005196954758862522,-0.9763215256598116,0.2161437138910769,-0.01622105203568935,-0.007054047659039497,-0.9998435378074646,0,0,0,-1,-1,5333.888265250001,unknown,2,2022-06-30T09:58:06.776+02:00,2022-06-30T08:20:05.567+02:00,1483,1.408551,0,0,1171.106,0,0,2022-06-30T09:57:51.488+02:00
