loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt)
2022-06-30T10:02:15.234+02:00,5582.240383125,0.1314239501953125,-0.3090972900390625,-0.898529052734375,5582.235407125,2.645094102765732,0.07504407324455158,0.1922545810707673,0.2781186997890472,-0.1067286059260368,-0.07219288498163223,0.01342874020338058,-0.01041950285434723,0.008903622627258301,XArbitraryZVertical,-0.01262913636289396,0.1021462181183442,0.965074438671247,0.2409106524717906,0.07359233498573303,-0.1910724192857742,-0.9788132905960083,0,0,0,-1,-1,5581.01148025,unknown,2,2022-06-30T10:02:13.993+02:00,2022-06-30T08:20:05.567+02:00,1524,1.451896,0,0,1205.903,0,0,2022-06-30T10:02:13.992+02:00
2022-06-30T10:02:15.235+02:00,5582.250334125,0.089324951171875,-0.3231048583984375,-0.9146575927734375,5582.245359125001,2.644226534247499,0.07437465622077495,0.1917889047446859,-0.3182075321674347,-0.03058031015098095,-0.1111839637160301,0.05848046392202377,-0.1184815913438797,0.08042192459106445,XArbitraryZVertical,-0.01231964980230009,0.1018466287937252,0.9649935081475235,0.2413772890008959,0.07294368743896484,-0.1906153112649918,-0.9789509773254395,0,0,0,-1,-1,5581.01148025,unknown,2,2022-06-30T10:02:13.993+02:00,2022-06-30T08:20:05.567+02:00,1524,1.451896,0,0,1205.903,0,0,2022-06-30T10:02:13.992+02:00
2022-06-30T10:02:15.242+02:00,5582.260286125001,0.073699951171875,-0.231903076171875,-0.944427490234375,5582.255310125001,2.643112728765322,0.07462056947063973,0.1868944623272275,-0.6004583239555359,0.03944575414061546,-0.1901856064796448,0.01607206463813782,-0.1372961550951004,0.06519401073455811,XArbitraryZVertical,-0.01299045362121061,0.09952600425840269,0.9650590649205673,0.2420472515010902,0.07325310260057449,-0.1858083307743073,-0.9798516631126404,0,0,0,-1,-1,5581.01148025,unknown,2,2022-06-30T10:02:13.993+02:00,2022-06-30T08:20:05.567+02:00,1524,1.451896,0,0,1205.903,0,0,2022-06-30T10:02:13.992+02:00
2022-06-30T10:02:15.252+02:00,5582.270237125001,0.083984375,-0.14666748046875,-0.966766357421875,5582.265261125001,2.641281551020603,0.07527273360228479,0.1805491371290891,-0.5964374542236328,0.03083868324756622,-0.2612821757793427,-0.0002791360020637512,-0.05233287811279297,0.03653210401535034,XArbitraryZVertical,-0.01400608679438504,0.09656099133027644,0.9650851857567505,0.2430854921635011,0.07397928833961487,-0.179569810628891,-0.9809595942497253,0,0,0,-1,-1,5581.01148025,unknown,2,2022-06-30T10:02:13.993+02:00,2022-06-30T08:20:05.567+02:00,1524,1.451896,0,0,1205.903,0,0,2022-06-30T10:02:13.992+02:00
2022-06-30T10:02:15.262+02:00,5582.280188125001,0.09393310546875,-0.1063079833984375,-0.96929931640625,5582.275213125,2.639074860603938,0.07583660846896201,0.1755102227305623,-0.3673214912414551,0.01264110952615738,-0.2431232482194901,0.009384565055370331,0.0279434472322464,0.01504111289978027,XArbitraryZVertical,-0.01480324806969059,0.0942183927921515,0.9650055532517041,0.24427070731089,0.07460001856088638,-0.1746105402708054,-0.9818075299263,0,0,0,-1,-1,5581.01148025,unknown,2,2022-06-30T10:02:13.993+02:00,2022-06-30T08:20:05.567+02:00,1524,1.451896,0,0,1205.903,0,0,2022-06-30T10:02:13.992+02:00
2022-06-30T10:02:15.272+02:00,5582.290139125001,0.0874176025390625,-0.132171630859375,-0.958740234375,5582.285164125,2.637185758666845,0.07611235255767711,0.1725919556589264,-0.1974213719367981,-0.01325387042015791,-0.1794574558734894,0.01902414113283157,0.06542876362800598,0.01299142837524414,XArbitraryZVertical,-0.01521440724467509,0.09286073707696106,0.9648812377833607,0.2452542457626271,0.07490917295217514,-0.1717363744974136,-0.9822908043861389,0,0,0,-1,-1,5581.01148025,unknown,2,2022-06-30T10:02:13.993+02:00,2022-06-30T08:20:05.567+02:00,1524,1.451896,0,0,1205.903,0,0,2022-06-30T10:02:13.992+02:00
2022-06-30T10:02:15.282+02:00,5582.300091125,0.08404541015625,-0.1864166259765625,-0.948394775390625,5582.295115125,2.635672913508565,0.0761309500218622,0.1707009586558146,-0.1756846010684967,-0.02230202034115791,-0.1496463268995285,0.01246580481529236,0.03770190477371216,0.02387118339538574,XArbitraryZVertical,-0.01539170586734498,0.09196389860133916,0.9647647507463253,0.246038154194734,0.07495200634002686,-0.1698731631040573,-0.9826114773750305,0,0,0,-1,-1,5581.01148025,unknown,2,2022-06-30T10:02:13.993+02:00,2022-06-30T08:20:05.567+02:00,1524,1.451896,0,0,1205.903,0,0,2022-06-30T10:02:13.992+02:00
2022-06-30T10:02:15.292+02:00,5582.310042125,0.09033203125,-0.197784423828125,-0.94122314453125,5582.305066125,2.634561152329939,0.07609849240334632,0.168227897500063,-0.3030702471733093,-0.01037851627916098,-0.1088874563574791,0.009093791246414185,-0.0189807265996933,0.03463494777679443,XArbitraryZVertical,-0.01563757904677364,0.09077758964329972,0.9647175418575152,0.2466474875555136,0.07495182007551193,-0.1674355268478394,-0.9830297827720642,0,0,0,-1,-1,5581.01148025,unknown,2,2022-06-30T10:02:13.993+02:00,2022-06-30T08:20:05.567+02:00,1524,1.451896,0,0,1205.903,0,0,2022-06-30T10:02:13.992+02:00
2022-06-30T10:02:15.302+02:00,5582.319993125,0.09808349609375,-0.17620849609375,-0.9495391845703125,5582.315018125,2.633869623852944,0.07613952586351885,0.1645738457983511,-0.3968329727649689,0.004966109991073608,-0.09103388339281082,0.01529403030872345,-0.03395207226276398,0.04240703582763672,XArbitraryZVertical,-0.01608850055552731,0.08902843234253115,0.9647613665391588,0.2470843788713643,0.07503819465637207,-0.1638319492340088,-0.9836301803588867,0,0,0,-1,-1,5581.01148025,unknown,2,2022-06-30T10:02:13.993+02:00,2022-06-30T08:20:05.567+02:00,1524,1.451896,0,0,1205.903,0,0,2022-06-30T10:02:13.992+02:00
2022-06-30T10:02:15.312+02:00,5582.329945125,0.108123779296875,-0.1378021240234375,-0.955230712890625,5582.324969125,2.633299096969466,0.07617128054837007,0.160526284473829,-0.3829232752323151,-0.009500980377197266,-0.07873860746622086,0.02296441048383713,-0.01637034118175507,0.03474175930023193,XArbitraryZVertical,-0.01659124714394349,0.08708762898000728,0.9648301703227657,0.2474737677732344,0.07511927932500839,-0.1598377525806427,-0.9842809438705444,0,0,0,-1,-1,5581.01148025,unknown,2,2022-06-30T10:02:13.993+02:00,2022-06-30T08:20:05.567+02:00,1524,1.451896,0,0,1205.903,0,0,2022-06-30T10:02:13.992+02:00
