loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt)
2022-06-30T09:41:15.252+02:00,4374.953501125,0.073822021484375,-0.3678741455078125,-0.93450927734375,4374.943549125001,2.021281134118646,0.09233596121779544,0.3388348510389902,0.08529787510633469,0.08482268452644348,-0.03847633674740791,-0.01921330392360687,0.01457875967025757,0.0114666223526001,XArbitraryZVertical,0.05095052996695751,0.1668580683785597,0.8382882122008323,0.5165609933145604,0.08696228265762329,-0.3323884308338165,-0.9391248822212219,0,0,0,-1,-1,4372.275655500001,running,2,2022-06-30T09:41:12.560+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:15.103+02:00
2022-06-30T09:41:15.254+02:00,4374.963453125,0.053253173828125,-0.369842529296875,-0.9299468994140625,4374.953501125,2.020331493822972,0.0944621275465609,0.3401047918385269,0.02705427259206772,0.08295740932226181,-0.05904446169734001,-0.006155312061309814,-0.01724377274513245,0.009546399116516113,XArbitraryZVertical,0.05047550508519391,0.1679100935818129,0.8380215867181766,0.5166993090742956,0.08891893178224564,-0.3335858881473541,-0.9385168552398682,0,0,0,-1,-1,4372.275655500001,running,2,2022-06-30T09:41:12.560+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:15.103+02:00
2022-06-30T09:41:15.258+02:00,4374.973405125001,0.0421295166015625,-0.37420654296875,-0.936859130859375,4374.963453125,2.019398852901456,0.09642911443637335,0.3412749147527415,-0.05024897307157516,0.09460807591676712,-0.06187637150287628,-0.01690518856048584,-0.03318500518798828,0.003441572189331055,XArbitraryZVertical,0.05004033626595975,0.1688800689685357,0.8377608013883817,0.5168485330532119,0.09072716534137726,-0.3346887528896332,-0.9379509687423706,0,0,0,-1,-1,4372.275655500001,running,2,2022-06-30T09:41:12.560+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:15.103+02:00
2022-06-30T09:41:15.268+02:00,4374.983357125,0.0491790771484375,-0.3656463623046875,-0.9398193359375,4374.973405125001,2.018496714720692,0.09884128197824428,0.3414658794632061,-0.09452348947525024,0.1256914287805557,-0.04881569370627403,-0.03972995281219482,-0.03497344255447388,0.007718741893768311,XArbitraryZVertical,0.04915706774553737,0.1695602917191936,0.8375761894652847,0.5170098048522286,0.09298308938741684,-0.3348686993122101,-0.9376657605171204,0,0,0,-1,-1,4372.275655500001,running,2,2022-06-30T09:41:12.560+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:15.103+02:00
2022-06-30T09:41:15.279+02:00,4374.993309125,0.074462890625,-0.3409881591796875,-0.933319091796875,4374.983357125,2.017990546642793,0.1009705554747634,0.3414909319880348,-0.1129612252116203,0.1587120890617371,-0.02923952974379063,-0.05284911394119263,-0.03931382298469543,0.0005980730056762695,XArbitraryZVertical,0.04831502487786608,0.1701087989570123,0.8374957201462111,0.5170391820363521,0.09497857838869095,-0.3348923027515411,-0.9374573230743408,0,0,0,-1,-1,4372.275655500001,running,2,2022-06-30T09:41:12.560+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:15.103+02:00
2022-06-30T09:41:15.288+02:00,4375.003261125,0.107818603515625,-0.32452392578125,-0.931793212890625,4374.993309125,2.0178566424262,0.102746365448446,0.3409663888899198,-0.1250786036252975,0.1764527261257172,-0.0195072740316391,-0.04748214036226273,-0.03124797344207764,-0.002357721328735352,XArbitraryZVertical,0.04744336820561791,0.1703473799190734,0.8375342902798482,0.5169791045921577,0.09666117280721664,-0.3343980014324188,-0.937461793422699,0,0,0,-1,-1,4372.275655500001,running,2,2022-06-30T09:41:12.560+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:15.103+02:00
2022-06-30T09:41:15.298+02:00,4375.013213125,0.1356048583984375,-0.312225341796875,-0.9288330078125,4375.003261125,2.018189169281585,0.1033887951900245,0.3392429601985419,-0.1129055619239807,0.1729112416505814,-0.01144215650856495,-0.02285989373922348,-0.008214473724365234,0.004652082920074463,XArbitraryZVertical,0.04668785464013004,0.1698074677663702,0.8377352849451749,0.5168997314588638,0.0973227396607399,-0.3327732980251312,-0.9379713535308838,0,0,0,-1,-1,4372.275655500001,running,2,2022-06-30T09:41:12.560+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:15.103+02:00
2022-06-30T09:41:15.308+02:00,4375.023164125,0.1483306884765625,-0.31597900390625,-0.93017578125,4375.013213125,2.018658068372863,0.1033777215387761,0.3369740570577584,-0.09064420312643051,0.1436971575021744,-0.0215200912207365,0.0104285255074501,0.006109327077865601,0.006927669048309326,XArbitraryZVertical,0.04604971897740707,0.1688754793039265,0.8379867612696588,0.5168545763955289,0.09739001840353012,-0.3306328356266022,-0.9387210011482239,0,0,0,-1,-1,4372.275655500001,running,2,2022-06-30T09:41:12.560+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:15.103+02:00
2022-06-30T09:41:15.318+02:00,4375.033116125001,0.1383514404296875,-0.3283843994140625,-0.93487548828125,4375.023164125,2.018635739744153,0.104121519543395,0.3360843856533543,-0.05079977586865425,0.1127177774906158,-0.0378093495965004,0.03748606890439987,0.01756814122200012,0.01010733842849731,XArbitraryZVertical,0.04550350276976026,0.1686984936515126,0.8380489282295949,0.5168601855346355,0.09811874479055405,-0.3297930955886841,-0.9389405250549316,0,0,0,-1,-1,4372.275655500001,running,2,2022-06-30T09:41:12.560+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:15.103+02:00
2022-06-30T09:41:15.328+02:00,4375.043068125,0.1177215576171875,-0.3549957275390625,-0.9335174560546875,4375.033116125001,2.018251922065184,0.104991289961934,0.3360755080722887,-0.03225059434771538,0.08552157878875732,-0.06197141110897064,0.04939495772123337,0.01380610466003418,0.008681774139404297,XArbitraryZVertical,0.04516909743488869,0.1689109136111375,0.8379699431710514,0.5169481541118905,0.09893567860126495,-0.3297846913337708,-0.9388577342033386,0,0,0,-1,-1,4372.275655500001,running,2,2022-06-30T09:41:12.560+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:15.103+02:00
