loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt)
2022-06-30T09:45:15.473+02:00,4615.175425500001,0.1182403564453125,-0.26959228515625,-0.9492950439453125,4615.165474500001,-0.2667478581468347,0.1418261612226377,0.2415799214146934,0.004335777368396521,-0.04467058926820755,0.01530586741864681,0.03610831499099731,-0.04765912890434265,0.01484698057174683,XArbitraryZVertical,0.1284795324085547,0.05372952021187183,-0.1232163661465834,0.982559924225793,0.1372465044260025,-0.2392369657754898,-0.9612122774124146,0,0,0,-1,-1,4606.70555775,unknown,2,2022-06-30T09:45:06.990+02:00,2022-06-30T08:20:05.567+02:00,1379,1.385177,0,0,1089.191,0,0,2022-06-30T09:44:05.799+02:00
2022-06-30T09:45:15.475+02:00,4615.1853775,0.1026611328125,-0.25238037109375,-0.9604644775390625,4615.175425500001,-0.2664907909069748,0.1416736272269374,0.2409244619378066,-0.06182939559221268,-0.01372959651052952,0.0349421501159668,0.01560293138027191,-0.05369719862937927,0.02115696668624878,XArbitraryZVertical,0.1281419602179379,0.05371697763748202,-0.1231279259887164,0.9826157231297367,0.1371220052242279,-0.238600492477417,-0.9613882303237915,0,0,0,-1,-1,4606.70555775,unknown,2,2022-06-30T09:45:06.990+02:00,2022-06-30T08:20:05.567+02:00,1379,1.385177,0,0,1089.191,0,0,2022-06-30T09:44:05.799+02:00
2022-06-30T09:45:15.478+02:00,4615.1953295,0.1099853515625,-0.2440185546875,-0.9638519287109375,4615.1853775,-0.2660553248942391,0.1416798688727116,0.2399727375121228,-0.06944417208433151,-0.0003698484506458044,0.03571473434567451,-0.01891994476318359,-0.03191646933555603,0.01231676340103149,XArbitraryZVertical,0.1276640897655486,0.05381444956605428,-0.1229542609562744,0.9826944188461783,0.1371600031852722,-0.2376761436462402,-0.9616117477416992,0,0,0,-1,-1,4606.70555775,unknown,2,2022-06-30T09:45:06.990+02:00,2022-06-30T08:20:05.567+02:00,1379,1.385177,0,0,1089.191,0,0,2022-06-30T09:44:05.799+02:00
2022-06-30T09:45:15.488+02:00,4615.2052805,0.11962890625,-0.250244140625,-0.960052490234375,4615.1953295,-0.265651083679877,0.141724547632917,0.2391042393492558,-0.06465786695480347,0.008718395605683327,0.02764852158725262,-0.03457123041152954,-0.01554825901985168,0.001345157623291016,XArbitraryZVertical,0.1272301788376827,0.05392280236472346,-0.1227899008968038,0.9827652458078018,0.1372320801019669,-0.2368324398994446,-0.9618096351623535,0,0,0,-1,-1,4606.70555775,unknown,2,2022-06-30T09:45:06.990+02:00,2022-06-30T08:20:05.567+02:00,1379,1.385177,0,0,1089.191,0,0,2022-06-30T09:44:05.799+02:00
2022-06-30T09:45:15.498+02:00,4615.215232500001,0.1197357177734375,-0.2570953369140625,-0.9554443359375,4615.2052805,-0.2653350807213977,0.141652863945909,0.2382126922340678,-0.06333507597446442,0.008471520617604256,0.01200085040181875,-0.02720782160758972,-0.008052721619606018,-0.001823782920837402,XArbitraryZVertical,0.1267801386776365,0.05396980126255223,-0.1226772254125906,0.982834935062198,0.137192890048027,-0.2359661608934402,-0.9620280861854553,0,0,0,-1,-1,4606.70555775,unknown,2,2022-06-30T09:45:06.990+02:00,2022-06-30T08:20:05.567+02:00,1379,1.385177,0,0,1089.191,0,0,2022-06-30T09:44:05.799+02:00
2022-06-30T09:45:15.508+02:00,4615.225183500001,0.1165313720703125,-0.2531890869140625,-0.9587554931640625,4615.215232500001,-0.2652256403078615,0.1415181259537079,0.2372551933910325,-0.06927026808261871,0.01130673289299011,-0.01796726882457733,-0.01746645569801331,-0.01520887017250061,0.002217411994934082,XArbitraryZVertical,0.1262994428553285,0.05397720342812614,-0.122672791201336,0.9828969244030712,0.1370950639247894,-0.2350355982780457,-0.9622698426246643,0,0,0,-1,-1,4606.70555775,unknown,2,2022-06-30T09:45:06.990+02:00,2022-06-30T08:20:05.567+02:00,1379,1.385177,0,0,1089.191,0,0,2022-06-30T09:44:05.799+02:00
2022-06-30T09:45:15.518+02:00,4615.2351355,0.1129913330078125,-0.2484893798828125,-0.963134765625,4615.225183500001,-0.2653295710489971,0.14138724304644,0.2361433310392118,-0.07469166815280914,0.01887543685734272,-0.03657397627830505,-0.01727043092250824,-0.02314093708992004,0.007101595401763916,XArbitraryZVertical,0.1257489946286155,0.0539837520973952,-0.1227794372069606,0.9829538957652717,0.1370058655738831,-0.2339547425508499,-0.9625458717346191,0,0,0,-1,-1,4606.70555775,unknown,2,2022-06-30T09:45:06.990+02:00,2022-06-30T08:20:05.567+02:00,1379,1.385177,0,0,1089.191,0,0,2022-06-30T09:44:05.799+02:00
2022-06-30T09:45:15.528+02:00,4615.2450865,0.1176605224609375,-0.254852294921875,-0.9555511474609375,4615.2351355,-0.2656273786696269,0.1415975518786202,0.2351861618292164,-0.08530415594577789,0.02562982961535454,-0.05162652581930161,-0.02070873975753784,-0.02016539871692657,0.003982841968536377,XArbitraryZVertical,0.1253005892614579,0.05413511115984432,-0.1229533365645983,0.9829810580385354,0.1372398287057877,-0.2330240309238434,-0.9627382755279541,0,0,0,-1,-1,4606.70555775,unknown,2,2022-06-30T09:45:06.990+02:00,2022-06-30T08:20:05.567+02:00,1379,1.385177,0,0,1089.191,0,0,2022-06-30T09:44:05.799+02:00
2022-06-30T09:45:15.538+02:00,4615.2550385,0.123809814453125,-0.2649078369140625,-0.955413818359375,4615.2450865,-0.2661916550361959,0.1423675687763365,0.2346901825790852,-0.112567737698555,0.02681973017752171,-0.07192833721637726,-0.02500644326210022,-0.01594805717468262,-0.0003880858421325684,XArbitraryZVertical,0.1251200849035368,0.05451284403798774,-0.123203620966354,0.9829518266240703,0.13799749314785,-0.2325416654348373,-0.9627466201782227,0,0,0,-1,-1,4606.70555775,unknown,2,2022-06-30T09:45:06.990+02:00,2022-06-30T08:20:05.567+02:00,1379,1.385177,0,0,1089.191,0,0,2022-06-30T09:44:05.799+02:00
2022-06-30T09:45:15.548+02:00,4615.2649895,0.11932373046875,-0.267578125,-0.9534149169921875,4615.2550385,-0.266813858868196,0.1429753792716741,0.233902815856306,-0.168456107378006,0.02743270620703697,-0.08342251181602478,-0.02094843983650208,-0.02307681739330292,0.007292389869689941,XArbitraryZVertical,0.1247884913462438,0.05482775767578165,-0.1235051670093043,0.9829385640951891,0.1386086791753769,-0.2317758202552795,-0.9628434777259827,0,0,0,-1,-1,4606.70555775,unknown,2,2022-06-30T09:45:06.990+02:00,2022-06-30T08:20:05.567+02:00,1379,1.385177,0,0,1089.191,0,0,2022-06-30T09:44:05.799+02:00
