,loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt)
272,2022-06-30T09:54:06.581+02:00,5115.994480291667,6.53645736694336,-8.599317626953125,16.855099639892575,5115.984528291667,3.014655868648357,2.607434147538843,0.7472938265954959,-1.346694469451904,-0.6375828981399536,-0.7720052003860474,0.1723231673240662,-0.100357711315155,1.05450427532196,XArbitraryZVertical,0.8900764657436574,-0.1530946372377277,-0.2675415938932133,0.3357789167646468,0.3734530508518219,-0.6796562075614929,0.631348192691803,0,0,0,-1,-1,5114.15955275,unknown,2,2022-06-30T09:54:04.745+02:00,2022-06-30T08:20:05.567+02:00,1418,1.388076,0,0,1121.329,0,0,2022-06-30T09:50:28.075+02:00
273,2022-06-30T09:54:06.591+02:00,5116.004431291667,7.401957550048828,-8.893156585693362,16.985029449462886,5115.994480291667,3.033568983615093,2.590095934230931,0.7546773845457531,-1.342724800109863,-0.2777829170227051,-0.8593260049819946,0.2469285130500793,-0.16447913646698,1.092419147491455,XArbitraryZVertical,0.8878078448214235,-0.1484615035663673,-0.2718830010068621,0.3403469380350346,0.3817028999328613,-0.6850537061691284,0.6204871535301208,0,0,0,-1,-1,5114.15955275,unknown,2,2022-06-30T09:54:04.745+02:00,2022-06-30T08:20:05.567+02:00,1418,1.388076,0,0,1121.329,0,0,2022-06-30T09:50:28.075+02:00
274,2022-06-30T09:54:06.601+02:00,5116.014383291667,8.244255981445313,-9.27396469116211,17.32946319580078,5116.004431291667,3.053427758748577,2.576191059478181,0.7612141994043179,-1.315464973449707,0.2262246161699295,-0.9155917167663574,0.3219219744205475,-0.2050046920776367,1.113467216491699,XArbitraryZVertical,0.8861527171040542,-0.1428154956976428,-0.2744576431580881,0.3449785866492809,0.3878861963748932,-0.689801037311554,0.6113258004188538,0,0,0,-1,-1,5114.15955275,unknown,2,2022-06-30T09:54:04.745+02:00,2022-06-30T08:20:05.567+02:00,1418,1.388076,0,0,1121.329,0,0,2022-06-30T09:50:28.075+02:00
275,2022-06-30T09:54:06.611+02:00,5116.024335291667,9.190288696289063,-10.072554016113282,18.078954620361326,5116.014383291667,3.074291364049492,2.567268409104703,0.7673263887016782,-1.372769236564636,0.8826541900634766,-0.9818679094314576,0.4090364575386047,-0.2295994758605957,1.138646125793457,XArbitraryZVertical,0.8852577974119656,-0.1358800629964234,-0.2745700813409124,0.349952375847108,0.3910275101661682,-0.694213330745697,0.6042895317077637,0,0,0,-1,-1,5114.15955275,unknown,2,2022-06-30T09:54:04.745+02:00,2022-06-30T08:20:05.567+02:00,1418,1.388076,0,0,1121.329,0,0,2022-06-30T09:50:28.075+02:00
276,2022-06-30T09:54:06.621+02:00,5116.034286291667,10.293644256591802,-10.792856140136719,18.681601409912115,5116.024335291667,3.096607824500452,2.563474172218438,0.773053490431642,-1.330920934677124,1.470765948295593,-1.102990984916687,0.49179607629776,-0.2815035581588745,1.204463243484497,XArbitraryZVertical,0.8851558943655427,-0.1273964203185385,-0.2720805164784287,0.3553046189930866,0.3911382853984833,-0.6983241438865662,0.5994616150856018,0,0,0,-1,-1,5114.15955275,unknown,2,2022-06-30T09:54:04.745+02:00,2022-06-30T08:20:05.567+02:00,1418,1.388076,0,0,1121.329,0,0,2022-06-30T09:50:28.075+02:00
277,2022-06-30T09:54:06.631+02:00,5116.044238291667,10.97637451171875,-11.315419464111324,19.980001373291014,5116.034286291667,3.120061329717025,2.564939234299525,0.7774939070819201,-1.260374903678894,2.134668827056885,-1.227818965911865,0.6082761287689209,-0.3684352040290833,1.273055076599121,XArbitraryZVertical,0.8859740894028514,-0.1173210466330484,-0.2670283856291346,0.3605294474665653,0.3885650634765625,-0.7014955878257751,0.5974286198616028,0,0,0,-1,-1,5114.15955275,unknown,2,2022-06-30T09:54:04.745+02:00,2022-06-30T08:20:05.567+02:00,1418,1.388076,0,0,1121.329,0,0,2022-06-30T09:50:28.075+02:00
278,2022-06-30T09:54:06.641+02:00,5116.054189291667,11.969409484863283,-11.84816162109375,21.907543029785156,5116.044238291667,-3.138942914989815,2.573020451677752,0.7806643661793521,-1.129329323768616,2.885017395019531,-1.346283078193665,0.7046481370925903,-0.4219043254852295,1.361335039138794,XArbitraryZVertical,0.8878044828501995,-0.1055423415765817,-0.2588917844090023,0.3655666833886538,0.3825250566005707,-0.7037515640258789,0.5986719727516174,0,0,0,-1,-1,5114.15955275,unknown,2,2022-06-30T09:54:04.745+02:00,2022-06-30T08:20:05.567+02:00,1418,1.388076,0,0,1121.329,0,0,2022-06-30T09:50:28.075+02:00
279,2022-06-30T09:54:06.651+02:00,5116.064141291667,12.669803009033199,-12.1810693359375,24.332200927734377,5116.054189291667,-3.114263281043783,2.588220627397734,0.7820296484903423,-1.008636474609375,3.655245542526245,-1.495208621025085,0.7916439771652222,-0.4794067740440369,1.526802778244019,XArbitraryZVertical,0.8906990610087209,-0.0919499597884397,-0.2475178493276238,0.370047747045675,0.3728760778903961,-0.7047208547592163,0.6035992503166199,0,0,0,-1,-1,5114.15955275,unknown,2,2022-06-30T09:54:04.745+02:00,2022-06-30T08:20:05.567+02:00,1418,1.388076,0,0,1121.329,0,0,2022-06-30T09:50:28.075+02:00
280,2022-06-30T09:54:06.661+02:00,5116.074093291667,12.566966857910156,-11.787537689208989,26.678571624755865,5116.064141291667,-3.087688648557915,2.6088885964493,0.7822134011206211,-1.000625252723694,4.261369705200195,-1.745028376579285,0.9034762382507324,-0.5207803845405579,1.740162372589111,XArbitraryZVertical,0.8942681565614035,-0.0762685257611139,-0.2333387214594833,0.3741933705882091,0.3602564334869385,-0.7048512101173401,0.6110648512840271,0,0,0,-1,-1,5114.15955275,unknown,2,2022-06-30T09:54:04.745+02:00,2022-06-30T08:20:05.567+02:00,1418,1.388076,0,0,1121.329,0,0,2022-06-30T09:50:28.075+02:00
281,2022-06-30T09:54:06.670+02:00,5116.084044291667,12.362941131591802,-10.906619567871095,29.35126373291016,5116.074093291667,-3.057148694990876,2.633063821163705,0.7820558821407706,-1.14612603187561,4.925464630126953,-2.048299551010132,0.955453872680664,-0.5325192213058472,1.980437040328979,XArbitraryZVertical,0.898042312508974,-0.0580150790654073,-0.2167695396053607,0.378371749824526,0.3454338908195496,-0.704739511013031,0.6196914911270142,0,0,0,-1,-1,5114.15955275,unknown,2,2022-06-30T09:54:04.745+02:00,2022-06-30T08:20:05.567+02:00,1418,1.388076,0,0,1121.329,0,0,2022-06-30T09:50:28.075+02:00
