,loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt)
216,2022-06-30T10:09:25.420+02:00,5939.460234041667,18.087037811279302,13.051060180664063,-16.78579376220703,5939.450283041667,1.974554688123884,0.1775096750116222,-0.7448430661635667,2.567675113677979,5.572365283966064,3.607283353805542,0.9610766768455504,0.6104129552841187,-1.611822366714478,XArbitraryZVertical,-0.2685917568814285,-0.2569777751950752,0.7564912491789946,0.5380909097173286,0.1298198103904724,0.6778564453125,-0.7236417531967163,0,0,0,-1,-1,5936.208852666667,unknown,2,2022-06-30T10:09:22.168+02:00,2022-06-30T08:20:05.567+02:00,1582,1.534429,0,0,1248.267,0,0,2022-06-30T10:09:24.712+02:00
217,2022-06-30T10:09:25.430+02:00,5939.470186041667,21.3637239074707,14.185700683593751,-11.438164215087887,5939.460234041667,2.014882826952014,0.2719916538373768,-0.7164680002737747,1.649018168449402,8.073951721191406,3.482327461242676,1.241128087043762,0.587614119052887,-1.316394090652466,XArbitraryZVertical,-0.2928610375437004,-0.2258963930136477,0.7590994912761121,0.5356969222403024,0.2025973200798035,0.6567251682281494,-0.726406455039978,0,0,0,-1,-1,5936.208852666667,unknown,2,2022-06-30T10:09:22.168+02:00,2022-06-30T08:20:05.567+02:00,1582,1.534429,0,0,1248.267,0,0,2022-06-30T10:09:24.712+02:00
218,2022-06-30T10:09:25.440+02:00,5939.480137041667,22.495520324707034,15.678995361328125,-4.978048095703126,5939.470186041667,2.051679602643325,0.3884388275078099,-0.695902559275516,0.3952928185462952,10.48238372802734,3.155190944671631,1.553057909011841,0.6893052458763123,-1.000790119171143,XArbitraryZVertical,-0.328584382076002,-0.192048155277001,0.7546754022468125,0.5344294709149785,0.2906767129898071,0.6410784125328064,-0.7102996110916138,0,0,0,-1,-1,5936.208852666667,unknown,2,2022-06-30T10:09:22.168+02:00,2022-06-30T08:20:05.567+02:00,1582,1.534429,0,0,1248.267,0,0,2022-06-30T10:09:24.712+02:00
219,2022-06-30T10:09:25.450+02:00,5939.490089041667,19.62344284057618,17.749938812255866,1.1940669250488283,5939.480137041667,2.088853844884762,0.5267210741148689,-0.6866640147350345,-1.341744899749756,12.51749897003174,2.832326889038086,1.78897762298584,0.8120845556259155,-0.4974262714385986,XArbitraryZVertical,-0.3752406444441435,-0.1578696030057979,0.7420762394487566,0.5325358846152591,0.3887718617916107,0.6339607834815979,-0.66854327917099,0,0,0,-1,-1,5936.208852666667,unknown,2,2022-06-30T10:09:22.168+02:00,2022-06-30T08:20:05.567+02:00,1582,1.534429,0,0,1248.267,0,0,2022-06-30T10:09:24.712+02:00
220,2022-06-30T10:09:25.460+02:00,5939.500040041667,16.40303970336914,21.123623199462887,2.708318023681641,5939.490089041667,2.137431235082214,0.691081088142406,-0.6909753103789696,-3.723161697387695,14.25152969360352,2.864500999450684,1.801947593688965,0.9609779119491576,0.0863646268844604,XArbitraryZVertical,-0.4327043790507246,-0.1259427022558928,0.7208336162964748,0.5265969546834792,0.4911736249923706,0.6372891068458557,-0.5938107371330261,0,0,0,-1,-1,5936.208852666667,unknown,2,2022-06-30T10:09:22.168+02:00,2022-06-30T08:20:05.567+02:00,1582,1.534429,0,0,1248.267,0,0,2022-06-30T10:09:24.712+02:00
221,2022-06-30T10:09:25.470+02:00,5939.509991041667,10.936856689453126,26.276358032226565,2.9211753845214847,5939.500040041667,2.209938347350341,0.8857764043018492,-0.7040317238957445,-6.006994247436523,15.42299365997314,3.115108966827393,1.410068154335022,1.162076234817505,0.603979229927063,XArbitraryZVertical,-0.499334898911282,-0.097646437191433,0.6913791410289999,0.5129569923679875,0.5902826189994812,0.6472960710525513,-0.4822596609592438,0,0,0,-1,-1,5936.208852666667,unknown,2,2022-06-30T10:09:22.168+02:00,2022-06-30T08:20:05.567+02:00,1582,1.534429,0,0,1248.267,0,0,2022-06-30T10:09:24.712+02:00
222,2022-06-30T10:09:25.480+02:00,5939.519943041667,2.415526885986328,30.653555603027346,7.286996612548829,5939.509991041667,2.309808938820178,1.108139586250118,-0.7138228856480928,-7.800457954406738,16.16520881652832,3.503342151641846,0.9956727623939514,1.498546838760376,0.6134403347969055,XArbitraryZVertical,-0.5710045155570689,-0.0726114588366222,0.65460930500221,0.4900695556195023,0.6764004230499268,0.65472811460495,-0.3373628258705139,0,0,0,-1,-1,5936.208852666667,unknown,2,2022-06-30T10:09:22.168+02:00,2022-06-30T08:20:05.567+02:00,1582,1.534429,0,0,1248.267,0,0,2022-06-30T10:09:24.712+02:00
223,2022-06-30T10:09:25.490+02:00,5939.529894041667,-7.931107177734376,33.48177429199219,12.503947906494137,5939.519943041667,2.43209181497927,1.354156605016292,-0.707633238063554,-9.319051742553713,17.2979621887207,3.804243803024292,0.3727278113365173,2.028491020202637,0.461115837097168,XArbitraryZVertical,-0.6449186378704418,-0.0490891925538186,0.610200139700287,0.4575217601654853,0.7421401143074036,0.6500371098518372,-0.1633404046297073,0,0,0,-1,-1,5936.208852666667,unknown,2,2022-06-30T10:09:22.168+02:00,2022-06-30T08:20:05.567+02:00,1582,1.534429,0,0,1248.267,0,0,2022-06-30T10:09:24.712+02:00
224,2022-06-30T10:09:25.500+02:00,5939.539846041667,-18.607206115722658,39.37307327270507,19.33828582763672,5939.529894041667,2.564388096027506,1.620213487700303,-0.6784198122350172,-10.52997207641602,19.19805145263672,3.712852239608765,-0.5313842296600342,2.497162103652954,0.7043545246124268,XArbitraryZVertical,-0.7201245041656024,-0.0254974244292024,0.5546497342055701,0.416094193264973,0.7776150703430176,0.6275635361671448,0.038458839058876,0,0,0,-1,-1,5936.208852666667,unknown,2,2022-06-30T10:09:22.168+02:00,2022-06-30T08:20:05.567+02:00,1582,1.534429,0,0,1248.267,0,0,2022-06-30T10:09:24.712+02:00
225,2022-06-30T10:09:25.509+02:00,5939.549797041667,-29.577892456054688,42.95796844482422,27.556795349121096,5939.539846041667,2.689628206001399,1.897054112725508,-0.623642929019282,-11.12699508666992,21.11532783508301,3.311653614044189,-1.577407002449036,2.829029083251953,1.014444231987,XArbitraryZVertical,-0.7937778140531767,-0.0009919232906922,0.4848105775925229,0.367252901166776,0.7689352035522461,0.5839961767196655,0.2601684033870697,0,0,0,-1,-1,5936.208852666667,unknown,2,2022-06-30T10:09:22.168+02:00,2022-06-30T08:20:05.567+02:00,1582,1.534429,0,0,1248.267,0,0,2022-06-30T10:09:24.712+02:00
