,loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt)
220,2022-06-30T10:06:29.615+02:00,5822.217205541667,20.631895751953127,4.9072453308105475,-3.573219451904297,5822.207254541667,-1.170167859893521,0.8944093338305352,-0.4017522534505208,-0.4148793816566467,4.225851058959961,3.254272222518921,1.000256061553955,0.2004291117191315,-0.1740610003471375,XArbitraryZVertical,0.0840431314701174,0.4526235580748803,-0.5598790151921974,0.6889152386141452,0.7177464962005615,0.3910316824913025,-0.5761373043060303,0,0,0,-1,-1,5821.512441000001,unknown,2,2022-06-30T10:06:28.909+02:00,2022-06-30T08:20:05.567+02:00,1545,1.51807,0,0,1220.719,0,0,2022-06-30T10:06:28.909+02:00
221,2022-06-30T10:06:29.625+02:00,5822.227157541667,21.970112915039063,4.901407470703125,-2.760110321044922,5822.217205541667,-1.14543132108522,0.9527821770773356,-0.379818266195558,-0.6148694753646851,5.614138603210449,3.002113580703735,1.156614065170288,0.17500901222229,-0.0161364078521728,XArbitraryZVertical,0.1030578952584711,0.4693795163076209,-0.5456710466353305,0.6865166903478385,0.7569451928138733,0.370751678943634,-0.5381239056587219,0,0,0,-1,-1,5821.512441000001,unknown,2,2022-06-30T10:06:28.909+02:00,2022-06-30T08:20:05.567+02:00,1545,1.51807,0,0,1220.719,0,0,2022-06-30T10:06:28.909+02:00
222,2022-06-30T10:06:29.635+02:00,5822.237108541667,21.693787536621095,6.173162841796875,-2.5909620666503907,5822.227157541667,-1.122329524826149,1.024001419596119,-0.3604561695277075,-0.875738263130188,7.013867855072021,2.601507663726807,1.303848147392273,0.1475273370742798,0.1222954392433167,XArbitraryZVertical,0.1241985840326117,0.4912287761150522,-0.5307677283068961,0.6793782725050058,0.7993015050888062,0.3527011275291443,-0.4865379929542542,0,0,0,-1,-1,5821.512441000001,unknown,2,2022-06-30T10:06:28.909+02:00,2022-06-30T08:20:05.567+02:00,1545,1.51807,0,0,1220.719,0,0,2022-06-30T10:06:28.909+02:00
223,2022-06-30T10:06:29.645+02:00,5822.247059541667,20.012334136962888,8.55261474609375,-2.0077748107910156,5822.237108541667,-1.100097391291669,1.108168748607854,-0.3452222118413114,-1.336505889892578,8.33792781829834,2.067951679229736,1.397478103637695,0.1612276136875153,0.1386125981807709,XArbitraryZVertical,0.1464402801425152,0.5182379298678584,-0.514955380633993,0.6669375177123467,0.842085063457489,0.3384057879447937,-0.419969379901886,0,0,0,-1,-1,5821.512441000001,unknown,2,2022-06-30T10:06:28.909+02:00,2022-06-30T08:20:05.567+02:00,1545,1.51807,0,0,1220.719,0,0,2022-06-30T10:06:28.909+02:00
224,2022-06-30T10:06:29.654+02:00,5822.257011541667,16.930093688964845,11.616892547607426,-1.1919712829589844,5822.247059541667,-1.076907271058084,1.205033964752006,-0.3357570394122422,-1.941777944564819,9.570847511291504,1.410272717475891,1.329689264297485,0.2997880280017853,0.0735756456851959,XArbitraryZVertical,0.1683438469494641,0.5502866318580609,-0.4978642094121489,0.6488268219409545,0.881706178188324,0.3294840455055237,-0.3376899361610413,0,0,0,-1,-1,5821.512441000001,unknown,2,2022-06-30T10:06:28.909+02:00,2022-06-30T08:20:05.567+02:00,1545,1.51807,0,0,1220.719,0,0,2022-06-30T10:06:28.909+02:00
225,2022-06-30T10:06:29.664+02:00,5822.266962541667,13.250744934082032,15.481855316162115,2.8481272888183593,5822.257011541667,-1.048798128057622,1.31654626458365,-0.3327582473309425,-3.041686773300171,11.01269245147705,0.7678584456443787,1.125232815742493,0.5451745986938477,0.0330564379692077,XArbitraryZVertical,0.1886663868699553,0.5878296715537148,-0.4783033553392463,0.6245696471062331,0.9147606492042542,0.3266512155532837,-0.2377225458621979,0,0,0,-1,-1,5821.512441000001,unknown,2,2022-06-30T10:06:28.909+02:00,2022-06-30T08:20:05.567+02:00,1545,1.51807,0,0,1220.719,0,0,2022-06-30T10:06:28.909+02:00
226,2022-06-30T10:06:29.674+02:00,5822.276914541667,10.912307739257812,19.32631072998047,9.284293212890626,5822.266962541667,-1.006705602688007,1.448297527546106,-0.3354501345066613,-5.040947437286377,12.69314098358154,0.1729032844305038,0.7886134386062622,0.8549942374229431,-0.00612373650074,XArbitraryZVertical,0.2055427666398758,0.6325039206681208,-0.453131745767789,0.5936014371198846,0.937186360359192,0.3291942477226257,-0.1153819262981415,0,0,0,-1,-1,5821.512441000001,unknown,2,2022-06-30T10:06:28.909+02:00,2022-06-30T08:20:05.567+02:00,1545,1.51807,0,0,1220.719,0,0,2022-06-30T10:06:28.909+02:00
227,2022-06-30T10:06:29.684+02:00,5822.286865541667,9.674980773925782,22.537582855224613,15.017520904541012,5822.276914541667,-0.9389369764028184,1.605438785860836,-0.3387480389289139,-7.892838954925537,14.3688440322876,-0.3203170895576477,0.4081331491470337,1.245863914489746,0.2576618194580078,XArbitraryZVertical,0.2162994677032508,0.6852358447586195,-0.4179404797539671,0.5558706616479978,0.9426056146621704,0.3323065340518951,0.0326672457158565,0,0,0,-1,-1,5821.512441000001,unknown,2,2022-06-30T10:06:28.909+02:00,2022-06-30T08:20:05.567+02:00,1545,1.51807,0,0,1220.719,0,0,2022-06-30T10:06:28.909+02:00
228,2022-06-30T10:06:29.694+02:00,5822.296817541667,6.690187683105469,25.14246597290039,18.232834625244138,5822.286865541667,-0.8413263638646543,1.788618882620471,-0.3324441931825325,-10.57540035247803,15.94648265838623,-0.8042529821395874,0.1894543170928955,1.643707513809204,0.7421392202377319,XArbitraryZVertical,0.2194900370960514,0.7442849548597538,-0.3699086316252677,0.5109126886584218,0.9229117631912231,0.3263543546199799,0.2042719423770905,0,0,0,-1,-1,5821.512441000001,unknown,2,2022-06-30T10:06:28.909+02:00,2022-06-30T08:20:05.567+02:00,1545,1.51807,0,0,1220.719,0,0,2022-06-30T10:06:28.909+02:00
229,2022-06-30T10:06:29.704+02:00,5822.306768541667,0.42766067504882815,25.965903625488284,22.642963714599613,5822.296817541667,-0.7229812646677364,1.992311383452273,-0.3049222771998233,-12.46746349334717,17.48757743835449,-1.046025037765503,0.1158585548400879,1.997189521789551,1.140568256378174,XArbitraryZVertical,0.2162097259043867,0.8052255554119596,-0.3092409015402838,0.4574223336256842,0.8703780770301819,0.3002190291881561,0.3902696669101715,0,0,0,-1,-1,5821.512441000001,unknown,2,2022-06-30T10:06:28.909+02:00,2022-06-30T08:20:05.567+02:00,1545,1.51807,0,0,1220.719,0,0,2022-06-30T10:06:28.909+02:00
230,2022-06-30T10:06:29.714+02:00,5822.316719541667,-8.071365509033203,23.94570465087891,31.07403121948243,5822.306768541667,-0.6025100239960295,2.205334356127973,-0.2496100822600646,-13.16904926300049,18.50550079345703,-1.119556427001953,-0.0984105467796325,2.315916061401367,1.284162998199463,XArbitraryZVertical,0.2090979295378728,0.8622615442389753,-0.2389293607173069,0.3945831867433481,0.7803871035575867,0.2470261454582214,0.5744338035583496,0,0,0,-1,-1,5821.512441000001,unknown,2,2022-06-30T10:06:28.909+02:00,2022-06-30T08:20:05.567+02:00,1545,1.51807,0,0,1220.719,0,0,2022-06-30T10:06:28.909+02:00
