,loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt)
166,2022-06-30T09:41:23.966+02:00,4383.681250000001,2.2516177368164065,13.308674468994138,8.63254852294922,4383.671298,-0.2668167082275901,0.9563825551175364,-0.4205786281652583,0.5024812817573547,5.982088088989258,-0.4623871743679047,-0.6531597375869751,0.8078822493553162,1.601603984832764,XArbitraryZVertical,-0.1238204035469302,0.4706888212880386,-0.2106957124152485,0.8477782525283177,0.7459026575088501,0.4082887172698975,-0.5262410640716553,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
167,2022-06-30T09:41:23.976+02:00,4383.691201000001,3.3052766418457034,13.621972961425781,9.73081466674805,4383.681250000001,-0.2729922761681079,1.014238139846312,-0.4222174634100896,0.2465931624174118,6.140148162841797,-0.4346767365932465,-0.6401150226593018,0.8409936428070068,1.429888963699341,XArbitraryZVertical,-0.1168506902633577,0.4953867083532514,-0.2171276997990577,0.8329426072591861,0.774514377117157,0.409784197807312,-0.4818758368492126,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
168,2022-06-30T09:41:23.986+02:00,4383.701153,4.284839630126953,12.674742736816407,10.938802642822262,4383.691201000001,-0.2756006159590971,1.075048615609941,-0.425323938176937,-0.1795997023582458,6.311172962188721,-0.3594965040683746,-0.5717215538024902,0.9440274834632874,1.313282132148743,XArbitraryZVertical,-0.1108319660242501,0.5206364217769542,-0.2223771955441425,0.8168245682183949,0.8012442588806152,0.4126158654689789,-0.4333079755306244,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
169,2022-06-30T09:41:23.996+02:00,4383.711105,5.508395233154297,11.744277648925781,12.0997883605957,4383.701153,-0.2727293222541494,1.140687342334116,-0.4303361813475311,-0.755085289478302,6.634823322296143,-0.3231919407844543,-0.4891206026077271,0.9714036583900452,1.370880722999573,XArbitraryZVertical,-0.106342011011949,0.5470054262556471,-0.2259955873548187,0.7990009282040899,0.8260500431060791,0.417176365852356,-0.3789528906345367,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
170,2022-06-30T09:41:24.006+02:00,4383.721057000001,6.409072265625,11.531569976806637,13.234428863525387,4383.711105,-0.2624446525633423,1.212930020155686,-0.437175274717496,-1.533470034599304,7.022956848144531,-0.2262203693389893,-0.4117730259895325,0.8686403036117554,1.432399749755859,XArbitraryZVertical,-0.1038444752959356,0.5749344256945479,-0.2274889484380941,0.779047888498398,0.8485559821128845,0.4233821034431458,-0.317333459854126,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
171,2022-06-30T09:41:24.016+02:00,4383.731009,6.2490550231933595,11.941268005371095,14.499448242187501,4383.721057000001,-0.2419303326491043,1.293396065870226,-0.4446458554436388,-2.508902788162231,7.386233329772949,-0.0531892031431198,-0.306742787361145,0.7670356035232544,1.480640649795532,XArbitraryZVertical,-0.1037661189842546,0.6046643254056376,-0.2258240517207751,0.7567147369936524,0.8682510256767273,0.4301382005214691,-0.2472272962331772,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
172,2022-06-30T09:41:24.026+02:00,4383.74096,5.226830749511719,12.572655029296875,16.498990173339845,4383.731009,-0.2093655500490032,1.383367986150084,-0.4512264260925224,-3.488791227340698,7.869839191436768,0.1251459121704102,-0.2308320999145508,0.7394214868545532,1.516758441925049,XArbitraryZVertical,-0.1063882835030908,0.6362702555874898,-0.2203423631485587,0.7316358060058852,0.8841525316238403,0.4360695481300354,-0.1676833927631378,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
173,2022-06-30T09:41:24.036+02:00,4383.750912,3.370989990234375,14.415323181152344,19.744241638183595,4383.74096,-0.167474147487188,1.483339692235928,-0.4535819989215795,-4.030054569244385,8.568382263183594,0.4278877377510071,-0.2584391236305237,0.7790662050247192,1.556540250778198,XArbitraryZVertical,-0.1101585031705061,0.6697824582763104,-0.211451237415402,0.7032388496765215,0.8954477906227112,0.4381881356239319,-0.0785131230950355,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
174,2022-06-30T09:41:24.046+02:00,4383.760864,0.23516098022460938,19.11315399169922,23.918012237548826,4383.750912,-0.1212951455982219,1.593180234252913,-0.4498885089588722,-4.294511795043945,9.475431442260742,0.5544248819351196,-0.3674635291099548,0.8467508554458618,1.661699056625366,XArbitraryZVertical,-0.1134166014611178,0.7051341284633659,-0.2004917766645304,0.6706158942281035,0.9002701044082642,0.4348651468753815,0.0201549287885427,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
175,2022-06-30T09:41:24.056+02:00,4383.770816,-5.880521392822266,25.747058715820312,27.15248611450195,4383.760864,-0.0738368931663093,1.71351727105066,-0.4404449380499746,-4.40688419342041,10.62363433837891,0.6171243190765381,-0.5517370104789734,1.043109655380249,1.884002327919006,XArbitraryZVertical,-0.1157410544014503,0.7422500029534256,-0.1885611643393333,0.6325453509713952,0.8953650593757629,0.4263419806957245,0.1286621242761612,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
176,2022-06-30T09:41:24.066+02:00,4383.780768000001,-11.7261653137207,28.802953948974615,31.527737731933595,4383.770816,-0.0276841579578332,1.845047896427521,-0.4248827004901755,-4.508447170257568,11.8578519821167,0.6908107399940491,-0.8530663847923279,1.536119699478149,2.191378831863403,XArbitraryZVertical,-0.11651385254494,0.7808955350545178,-0.1762257794730447,0.5878531299676345,0.877038300037384,0.412213921546936,0.2467466294765472,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
177,2022-06-30T09:41:24.076+02:00,4383.790719000001,-14.097833404541012,25.20758056640625,37.70329559326172,4383.780768000001,0.0172269528546113,1.985597718899255,-0.4039118122874262,-4.681522846221924,12.6463098526001,0.4363555610179901,-1.44099235534668,2.231554269790649,2.397258758544922,XArbitraryZVertical,-0.116653163879112,0.8195616276242458,-0.1633858724458894,0.5366712057998001,0.8415513038635254,0.393018364906311,0.3705784380435944,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
178,2022-06-30T09:41:24.086+02:00,4383.800671,-19.814595336914063,21.6128059387207,46.71740066528319,4383.790719000001,0.0633462793920393,2.129510655137907,-0.3780983941269895,-5.439163208007812,12.77042198181152,0.1323506683111191,-1.983373641967773,2.566926956176758,2.721181631088257,XArbitraryZVertical,-0.1182504670276657,0.8557711430726473,-0.1492135929439152,0.481048720471293,0.7880460619926453,0.3691538572311401,0.4926548302173615,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
179,2022-06-30T09:41:24.096+02:00,4383.810623,-24.200624542236326,24.993226318359376,55.54005386352539,4383.800671,0.1163472109831845,2.274940825442909,-0.3430229752025262,-6.82774829864502,12.61692142486572,-0.4078157842159271,-2.15485143661499,2.2332444190979,3.233685970306396,XArbitraryZVertical,-0.1235353471627458,0.8885789162579584,-0.1305807124676306,0.4220369087434558,0.7177635431289673,0.3363354802131653,0.6096669435501099,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
180,2022-06-30T09:41:24.106+02:00,4383.820575000001,-25.161775817871096,25.0041535949707,63.82068420410157,4383.810623,0.1775979456596705,2.416912379390469,-0.2959533096950908,-8.030954360961914,11.98472690582275,-1.05494749546051,-2.653912544250488,1.911488175392151,4.046061038970947,XArbitraryZVertical,-0.134073105104493,0.9165722955355914,-0.1062298068802132,0.3614343483110323,0.6340762972831726,0.2916518449783325,0.7161607146263123,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
181,2022-06-30T09:41:24.115+02:00,4383.830526000001,-24.044199829101565,19.99032989501953,74.36400924682619,4383.820575000001,0.2411335576451188,2.549502843365664,-0.2393965122289007,-8.444586753845215,11.26776790618896,-1.789529085159302,-3.009114027023315,2.310612916946411,4.855463027954102,XArbitraryZVertical,-0.1488039768649722,0.9385699291169716,-0.0785508934204042,0.3012869062295861,0.5421802997589111,0.2371163964271545,0.8061122894287109,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
182,2022-06-30T09:41:24.125+02:00,4383.840478,-18.386564941406252,17.554295654296876,83.53423965454103,4383.830526000001,0.306856178186375,2.671626546293393,-0.1766911101319134,-8.954161643981934,10.56072235107422,-3.034197330474854,-3.010715961456299,2.373070001602173,5.627973556518555,XArbitraryZVertical,-0.1683483863657354,0.95420650315181,-0.0493546060488387,0.242307629202043,0.4458054900169373,0.1757731735706329,0.8777024745941162,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
183,2022-06-30T09:41:24.135+02:00,4383.85043,-11.680959320068364,15.325430603027344,90.08596527099611,4383.840478,0.3783931884373424,2.783963779409393,-0.1087742312697356,-9.16008472442627,9.993032455444336,-4.556231021881104,-2.798973560333252,1.929190278053284,6.649235725402832,XArbitraryZVertical,-0.194293673561055,0.9632479314446616,-0.0191377697876079,0.1844914009087102,0.3479852378368378,0.108559861779213,0.931193232536316,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
184,2022-06-30T09:41:24.145+02:00,4383.860382,-6.548133087158203,13.179493103027344,98.34519012451177,4383.85043,0.4578146684503803,2.886451735565734,-0.0401150381342855,-8.642488479614258,9.377514839172363,-6.559311866760254,-2.126446008682251,1.749324321746826,7.54836368560791,XArbitraryZVertical,-0.2275093677274619,0.9652275974834684,0.0094889239020798,0.1283952020587237,0.252178817987442,0.0401042811572551,0.9668496251106262,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
185,2022-06-30T09:41:24.155+02:00,4383.870334,-4.473297729492188,13.2971484375,107.13880371093751,4383.860382,0.5504186876065781,2.974868634680859,0.0231566393890202,-7.688642501831055,8.077244758605957,-9.076722145080566,-1.356627345085144,1.585379838943481,8.197205543518066,XArbitraryZVertical,-0.2698588021189641,0.9592241414559648,0.0337294152770886,0.0769913165670684,0.1659082174301147,-0.0231545697897672,0.9858694672584534,0,0,0,-1,-1,4382.458625125,unknown,2,2022-06-30T09:41:22.743+02:00,2022-06-30T08:20:05.567+02:00,1243,1.414864,0,0,976.737,0,0,2022-06-30T09:41:22.743+02:00
