,loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
220,2022-06-02T10:52:28.673+02:00,1654159945.813378,53.22890393440913,10.39865269326642,39.63852,0,0.21,226.7578125,65.06141773144168,4,5,-9999,3092.950938125,1.131134033203125,0.666717529296875,-2.129302978515625,3092.940944125,-2.511730805409278,-0.0038233089541365,0.419926320447349,3.261138916015625,8.395200729370117,-5.96471643447876,0.8341948986053467,0.9009183645248412,-1.476154685020447,XArbitraryZVertical,0.0627816232297618,-0.1987518965958525,-0.9300581771544684,0.3025688147730511,-0.003491127397865,-0.4076931774616241,-0.9131122827529908,0,0,0,-1,-1,3090.75523875,unknown,2,2022-06-02T10:52:26.477+02:00,2022-06-02T10:17:13.754+02:00,516,1.472617,0,0,401.0887,0,0,2022-06-02T10:52:26.477+02:00,675852746.4766881,0,4.8125,101.3242,1,0.79
221,2022-06-02T10:52:28.683+02:00,1654159945.813378,53.22890393440913,10.39865269326642,39.63852,0,0.21,226.7578125,65.06141773144168,4,5,-9999,3092.960932125,0.995452880859375,0.8756866455078125,-1.85943603515625,3092.950938125,-2.578765263598466,0.114642340611337,0.4534155948026317,4.041470527648926,9.63405990600586,-5.804079055786133,0.9703025221824646,1.004338026046753,-1.347331762313843,XArbitraryZVertical,0.1159474119469651,-0.2000714605920443,-0.9309684108897744,0.2825338349351677,0.1028328388929367,-0.438038557767868,-0.8930552005767822,0,0,0,-1,-1,3090.75523875,unknown,2,2022-06-02T10:52:26.477+02:00,2022-06-02T10:17:13.754+02:00,516,1.472617,0,0,401.0887,0,0,2022-06-02T10:52:26.477+02:00,675852746.4766881,0,4.8125,101.3242,1,0.79
222,2022-06-02T10:52:28.693+02:00,1654159945.813378,53.22890393440913,10.39865269326642,39.63852,0,0.21,226.7578125,65.06141773144168,4,5,-9999,3092.970927125,0.583465576171875,1.16925048828125,-1.339248657226562,3092.960932125,-2.650398404005129,0.2497048014946472,0.4844703257654541,4.306943893432617,10.91916942596436,-5.667496681213379,0.8891843557357788,1.242106914520264,-1.15238094329834,XArbitraryZVertical,0.1751326050862513,-0.2014706969573467,-0.9270799620932676,0.2631743309704044,0.2186800241470337,-0.4657396972179413,-0.8574762344360352,0,0,0,-1,-1,3090.75523875,unknown,2,2022-06-02T10:52:26.477+02:00,2022-06-02T10:17:13.754+02:00,516,1.472617,0,0,401.0887,0,0,2022-06-02T10:52:26.477+02:00,675852746.4766881,0,4.8125,101.3242,1,0.79
223,2022-06-02T10:52:28.703+02:00,1654159945.813378,53.22890393440913,10.39865269326642,39.63852,0,0.21,226.7578125,65.06141773144168,4,5,-9999,3092.980921125,0.0033111572265625,1.354171752929688,-0.6900482177734375,3092.970927125,-2.726289843537133,0.4017095152822739,0.505936207502877,3.932094573974609,12.26387214660645,-5.63716983795166,0.4756481945514679,1.487541079521179,-0.8288994431495667,XArbitraryZVertical,0.2395687356840679,-0.2001569876600082,-0.9180354303163402,0.244447924641997,0.3420092463493347,-0.4846265614032745,-0.8050879836082458,0,0,0,-1,-1,3090.75523875,unknown,2,2022-06-02T10:52:26.477+02:00,2022-06-02T10:17:13.754+02:00,516,1.472617,0,0,401.0887,0,0,2022-06-02T10:52:26.477+02:00,675852746.4766881,0,4.8125,101.3242,1,0.79
224,2022-06-02T10:52:28.713+02:00,1654159945.813378,53.22890393440913,10.39865269326642,39.63852,0,0.21,226.7578125,65.06141773144168,4,5,-9999,3092.990915125,-0.4504241943359375,1.402923583984375,0.0437469482421875,3092.980921125,-2.801288588722246,0.5676083647642568,0.5101542058449685,2.833905458450317,13.61563014984131,-5.609028816223145,-0.1676939725875854,1.78808605670929,-0.2831872701644897,XArbitraryZVertical,0.3080535979394842,-0.1928480188260159,-0.9035570002806044,0.2269304262578469,0.4691618084907532,-0.4883118271827698,-0.73582524061203,0,0,0,-1,-1,3090.75523875,unknown,2,2022-06-02T10:52:26.477+02:00,2022-06-02T10:17:13.754+02:00,516,1.472617,0,0,401.0887,0,0,2022-06-02T10:52:26.477+02:00,675852746.4766881,0,4.8125,101.3242,1,0.79
225,2022-06-02T10:52:28.723+02:00,1654159945.813378,53.22890393440913,10.39865269326642,39.63852,0,0.21,226.7578125,65.06141773144168,4,5,-9999,3093.000909125,-0.626068115234375,1.445632934570312,0.74237060546875,3092.990915125,-2.866007854083798,0.7417682394910252,0.4926828294808016,1.263841509819031,14.99570178985596,-5.554301261901855,-0.854458749294281,1.849654674530029,0.3138496279716492,XArbitraryZVertical,0.3793843473781034,-0.1768421187912341,-0.8831635619556837,0.2116986511098445,0.5952423810958862,-0.4729913473129272,-0.6495887637138367,0,0,0,-1,-1,3090.75523875,unknown,2,2022-06-02T10:52:26.477+02:00,2022-06-02T10:17:13.754+02:00,516,1.472617,0,0,401.0887,0,0,2022-06-02T10:52:26.477+02:00,675852746.4766881,0,4.8125,101.3242,1,0.79
226,2022-06-02T10:52:28.733+02:00,1654159945.813378,53.22890393440913,10.39865269326642,39.63852,0,0.21,226.7578125,65.06141773144168,4,5,-9999,3093.010904125,-0.6301116943359375,1.350723266601562,1.381805419921875,3093.000909125,-2.910451435083379,0.9190870895076738,0.4555335651431509,-0.4586058259010315,16.42588996887207,-5.2830810546875,-1.278351187705994,1.868820428848267,0.963456690311432,XArbitraryZVertical,0.4525382017294352,-0.1512015435553244,-0.8557342933047771,0.2001652449090381,0.7139743566513062,-0.4399415254592896,-0.5446945428848267,0,0,0,-1,-1,3090.75523875,unknown,2,2022-06-02T10:52:26.477+02:00,2022-06-02T10:17:13.754+02:00,516,1.472617,0,0,401.0887,0,0,2022-06-02T10:52:26.477+02:00,675852746.4766881,0,4.8125,101.3242,1,0.79
227,2022-06-02T10:52:28.743+02:00,1654159945.813378,53.22890393440913,10.39865269326642,39.63852,0,0.21,226.7578125,65.06141773144168,4,5,-9999,3093.020898125,-0.5383453369140625,1.1536865234375,2.0750732421875,3093.010904125,-2.926705825551696,1.098086240287994,0.4052302878125015,-2.485612630844116,18.01263427734375,-4.8439621925354,-1.469368934631348,1.822956681251526,1.467727780342102,XArbitraryZVertical,0.5266556621992642,-0.1158466680940775,-0.8194943983606302,0.1940157787390525,0.8182305693626404,-0.3942303955554962,-0.4184267222881317,0,0,0,-1,-1,3090.75523875,unknown,2,2022-06-02T10:52:26.477+02:00,2022-06-02T10:17:13.754+02:00,516,1.472617,0,0,401.0887,0,0,2022-06-02T10:52:26.477+02:00,675852746.4766881,0,4.8125,101.3242,1,0.79
228,2022-06-02T10:52:28.753+02:00,1654159945.813378,53.22890393440913,10.39865269326642,39.63852,0,0.21,226.7578125,65.06141773144168,4,5,-9999,3093.030892125,-0.803863525390625,1.228652954101562,3.020294189453125,3093.020898125,-2.908930421821189,1.279507484128156,0.3502618609625271,-4.759020805358887,19.58903312683105,-4.134130954742432,-1.467036962509155,1.575092673301697,2.003743410110474,XArbitraryZVertical,0.600116933086,-0.0706027049334372,-0.7725588065496362,0.1950072435135748,0.8997151851654053,-0.3431437909603119,-0.2697498500347137,0,0,0,-1,-1,3090.75523875,unknown,2,2022-06-02T10:52:26.477+02:00,2022-06-02T10:17:13.754+02:00,516,1.472617,0,0,401.0887,0,0,2022-06-02T10:52:26.477+02:00,675852746.4766881,0,4.8125,101.3242,1,0.79
229,2022-06-02T10:52:28.763+02:00,1654159945.813378,53.22890393440913,10.39865269326642,39.63852,0,0.21,226.7578125,65.06141773144168,4,5,-9999,3093.040886125,-1.274017333984375,1.1256103515625,4.32763671875,3093.030892125,-2.853175871975821,1.465953452403604,0.302857636173217,-7.608069896697998,21.23442268371582,-3.135510206222534,-1.570813894271851,1.472428202629089,2.572559595108032,XArbitraryZVertical,0.6706738303496597,-0.0158932308764498,-0.7125504920038248,0.2054646603172539,0.9492469429969788,-0.2982490062713623,-0.0998880341649055,0,0,0,-1,-1,3090.75523875,unknown,2,2022-06-02T10:52:26.477+02:00,2022-06-02T10:17:13.754+02:00,516,1.472617,0,0,401.0887,0,0,2022-06-02T10:52:26.477+02:00,675852746.4766881,0,4.8125,101.3242,1,0.79
