,loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
355,2022-05-12T10:29:55.529+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.112181791667,0.12786865234375,0.642974853515625,3.199859619140625,2693.107184791667,0.5696922049794989,2.372740738456951,-0.1164949108773652,-4.325599670410156,8.027183532714844,-1.805326104164124,-0.4543005228042603,0.5670728087425232,2.191145658493042,XArbitraryZVertical,-0.2810104604266946,0.8820159660334084,0.0534164157563546,0.3744697956524258,0.6905978322029114,0.1162315979599953,0.7138381004333496,0,0,0,-1,-1,2682.955782,walking,2,2022-05-12T10:29:45.372+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.6590101,1.930207,112.5515,0,0,2022-05-12T10:29:50.486+02:00,674036993.0381287,0,1.380001,100.8912,1,0.98
356,2022-05-12T10:29:55.539+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.122176791667,-0.0002593994140625,0.657440185546875,3.447036743164062,2693.117179791667,0.6147786017219915,2.457459881787357,-0.0951445051724792,-4.840226650238037,7.945290565490723,-2.071544885635376,-0.5012744069099426,0.5479744076728821,2.428397417068481,XArbitraryZVertical,-0.2999225978227782,0.8920637333783327,0.0586787447471336,0.3329048609451308,0.6291428804397583,0.0950010195374488,0.7714625597000122,0,0,0,-1,-1,2682.955782,walking,2,2022-05-12T10:29:45.372+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.6590101,1.930207,112.5515,0,0,2022-05-12T10:29:50.486+02:00,674036993.0381287,0,1.380001,100.8912,1,0.98
357,2022-05-12T10:29:55.549+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.132171791667,-0.1147918701171875,0.710052490234375,3.648239135742188,2693.127174791667,0.6632340494238256,2.539770956204662,-0.0678448664116011,-5.292646884918213,7.713106632232666,-2.385250806808472,-0.5651022791862488,0.5896479487419128,2.624627590179443,XArbitraryZVertical,-0.3202691773226238,0.8992398669908579,0.0658137959970181,0.2906267952164317,0.5648426413536072,0.0677928328514099,0.8224093914031982,0,0,0,-1,-1,2682.955782,walking,2,2022-05-12T10:29:45.372+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.6590101,1.930207,112.5515,0,0,2022-05-12T10:29:50.486+02:00,674036993.0381287,0,1.380001,100.8912,1,0.98
358,2022-05-12T10:29:55.559+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.142166791667,-0.1945343017578125,0.782318115234375,3.867599487304688,2693.137169791667,0.7143546629438665,2.617766939340813,-0.0353491960857069,-5.638612747192383,7.35178279876709,-2.80558967590332,-0.6146761775016785,0.6747112274169922,2.782868385314941,XArbitraryZVertical,-0.3419420912198672,0.9031949688625304,0.0745218219559813,0.2485176706450639,0.4998841285705566,0.0353418365120887,0.8653711080551147,0,0,0,-1,-1,2682.955782,walking,2,2022-05-12T10:29:45.372+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.6590101,1.930207,112.5515,0,0,2022-05-12T10:29:50.486+02:00,674036993.0381287,0,1.380001,100.8912,1,0.98
359,2022-05-12T10:29:55.569+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.152161791667,-0.2517242431640625,0.7736358642578125,4.060592651367188,2693.147164791667,0.7683651365264572,2.690144236988375,0.0015087493732343,-5.935022354125977,6.931912899017334,-3.318529367446899,-0.6308034658432007,0.7838274240493774,2.967784404754639,XArbitraryZVertical,-0.3651369204126395,0.9036496039244436,0.0845667710746607,0.2072218681717024,0.4362688064575195,-0.0015087488573044,0.8998151421546936,0,0,0,-1,-1,2682.955782,walking,2,2022-05-12T10:29:45.372+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.6590101,1.930207,112.5515,0,0,2022-05-12T10:29:50.486+02:00,674036993.0381287,0,1.380001,100.8912,1,0.98
360,2022-05-12T10:29:55.579+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.162156791667,-0.3228302001953125,0.729461669921875,4.223373413085938,2693.157159791667,0.8257545679243152,2.755638868866163,0.0419741139031877,-6.096743583679199,6.415840148925781,-3.910691976547241,-0.6278359889984131,0.81559818983078,3.134968996047974,XArbitraryZVertical,-0.3900252574967566,0.9003844792494157,0.0957999564263684,0.1673632610227538,0.3761113584041595,-0.0419617891311645,0.9256238341331482,0,0,0,-1,-1,2682.955782,walking,2,2022-05-12T10:29:45.372+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.6590101,1.930207,112.5515,0,0,2022-05-12T10:29:50.486+02:00,674036993.0381287,0,1.380001,100.8912,1,0.98
361,2022-05-12T10:29:55.589+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.172151791667,-0.452484130859375,0.8065338134765625,4.392593383789062,2693.167154791667,0.8872171549102821,2.812968378275137,0.0844234228835209,-6.129978656768799,5.818735122680664,-4.649342060089111,-0.6444222927093506,0.8137853741645813,3.280257225036621,XArbitraryZVertical,-0.4168089160217233,0.8932125466214095,0.107744887916684,0.1297417042300885,0.3215918838977814,-0.0843231752514839,0.9431166648864746,0,0,0,-1,-1,2682.955782,walking,2,2022-05-12T10:29:45.372+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.6590101,1.930207,112.5515,0,0,2022-05-12T10:29:50.486+02:00,674036993.0381287,0,1.380001,100.8912,1,0.98
362,2022-05-12T10:29:55.599+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.182146791667,-0.61761474609375,0.8106689453125,4.501312255859375,2693.177149791667,0.954059606724934,2.860695135797497,0.1271596913696917,-5.975594520568848,5.135600090026855,-5.487098217010498,-0.7274643778800964,0.9333515167236328,3.439543962478638,XArbitraryZVertical,-0.4458014970189723,0.8819217787320344,0.1200324709424121,0.0952231199599094,0.2749800086021423,-0.1268172860145569,0.9530500173568726,0,0,0,-1,-1,2682.955782,walking,2,2022-05-12T10:29:45.372+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.6590101,1.930207,112.5515,0,0,2022-05-12T10:29:50.486+02:00,674036993.0381287,0,1.380001,100.8912,1,0.98
363,2022-05-12T10:29:55.619+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.192141791667,-0.859375,0.7516937255859375,4.655868530273438,2693.187144791667,1.02743974167112,2.897559142377711,0.1679553605124218,-5.664960861206055,4.394383907318115,-6.451085090637207,-0.8558338284492493,0.97783625125885,3.544595718383789,XArbitraryZVertical,-0.4771563296497674,0.8664181126529524,0.1321110511404588,0.0647167186527991,0.2382187247276306,-0.1671668291091919,0.956717014312744,0,0,0,-1,-1,2682.955782,walking,2,2022-05-12T10:29:45.372+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036993.0381287,0,1.380001,100.8912,1,0.98
364,2022-05-12T10:29:55.622+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.202137791667,-1.163650512695312,0.4813995361328125,4.879852294921875,2693.197139791667,1.109261054207948,2.921669412510387,0.2054769925522478,-5.289977073669434,3.434176445007324,-7.474024295806885,-1.072941064834595,0.95572829246521,3.700484037399292,XArbitraryZVertical,-0.5111208514102288,0.846432482406503,0.1441450040726387,0.0391139254152812,0.2135656327009201,-0.2040341347455978,0.9553849697113036,0,0,0,-1,-1,2682.955782,walking,2,2022-05-12T10:29:45.372+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036993.0381287,0,1.380001,100.8912,1,0.98
365,2022-05-12T10:29:55.629+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.212132791667,-1.523284912109375,0.2086029052734375,5.1591796875,2693.207134791667,1.20094445730632,2.929693286634117,0.237599865505387,-4.771676063537598,2.161184310913086,-8.660858154296875,-1.368059396743774,0.7167705297470093,3.929685115814209,XArbitraryZVertical,-0.5475623137460625,0.8217416146190168,0.1565712716509278,0.0200448938518569,0.2044084966182709,-0.2353706061840057,0.9501675367355348,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
366,2022-05-12T10:29:55.639+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.222127791667,-2.231842041015625,-0.1259307861328125,5.451416015625,2693.217129791667,1.304711121412368,2.916771403881602,0.2598975369780991,-3.868320941925049,0.2813320457935333,-10.06820487976074,-1.738730669021606,0.46558478474617,4.217084407806396,XArbitraryZVertical,-0.5865914101560975,0.7918069168416331,0.1698464816771185,0.0102198109905783,0.2154452055692673,-0.2569815218448639,0.9420953392982484,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
367,2022-05-12T10:29:55.649+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.232122791667,-3.071563720703125,0.0286865234375,5.645751953125,2693.227124791667,1.422766441394352,2.874955990331624,0.265648422238724,-2.752567291259766,-2.628594160079956,-11.82430744171143,-2.486088514328003,0.1366044580936432,4.520591735839844,XArbitraryZVertical,-0.6280549150667357,0.7556185736719098,0.1854423891474622,0.01410101749171,0.2542459964752197,-0.2625350058078766,0.9308248162269592,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
368,2022-05-12T10:29:55.659+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.242117791667,-3.787429809570312,1.11181640625,5.4427490234375,2693.237119791667,1.556675817470703,2.794877222362592,0.2484562152312911,-1.746049523353577,-6.691953182220459,-14.00959205627441,-3.400940418243408,0.2745945453643799,4.734137535095215,XArbitraryZVertical,-0.6710242760604457,0.7110089235578225,0.2070825700103641,0.0361888826675261,0.3293761014938354,-0.2459078729152679,0.9116145372390748,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
369,2022-05-12T10:29:55.669+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.252112791667,-4.341873168945312,1.41265869140625,5.256423950195312,2693.247114791667,1.704037383581219,2.66921059067596,0.2026496803466529,-1.291144371032715,-11.89078521728516,-16.01486206054688,-4.233128070831299,1.313081979751587,4.570484638214111,XArbitraryZVertical,-0.7123773829259262,0.6547144484822169,0.2399642081519767,0.0792772044715737,0.4456980228424072,-0.2012654989957809,0.872265100479126,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
370,2022-05-12T10:29:55.679+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.262107791667,-4.9486083984375,1.214431762695312,4.584671020507812,2693.257109791667,1.853725549630234,2.498113640339922,0.1247224232523929,-0.954380214214325,-17.31867980957031,-17.19929504394531,-4.937195777893066,1.537057995796204,4.462625503540039,XArbitraryZVertical,-0.7453974582130244,0.5841936556838632,0.2878944270996489,0.142187819207617,0.5953220129013062,-0.1243993192911148,0.7937992215156555,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
371,2022-05-12T10:29:55.689+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.272102791667,-6.08673095703125,1.461013793945312,3.934402465820312,2693.267104791667,1.979127810014396,2.29248552617715,0.0073583807226648,1.61811375617981,-21.81355476379395,-16.94254112243652,-5.699279308319092,1.221789956092834,3.924035787582397,XArbitraryZVertical,-0.7607505038587912,0.5015741128951418,0.3461106447836468,0.2233596712715927,0.7506705522537231,-0.0073583144694566,0.6606358289718628,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
372,2022-05-12T10:29:55.699+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.282097791667,-7.399200439453125,2.082244873046875,4.021255493164062,2693.277100791667,2.035925215520859,2.058890767056311,-0.1441804594021224,6.654857158660889,-25.52057075500488,-14.49375915527344,-6.960794925689697,1.31733226776123,3.470325231552124,XArbitraryZVertical,-0.7469475709097089,0.4172628917336313,0.4049831308890672,0.3224123916925569,0.8740637898445129,0.1436814367771149,0.4640779793262482,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
373,2022-05-12T10:29:55.711+02:00,1652344192.999894,53.22904118807356,10.39859988727644,36.48977,0.35,0.86,103.359375,81.72132828699164,4,5,-9999,2693.292092791667,-10.38201904296875,2.5955810546875,4.597732543945312,2693.287095791667,1.983965250060525,1.768353389292214,-0.2965720133733422,13.56785011291504,-29.69337844848633,-10.73782253265381,-8.336942672729492,1.790001153945923,3.833550214767456,XArbitraryZVertical,-0.6915460857836665,0.3400249688903579,0.4623381610479665,0.4386234309984536,0.9377421140670776,0.2922435998916626,0.187705934047699,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
374,2022-05-12T10:29:55.719+02:00,1652344193.9999,53.22904009842615,10.39859779180065,36.46719,0.35,0.74,113.5546875,84.1561951034528,4,5,-9999,2693.302087791667,-17.83110046386719,2.354217529296875,5.541793823242188,2693.297090791667,1.810120096086893,1.401727890332832,-0.3831096810020695,19.65540313720703,-32.09356307983398,-6.794815063476562,-11.29630088806152,2.221774578094482,4.753799438476562,XArbitraryZVertical,-0.5877677330100743,0.2765791503501344,0.5142566029314096,0.5599761553283884,0.9142823219299316,0.3738065361976624,-0.1560661345720291,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
375,2022-05-12T10:29:55.729+02:00,1652344193.9999,53.22904009842615,10.39859779180065,36.46719,0.35,0.74,113.5546875,84.1561951034528,4,5,-9999,2693.312082791667,-24.64414978027344,1.04791259765625,3.755615234375,2693.307085791667,1.566635794103184,0.979037217943991,-0.3516975993463499,25.39423370361328,-33.5162467956543,-3.878071069717407,-18.61025810241699,2.00972580909729,6.065471649169922,XArbitraryZVertical,-0.4360762555433735,0.2190864806609878,0.5548734747322208,0.6737612254928338,0.7791582345962524,0.3444919884204865,-0.5236772298812866,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
376,2022-05-12T10:29:55.739+02:00,1652344193.9999,53.22904009842615,10.39859779180065,36.46719,0.35,0.74,113.5546875,84.1561951034528,4,5,-9999,2693.322077791667,-26.93765258789062,0.5658721923828125,-1.232101440429688,2693.317080791667,1.348428126526632,0.601917943803669,-0.1453200921785228,34.46137619018555,-29.52693557739258,2.998839616775513,-25.20440483093262,0.903103768825531,4.571178913116455,XArbitraryZVertical,-0.2387347997153626,0.187680777278509,0.5778389943035902,0.7575512640399071,0.5602561831474304,0.1448091566562653,-0.8155632615089417,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
377,2022-05-12T10:29:55.749+02:00,1652344193.9999,53.22904009842615,10.39859779180065,36.46719,0.35,0.74,113.5546875,84.1561951034528,4,5,-9999,2693.332072791667,-19.32980346679688,4.454025268554688,1.267074584960938,2693.327075791667,1.233467874044891,0.3578957157935644,0.1869591284952409,35.10882568359375,-18.02845001220703,5.274892330169678,-27.28185081481934,0.7517444491386414,-0.3117870688438416,XArbitraryZVertical,-0.0275667709151119,0.1976941282151629,0.580206982926393,0.7896309251904231,0.3441996574401855,-0.185871884226799,-0.9203141927719116,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
378,2022-05-12T10:29:55.759+02:00,1652344193.9999,53.22904009842615,10.39859779180065,36.46719,0.35,0.74,113.5546875,84.1561951034528,4,5,-9999,2693.342067791667,-11.29299926757812,-8.132705688476562,6.140411376953125,2693.337070791667,1.176246769589938,0.2800700977390826,0.5374890873917675,35.00756454467773,-1.686126112937927,6.940045356750488,-19.5672492980957,4.966006278991699,2.092601537704468,XArbitraryZVertical,0.1440885551847488,0.2578273994806448,0.5604841966129346,0.7737060574707929,0.2374465316534042,-0.5119807124137878,-0.825527012348175,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
379,2022-05-12T10:29:55.769+02:00,1652344193.9999,53.22904009842615,10.39859779180065,36.46719,0.35,0.74,113.5546875,84.1561951034528,4,5,-9999,2693.352063791667,-2.588394165039062,-20.04835510253906,-1.209442138671875,2693.347065791667,1.168990249720061,0.328496537398666,0.880810892052551,27.07535362243652,9.476530075073242,11.67855358123779,-11.4983549118042,-7.3614501953125,6.74290132522583,XArbitraryZVertical,0.2691378848803626,0.3554149660938484,0.5505434582218879,0.705795316289265,0.205356240272522,-0.7712553143501282,-0.6024900078773499,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
380,2022-05-12T10:29:55.779+02:00,1652344193.9999,53.22904009842615,10.39859779180065,36.46719,0.35,0.74,113.5546875,84.1561951034528,4,5,-9999,2693.362058791667,2.729202270507812,-8.463668823242188,-4.927764892578125,2693.357060791667,1.260896555871006,0.3262149208128809,1.0234979046889,-1.238430619239807,2.884145259857178,6.306286334991455,-2.755155086517334,-19.19442176818848,-0.7165038585662842,XArbitraryZVertical,0.3068503655278834,0.3992163178659667,0.5713966513496175,0.6480548824705411,0.1667616218328476,-0.8539335131645203,-0.492938369512558,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
381,2022-05-12T10:29:55.789+02:00,1652344193.9999,53.22904009842615,10.39859779180065,36.46719,0.35,0.74,113.5546875,84.1561951034528,4,5,-9999,2693.372053791667,-3.418411254882812,-5.126144409179688,-2.249252319335938,2693.367055791667,1.406665986796148,0.1903917644903034,0.9551325936378502,-14.50124931335449,-3.350592851638794,6.039041996002197,2.619914531707764,-7.647278308868408,-4.360699653625488,XArbitraryZVertical,0.2943620481899357,0.3603031090822286,0.6051204683561139,0.6460356398163594,0.1092882975935936,-0.816390335559845,-0.5670652985572815,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
382,2022-05-12T10:29:55.799+02:00,1652344193.9999,53.22904009842615,10.39859779180065,36.46719,0.35,0.74,113.5546875,84.1561951034528,4,5,-9999,2693.382048791667,-4.575729370117188,-4.3946533203125,-1.666427612304688,2693.377050791667,1.527923898237589,0.0856875761780852,0.8168402454044517,-14.16883373260498,1.179206609725952,5.700174808502197,-3.476994514465332,-4.397157669067383,-1.567235708236694,XArbitraryZVertical,0.2593336493140587,0.3028824120879085,0.6465886325406789,0.6503318859916648,0.0585837997496128,-0.7289865612983704,-0.6820166110992432,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
383,2022-05-12T10:29:55.809+02:00,1652344193.9999,53.22904009842615,10.39859779180065,36.46719,0.35,0.74,113.5546875,84.1561951034528,4,5,-9999,2693.392043791667,-2.482925415039062,2.197906494140625,0.1639862060546875,2693.387045791667,1.61177820107593,0.0491375051578363,0.7060801700514272,-8.154426574707031,2.805129051208496,5.090487003326416,-4.613102912902832,-3.745797157287598,-0.9064348936080932,XArbitraryZVertical,0.2227204576797479,0.2653285318751202,0.6826294887812269,0.6434387845469025,0.0373742319643497,-0.6488561034202576,-0.7599927186965942,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
384,2022-05-12T10:29:55.819+02:00,1652344193.9999,53.22904009842615,10.39859779180065,36.46719,0.35,0.74,113.5546875,84.1561951034528,4,5,-9999,2693.402038791667,-3.244857788085938,0.52105712890625,0.630889892578125,2693.397040791667,1.68361897370958,0.0393212153110228,0.6719206175727993,0.6261581778526306,4.378336906433105,5.731033325195312,-2.513690710067749,2.820396900177002,0.946008801460266,XArbitraryZVertical,0.2057162592037886,0.258204374813534,0.7083334589604828,0.6239192457896716,0.0307659395039081,-0.6224902868270874,-0.7820226550102234,0,0,0,-1,-1,2693.185149791667,walking,2,2022-05-12T10:29:55.601+02:00,2022-05-11T22:15:20.957+02:00,141,0.8394551,0.0,0.0,112.5515,0,0,2022-05-12T10:29:55.601+02:00,674036995.6008024,0,0.5699997,100.8972,1,0.98
