,loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
505,2022-06-02T11:06:58.582+02:00,1654160818.000251,53.22905389876345,10.39848385098534,36.8687,0.1406222,0.7869415,185.1076204702921,136.3840724593959,2.400000095367432,7.999579855010837,-9999,3902.718869375,1.316268920898438,-2.512786865234375,-1.364334106445312,3902.713871375,-2.135953050463071,-0.0497129845010363,0.7356592217312885,-6.191329002380371,9.14604663848877,-7.766351222991943,0.9093238115310668,-2.640523433685303,-1.267095804214478,XArbitraryZVertical,0.1529117742830042,-0.3261621238540744,-0.8216705678003161,0.4416939325815592,-0.0368414521217346,-0.6710760593414307,-0.7404724955558777,0,0,0,-1,-1,3899.926593375,unknown,2,2022-06-02T11:06:55.789+02:00,2022-06-02T10:17:13.754+02:00,757,1.520161,0,0,607.4087,0,0,2022-06-02T11:06:58.348+02:00,675853618.3483071,0,3.542969,101.3397,1,0.74
506,2022-06-02T11:06:58.592+02:00,1654160818.000251,53.22905389876345,10.39848385098534,36.8687,0.1406222,0.7869415,185.1076204702921,136.3840724593959,2.400000095367432,7.999579855010837,-9999,3902.728863375,1.110595703125,-1.39093017578125,-0.134033203125,3902.723866375,-2.242029329043416,0.1268413196727433,0.6576588576548406,-8.889704704284668,12.5055046081543,-8.895196914672852,1.216152429580688,-1.90152108669281,-0.5792666673660278,XArbitraryZVertical,0.1941366950951643,-0.2641537584758604,-0.8416800091657831,0.4290786277566128,0.1001164838671684,-0.6112657189369202,-0.7850674986839294,0,0,0,-1,-1,3899.926593375,unknown,2,2022-06-02T11:06:55.789+02:00,2022-06-02T10:17:13.754+02:00,757,1.520161,0,0,607.4087,0,0,2022-06-02T11:06:58.348+02:00,675853618.3483071,0,3.542969,101.3397,1,0.74
507,2022-06-02T11:06:58.602+02:00,1654160818.000251,53.22905389876345,10.39848385098534,36.8687,0.1406222,0.7869415,185.1076204702921,136.3840724593959,2.400000095367432,7.999579855010837,-9999,3902.738858375,0.83154296875,-0.531219482421875,0.8630523681640625,3902.733861375,-2.318558491662285,0.312802919753516,0.5356802975434615,-12.34445571899414,16.01096534729004,-8.777091979980469,0.845974862575531,-0.8805039525032043,0.6841604709625244,XArbitraryZVertical,0.2422380891332058,-0.1795100993627088,-0.8565592770600546,0.4188112589894302,0.2646208703517914,-0.5104261636734009,-0.8181936740875244,0,0,0,-1,-1,3899.926593375,unknown,2,2022-06-02T11:06:55.789+02:00,2022-06-02T10:17:13.754+02:00,757,1.520161,0,0,607.4087,0,0,2022-06-02T11:06:58.348+02:00,675853618.3483071,0,3.542969,101.3397,1,0.74
508,2022-06-02T11:06:58.612+02:00,1654160818.000251,53.22905389876345,10.39848385098534,36.8687,0.1406222,0.7869415,185.1076204702921,136.3840724593959,2.400000095367432,7.999579855010837,-9999,3902.748853375,0.1893463134765625,0.42205810546875,1.132476806640625,3902.743855375,-2.342279666451511,0.5006960760610804,0.3706265510464299,-16.39828872680664,19.41690063476562,-8.216856956481934,0.3841008543968201,-0.1690199077129364,1.680736303329468,XArbitraryZVertical,0.293769228283408,-0.0696968515838934,-0.8594356571461587,0.4125680455950533,0.4474421143531799,-0.3621995151042938,-0.81768399477005,0,0,0,-1,-1,3899.926593375,unknown,2,2022-06-02T11:06:55.789+02:00,2022-06-02T10:17:13.754+02:00,757,1.520161,0,0,607.4087,0,0,2022-06-02T11:06:58.348+02:00,675853618.3483071,0,3.542969,101.3397,1,0.74
509,2022-06-02T11:06:58.622+02:00,1654160818.000251,53.22905389876345,10.39848385098534,36.8687,0.1406222,0.7869415,185.1076204702921,136.3840724593959,2.400000095367432,7.999579855010837,-9999,3902.758847375,-0.805511474609375,1.498092651367188,1.827072143554688,3902.753850375,-2.298542108786731,0.7023557024547904,0.1769464420790031,-20.38486099243164,22.94680786132812,-6.527088642120361,-0.4465842843055725,0.5980826616287231,1.883880615234375,XArbitraryZVertical,0.346609712080736,0.0644967195002853,-0.8409889911447155,0.4104134592193842,0.6359305381774902,-0.1760245263576508,-0.7514037489891052,0,0,0,-1,-1,3899.926593375,unknown,2,2022-06-02T11:06:55.789+02:00,2022-06-02T10:17:13.754+02:00,757,1.520161,0,0,607.4087,0,0,2022-06-02T11:06:58.348+02:00,675853618.3483071,0,3.542969,101.3397,1,0.74
510,2022-06-02T11:06:58.632+02:00,1654160818.000251,53.22905389876345,10.39848385098534,36.8687,0.1406222,0.7869415,185.1076204702921,136.3840724593959,2.400000095367432,7.999579855010837,-9999,3902.768842375,-0.611114501953125,1.528106689453125,2.103485107421875,3902.763845375,-2.174546802124194,0.9382117562490996,-0.0103538136482558,-23.36472320556641,25.96560478210449,-3.905831336975098,-1.6119704246521,1.487739086151123,2.418271541595459,XArbitraryZVertical,0.3981105631521978,0.2142621040284964,-0.7907968361838056,0.4126014098945809,0.8064588308334351,0.0103536285459995,-0.5911994576454163,0,0,0,-1,-1,3899.926593375,unknown,2,2022-06-02T11:06:55.789+02:00,2022-06-02T10:17:13.754+02:00,757,1.520161,0,0,607.4087,0,0,2022-06-02T11:06:58.348+02:00,675853618.3483071,0,3.542969,101.3397,1,0.74
511,2022-06-02T11:06:58.642+02:00,1654160818.000251,53.22905389876345,10.39848385098534,36.8687,0.1406222,0.7869415,185.1076204702921,136.3840724593959,2.400000095367432,7.999579855010837,-9999,3902.778837375,-0.7366943359375,1.3204345703125,2.313186645507812,3902.773839375,-1.971330906901453,1.225889853271516,-0.1460125726014861,-25.36221313476562,27.79514122009277,-0.8426710367202759,-1.542207479476929,1.382612466812134,2.437995910644531,XArbitraryZVertical,0.4453454399374766,0.3666224308620311,-0.7032412506433624,0.4155804667094885,0.9310927987098694,0.1454942971467972,-0.334510862827301,0,0,0,-1,-1,3899.926593375,unknown,2,2022-06-02T11:06:55.789+02:00,2022-06-02T10:17:13.754+02:00,757,1.520161,0,0,607.4087,0,0,2022-06-02T11:06:58.348+02:00,675853618.3483071,0,3.542969,101.3397,1,0.74
512,2022-06-02T11:06:58.652+02:00,1654160818.000251,53.22905389876345,10.39848385098534,36.8687,0.1406222,0.7869415,185.1076204702921,136.3840724593959,2.400000095367432,7.999579855010837,-9999,3902.788831375,-2.297821044921875,0.9967193603515624,2.423873901367188,3902.783834375,-1.712733018738122,1.55373637441569,-0.181504097689199,-26.00529289245605,28.73693466186523,3.192032337188721,-1.720124483108521,1.139925360679626,2.329965591430664,XArbitraryZVertical,0.4850971451604644,0.5062522207421608,-0.578142872617609,0.4173010117605783,0.983430027961731,0.18050916492939,-0.0167788974940776,0,0,0,-1,-1,3899.926593375,unknown,2,2022-06-02T11:06:55.789+02:00,2022-06-02T10:17:13.754+02:00,757,1.520161,0,0,607.4087,0,0,2022-06-02T11:06:58.348+02:00,675853618.3483071,0,3.542969,101.3397,1,0.74
513,2022-06-02T11:06:58.662+02:00,1654160818.000251,53.22905389876345,10.39848385098534,36.8687,0.1406222,0.7869415,185.1076204702921,136.3840724593959,2.400000095367432,7.999579855010837,-9999,3902.798826375,-4.910614013671875,-0.5392913818359375,2.328933715820312,3902.793829375,-1.473027218578922,1.876327044680731,-0.0934601030054898,-23.27771759033203,28.59311294555664,7.421758651733398,-3.2473464012146,0.9033952355384828,2.124387264251709,XArbitraryZVertical,0.5206631040864049,0.6153480370738525,-0.4246365851388458,0.4122382319399021,0.9495251774787904,0.093324102461338,0.2994865477085114,0,0,0,-1,-1,3899.926593375,unknown,2,2022-06-02T11:06:55.789+02:00,2022-06-02T10:17:13.754+02:00,757,1.520161,0,0,607.4087,0,0,2022-06-02T11:06:58.348+02:00,675853618.3483071,0,3.542969,101.3397,1,0.74
514,2022-06-02T11:06:58.672+02:00,1654160818.000251,53.22905389876345,10.39848385098534,36.8687,0.1406222,0.7869415,185.1076204702921,136.3840724593959,2.400000095367432,7.999579855010837,-9999,3902.808821375,-8.374664306640625,-2.753585815429688,2.468643188476562,3902.803823375,-1.331926713557446,2.163170666979666,0.0750727596092798,-16.71374702453613,28.22622299194336,10.7527551651001,-5.737894535064697,-0.464289128780365,1.772174000740051,XArbitraryZVertical,0.5588323383201156,0.6827050745164779,-0.2640784084793636,0.3897211841128339,0.8272803425788879,-0.0750022605061531,0.5567595958709717,0,0,0,-1,-1,3899.926593375,unknown,2,2022-06-02T11:06:55.789+02:00,2022-06-02T10:17:13.754+02:00,757,1.520161,0,0,607.4087,0,0,2022-06-02T11:06:58.348+02:00,675853618.3483071,0,3.542969,101.3397,1,0.74
