,loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
225,2022-06-02T10:52:11.163+02:00,1654159928.000461,53.22890393440913,10.39865269326642,38.68203,0,0.05,226.7578125,65.06141773144168,4,5,-9999,3075.441021375,0.9710235595703124,0.2323760986328125,-1.465255737304688,3075.431026375,-3.060289409688205,0.3289059184944682,0.2437901946915592,4.854988574981689,7.442570686340332,-0.4213873147964478,0.6334428787231445,0.7944983839988708,-0.8273466229438782,XArbitraryZVertical,0.1672386440137455,-0.113249850726142,-0.9775701105947748,0.0596845669323141,0.3134564757347107,-0.2413824647665024,-0.9184114336967468,0,0,0,-1,-1,3075.403186375,unknown,2,2022-06-02T10:52:11.125+02:00,2022-06-02T10:17:13.754+02:00,512,1.452715,0,0,397.4887,0,0,2022-06-02T10:52:11.125+02:00,675852731.1246518,0,4.941406,101.3247,1,0.79
226,2022-06-02T10:52:11.173+02:00,1654159928.000461,53.22890393440913,10.39865269326642,38.68203,0,0.05,226.7578125,65.06141773144168,4,5,-9999,3075.451015375,1.107635498046875,0.5641021728515625,-1.773193359375,3075.441021375,-3.08042589000901,0.4157528814972127,0.2711007578138027,1.931176066398621,8.912281036376953,-1.143571138381958,0.5183428525924683,0.4240422248840332,-0.5017018914222717,XArbitraryZVertical,0.2084370715590162,-0.1259115413481355,-0.968189780589838,0.0575224403750281,0.3891278207302094,-0.2677921652793884,-0.8814005255699158,0,0,0,-1,-1,3075.403186375,unknown,2,2022-06-02T10:52:11.125+02:00,2022-06-02T10:17:13.754+02:00,512,1.452715,0,0,397.4887,0,0,2022-06-02T10:52:11.125+02:00,675852731.1246518,0,4.941406,101.3247,1,0.79
227,2022-06-02T10:52:11.183+02:00,1654159928.000461,53.22890393440913,10.39865269326642,38.68203,0,0.05,226.7578125,65.06141773144168,4,5,-9999,3075.461009375,1.218215942382812,1.045654296875,-1.818115234375,3075.451015375,-3.097922186630468,0.5185200417905668,0.2773564422095255,0.9152005910873412,10.76363849639893,-1.249391436576843,0.5615224838256836,0.6523236632347107,-0.7970102429389954,XArbitraryZVertical,0.2567609025760468,-0.1280388885125377,-0.9562984134975788,0.0563312172918184,0.4766549170017242,-0.2738140821456909,-0.8353597521781921,0,0,0,-1,-1,3075.403186375,unknown,2,2022-06-02T10:52:11.125+02:00,2022-06-02T10:17:13.754+02:00,512,1.452715,0,0,397.4887,0,0,2022-06-02T10:52:11.125+02:00,675852731.1246518,0,4.941406,101.3247,1,0.79
228,2022-06-02T10:52:11.193+02:00,1654159928.000461,53.22890393440913,10.39865269326642,38.68203,0,0.05,226.7578125,65.06141773144168,4,5,-9999,3075.471003375,1.19940185546875,1.36187744140625,-1.740966796875,3075.471003375,-3.125204875172406,0.7793859080825901,0.2839240904150894,1.255607724189758,14.45474433898926,-0.2578004598617554,0.5499821901321411,1.49783730506897,-1.106669902801514,XArbitraryZVertical,0.3771424640851245,-0.1277919776998507,-0.9152490226830357,0.0612524690263389,0.6747034192085266,-0.2801247835159302,-0.682865560054779,0,0,0,-1,-1,3075.403186375,unknown,2,2022-06-02T10:52:11.125+02:00,2022-06-02T10:17:13.754+02:00,512,1.452715,0,0,397.4887,0,0,2022-06-02T10:52:11.125+02:00,675852731.1246518,0,4.941406,101.3247,1,0.79
229,2022-06-02T10:52:11.203+02:00,1654159928.000461,53.22890393440913,10.39865269326642,38.68203,0,0.05,226.7578125,65.06141773144168,4,5,-9999,3075.480998375,0.9461669921875,1.768875122070312,-1.282150268554688,3075.471003375,-3.125204875172406,0.7793859080825901,0.2839240904150894,1.255607724189758,14.45474433898926,-0.2578004598617554,0.5499821901321411,1.49783730506897,-1.106669902801514,XArbitraryZVertical,0.3771424640851245,-0.1277919776998507,-0.9152490226830357,0.0612524690263389,0.6747034192085266,-0.2801247835159302,-0.682865560054779,0,0,0,-1,-1,3075.403186375,unknown,2,2022-06-02T10:52:11.125+02:00,2022-06-02T10:17:13.754+02:00,512,1.452715,0,0,397.4887,0,0,2022-06-02T10:52:11.125+02:00,675852731.1246518,0,4.941406,101.3247,1,0.79
230,2022-06-02T10:52:11.213+02:00,1654159928.000461,53.22890393440913,10.39865269326642,38.68203,0,0.05,226.7578125,65.06141773144168,4,5,-9999,3075.490992375,0.65216064453125,2.294784545898438,-0.4741973876953125,3075.480998375,-3.134276929225994,0.9346181263581052,0.2920349720949191,1.049505949020386,16.0142822265625,0.3755970001220703,0.3229923248291016,1.821120023727417,-1.02329957485199,XArbitraryZVertical,0.4461637756771603,-0.1282681466821497,-0.8830373755590153,0.0687757493364047,0.7703151106834412,-0.2879016399383545,-0.5689703226089478,0,0,0,-1,-1,3075.403186375,unknown,2,2022-06-02T10:52:11.125+02:00,2022-06-02T10:17:13.754+02:00,512,1.452715,0,0,397.4887,0,0,2022-06-02T10:52:11.125+02:00,675852731.1246518,0,4.941406,101.3247,1,0.79
231,2022-06-02T10:52:11.223+02:00,1654159928.000461,53.22890393440913,10.39865269326642,38.68203,0,0.05,226.7578125,65.06141773144168,4,5,-9999,3075.500986375,0.2545318603515625,2.43365478515625,0.6443328857421875,3075.490992375,-3.135754682058274,1.10131184664517,0.3020958792661735,0.0881070867180824,17.27410888671875,1.160767316818237,-0.0328434109687805,2.349523782730103,-0.4543073177337646,XArbitraryZVertical,0.5176607042682624,-0.12672084944712,-0.8422450095209898,0.0811939357931545,0.8514163494110107,-0.2975218296051025,-0.4319384396076202,0,0,0,-1,-1,3075.403186375,unknown,2,2022-06-02T10:52:11.125+02:00,2022-06-02T10:17:13.754+02:00,512,1.452715,0,0,397.4887,0,0,2022-06-02T10:52:11.125+02:00,675852731.1246518,0,4.941406,101.3247,1,0.79
232,2022-06-02T10:52:11.233+02:00,1654159928.000461,53.22890393440913,10.39865269326642,38.68203,0,0.05,226.7578125,65.06141773144168,4,5,-9999,3075.510980375,0.07421875,2.237686157226562,2.05029296875,3075.500986375,-3.120716316903843,1.275670972487331,0.3132773312314854,-2.053519725799561,18.53362464904785,1.933447241783142,-0.4666256904602051,2.742595911026001,0.3162234425544739,XArbitraryZVertical,0.5894439658873171,-0.119181311846711,-0.7925379981074389,0.1011687924582606,0.9101986289024352,-0.3081780970096588,-0.2767032384872437,0,0,0,-1,-1,3075.403186375,unknown,2,2022-06-02T10:52:11.125+02:00,2022-06-02T10:17:13.754+02:00,512,1.452715,0,0,397.4887,0,0,2022-06-02T10:52:11.125+02:00,675852731.1246518,0,4.941406,101.3247,1,0.79
233,2022-06-02T10:52:11.243+02:00,1654159928.000461,53.22890393440913,10.39865269326642,38.68203,0,0.05,226.7578125,65.06141773144168,4,5,-9999,3075.520975375,0.100006103515625,1.784530639648438,3.520751953125,3075.510980375,-3.079578458912316,1.452935869922839,0.3290280507922067,-5.03143310546875,19.50156784057617,2.719532012939453,-0.8111293315887451,2.679309368133545,1.438046932220459,XArbitraryZVertical,0.6587454861544445,-0.1020509403291568,-0.7337050212691335,0.1315931564833982,0.9397913217544556,-0.3231233656406403,-0.1112799793481827,0,0,0,-1,-1,3075.403186375,unknown,2,2022-06-02T10:52:11.125+02:00,2022-06-02T10:17:13.754+02:00,512,1.452715,0,0,397.4887,0,0,2022-06-02T10:52:11.125+02:00,675852731.1246518,0,4.941406,101.3247,1,0.79
234,2022-06-02T10:52:11.253+02:00,1654159928.000461,53.22890393440913,10.39865269326642,38.68203,0,0.05,226.7578125,65.06141773144168,4,5,-9999,3075.530969375,0.2779388427734375,0.9716796875,4.945877075195312,3075.520975375,-3.008217189276739,1.62735463777989,0.3586134976709297,-8.223955154418945,20.15811157226562,3.54405403137207,-0.8677941560745239,2.402612209320068,2.734955310821533,XArbitraryZVertical,0.7217382680087293,-0.0745647932780685,-0.6656783317821661,0.1743734181211514,0.9348868131637572,-0.3509762585163116,0.052932072430849,0,0,0,-1,-1,3075.403186375,unknown,2,2022-06-02T10:52:11.125+02:00,2022-06-02T10:17:13.754+02:00,512,1.452715,0,0,397.4887,0,0,2022-06-02T10:52:11.125+02:00,675852731.1246518,0,4.941406,101.3247,1,0.79
