loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2022-06-02T10:56:08.372+02:00,1654160168.000345,53.22910133269347,10.39854020390932,36.84525,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3306.497544791667,-0.142669677734375,-0.281585693359375,-0.968994140625,3306.487550791667,-0.3330688263682699,-0.009659353399289965,0.5337860497544326,0.04901624470949173,0.1532768309116364,-0.4743803143501282,-0.211670458316803,0.3169933557510376,-0.1046988964080811,XArbitraryZVertical,0.2593117379968871,-0.04831205396097896,-0.1611510478755845,0.9510276477836976,-0.008315481245517731,-0.5087963342666626,-0.8608467578887939,0,0,0,-1,-1,3304.55154975,unknown,2,2022-06-02T10:56:06.410+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:58.733+02:00,675852958.7332413,0,4.773438,101.3258,1,0.77
2022-06-02T10:56:08.375+02:00,1654160168.000345,53.22910133269347,10.39854020390932,36.84525,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3306.507538791667,-0.044219970703125,-0.2912139892578125,-0.9414520263671875,3306.497544791667,-0.3381562264305325,-0.004679231922801581,0.5347075545404245,0.1144617944955826,0.3025586605072021,-0.3883521258831024,-0.1928580403327942,0.2567360401153564,-0.1103863716125488,XArbitraryZVertical,0.2600326125382652,-0.0466787666284843,-0.1629043057509756,0.950613630744343,-0.004026079084724188,-0.5095894336700439,-0.8604082465171814,0,0,0,-1,-1,3304.55154975,unknown,2,2022-06-02T10:56:06.410+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:58.733+02:00,675852958.7332413,0,4.773438,101.3258,1,0.77
2022-06-02T10:56:08.382+02:00,1654160168.000345,53.22910133269347,10.39854020390932,36.84525,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3306.517532791667,0.003936767578125,-0.2888946533203125,-0.9100494384765625,3306.507538791667,-0.3422060472792734,0.0005128937934215877,0.5358469387626043,0.1103400215506554,0.309363842010498,-0.3267748057842255,-0.08981170505285263,0.2178448438644409,-0.0987054705619812,XArbitraryZVertical,0.2609059702563105,-0.0448316517245826,-0.1641277182307022,0.9502527240808213,0.0004410047840792686,-0.5105694532394409,-0.8598363995552063,0,0,0,-1,-1,3304.55154975,unknown,2,2022-06-02T10:56:06.410+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:58.733+02:00,675852958.7332413,0,4.773438,101.3258,1,0.77
2022-06-02T10:56:08.386+02:00,1654160168.000345,53.22910133269347,10.39854020390932,36.84525,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3306.527527791667,0.00042724609375,-0.2848052978515625,-0.9161376953125,3306.517532791667,-0.3463038808567161,0.005461769303589409,0.5370710821384567,0.1433148831129074,0.2596178650856018,-0.3795471787452698,-0.01960060000419617,0.2214910387992859,-0.06374508142471313,XArbitraryZVertical,0.2618050037391019,-0.04311761654557875,-0.165398960356661,0.9498642246973303,0.004692788235843182,-0.5116216540336609,-0.8591980338096619,0,0,0,-1,-1,3304.55154975,unknown,2,2022-06-02T10:56:06.410+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:58.733+02:00,675852958.7332413,0,4.773438,101.3258,1,0.77
2022-06-02T10:56:08.398+02:00,1654160168.000345,53.22910133269347,10.39854020390932,36.84525,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3306.537521791667,-0.0446014404296875,-0.335235595703125,-0.903594970703125,3306.527527791667,-0.3507812713587172,0.01000861693033295,0.5385201394521157,0.1356529742479324,0.1918065845966339,-0.3846367597579956,-0.0005200132727622986,0.2269316911697388,-0.05359220504760742,XArbitraryZVertical,0.2627755895859743,-0.04166772540626321,-0.1668925612737578,0.9493995881750097,0.008591939695179462,-0.5128661394119263,-0.8584255576133728,0,0,0,-1,-1,3304.55154975,unknown,2,2022-06-02T10:56:06.410+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:58.733+02:00,675852958.7332413,0,4.773438,101.3258,1,0.77
2022-06-02T10:56:08.406+02:00,1654160168.000345,53.22910133269347,10.39854020390932,36.84525,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3306.547515791667,-0.0670928955078125,-0.3884735107421875,-0.88079833984375,3306.537521791667,-0.3552698773238707,0.01410343590846763,0.5395211749694201,0.07200594991445541,0.1785890460014343,-0.3861667513847351,-0.03347724676132202,0.2120895385742188,-0.05340069532394409,XArbitraryZVertical,0.2635016115022016,-0.04040042085963441,-0.1684578189533723,0.9489765620931807,0.01209970843046904,-0.513725221157074,-0.8578693866729736,0,0,0,-1,-1,3304.55154975,unknown,2,2022-06-02T10:56:06.410+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:58.733+02:00,675852958.7332413,0,4.773438,101.3258,1,0.77
2022-06-02T10:56:08.416+02:00,1654160168.000345,53.22910133269347,10.39854020390932,36.84525,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3306.557509791667,-0.054901123046875,-0.3805694580078125,-0.855621337890625,3306.547515791667,-0.3597683928338169,0.01829939356912109,0.5397554651603184,-0.01564933359622955,0.1982453167438507,-0.3824963867664337,-0.07673210650682449,0.1447551250457764,-0.03572660684585571,XArbitraryZVertical,0.2638784229552644,-0.03902326125567808,-0.1700322783954205,0.9486486295049883,0.01569697260856628,-0.5139262080192566,-0.8576907515525818,0,0,0,-1,-1,3304.55154975,unknown,2,2022-06-02T10:56:06.410+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:58.733+02:00,675852958.7332413,0,4.773438,101.3258,1,0.77
2022-06-02T10:56:08.427+02:00,1654160168.000345,53.22910133269347,10.39854020390932,36.84525,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3306.567503791667,-0.035491943359375,-0.3327789306640625,-0.821868896484375,3306.557509791667,-0.3640931860838817,0.02251576448647326,0.539193276562282,-0.06852935254573822,0.1988114267587662,-0.3670148253440857,-0.08362017571926117,0.1235665678977966,-0.01068568229675293,XArbitraryZVertical,0.2638893265284425,-0.037544664200768,-0.1715432809198781,0.9484332457864972,0.01931966654956341,-0.5134438872337341,-0.8579056262969971,0,0,0,-1,-1,3304.55154975,unknown,2,2022-06-02T10:56:06.410+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:58.733+02:00,675852958.7332413,0,4.773438,101.3258,1,0.77
2022-06-02T10:56:08.436+02:00,1654160168.000345,53.22910133269347,10.39854020390932,36.84525,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3306.577498791667,-0.02825927734375,-0.289031982421875,-0.8192596435546875,3306.567503791667,-0.3684064058536389,0.02652289991035825,0.5384440579163209,-0.05543513223528862,0.1570338904857635,-0.3821077644824982,-0.06860481202602386,0.1532732844352722,0.02011668682098389,XArbitraryZVertical,0.2638003021502046,-0.03614667255727881,-0.1730823489168016,0.948232656951737,0.0227674413472414,-0.5128008127212524,-0.8582056164741516,0,0,0,-1,-1,3304.55154975,unknown,2,2022-06-02T10:56:06.410+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:58.733+02:00,675852958.7332413,0,4.773438,101.3258,1,0.77
2022-06-02T10:56:08.447+02:00,1654160168.000345,53.22910133269347,10.39854020390932,36.84525,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3306.587492791667,-0.04290771484375,-0.2716217041015625,-0.8289031982421875,3306.577498791667,-0.3730263865701411,0.03021299016085358,0.5382351407563697,0.03800453990697861,0.1088810116052628,-0.4098272621631622,-0.05457808822393417,0.2056146264076233,0.0428389310836792,XArbitraryZVertical,0.2639401824607328,-0.03498802155064868,-0.1747920777815954,0.9479234916293913,0.02593737095594406,-0.5126214623451233,-0.8582228422164917,0,0,0,-1,-1,3304.55154975,unknown,2,2022-06-02T10:56:06.410+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:58.733+02:00,675852958.7332413,0,4.773438,101.3258,1,0.77
2022-06-02T10:56:08.456+02:00,1654160168.000345,53.22910133269347,10.39854020390932,36.84525,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3306.597486791667,-0.060028076171875,-0.2852783203125,-0.850311279296875,3306.587492791667,-0.3779198318003325,0.03372505276911151,0.5389163563070432,0.1237383484840393,0.09337315708398819,-0.4235795736312866,-0.06365327537059784,0.2368238568305969,0.03480970859527588,XArbitraryZVertical,0.2644865273987289,-0.03403297770382702,-0.1766247814076962,0.9474662278555355,0.02893955633044243,-0.5132062435150146,-0.8577772378921509,0,0,0,-1,-1,3304.55154975,unknown,2,2022-06-02T10:56:06.410+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:58.733+02:00,675852958.7332413,0,4.773438,101.3258,1,0.77
