,loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
196,2022-06-02T10:55:35.681+02:00,1654160135.000333,53.22908935913814,10.39848921687091,36.8946,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3273.82216225,0.3393707275390625,0.7691497802734375,1.513702392578125,3273.81216725,-2.058934625265677,1.53945014865425,-0.0882283440279668,-0.0397306010127067,5.164474010467529,4.29223108291626,-0.7322849035263062,0.8349055051803589,1.197692513465881,XArbitraryZVertical,0.5795377954232563,0.3853911981100047,-0.6306465170294434,0.3433575111465531,0.9956209063529968,0.0881139263510704,-0.0312191359698772,0,0,0,-1,-1,3271.29105875,unknown,2,2022-06-02T10:55:33.149+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:33.149+02:00,675852933.1490878,0,4.210938,101.3309,1,0.78
197,2022-06-02T10:55:35.691+02:00,1654160135.000333,53.22908935913814,10.39848921687091,36.8946,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3273.83215625,0.362060546875,0.9544677734375,1.668121337890625,3273.82216225,-2.055703938548813,1.59401370298402,-0.0472283158607648,-0.5697742104530334,5.699497222900391,3.912171125411987,-0.7088208198547363,0.7500457167625427,1.306018948554993,XArbitraryZVertical,0.6037095084750038,0.3835746732912413,-0.6069087426014766,0.3465067875071363,0.9986156225204468,0.0472107604146003,0.0231894012540578,0,0,0,-1,-1,3271.29105875,unknown,2,2022-06-02T10:55:33.149+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:33.149+02:00,675852933.1490878,0,4.210938,101.3309,1,0.78
198,2022-06-02T10:55:35.701+02:00,1654160135.000333,53.22908935913814,10.39848921687091,36.8946,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3273.84215025,0.4244384765625,0.97930908203125,1.712387084960938,3273.83215625,-2.048533779157902,1.65372211663147,-0.0097043633907834,-1.261547684669495,6.208390712738037,3.529585599899292,-0.6571459770202637,0.7594455480575562,1.430875420570374,XArbitraryZVertical,0.6269113871954957,0.3852214266862197,-0.5803936720780815,0.3488977506678811,0.9965165853500366,0.0097042107954621,0.0828268676996231,0,0,0,-1,-1,3271.29105875,unknown,2,2022-06-02T10:55:33.149+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:33.149+02:00,675852933.1490878,0,4.210938,101.3309,1,0.78
199,2022-06-02T10:55:35.719+02:00,1654160135.000333,53.22908935913814,10.39848921687091,36.8946,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3273.85214425,0.5332183837890625,0.865570068359375,1.820037841796875,3273.84215025,-2.036866109902057,1.718164511821309,0.0247235505580413,-1.807393908500671,6.702071666717529,3.049300670623779,-0.6267980933189392,0.979188859462738,1.521330833435059,XArbitraryZVertical,0.648818468969946,0.3904226190781704,-0.5510492222461892,0.3506413695421402,0.9888584613800048,-0.0247210320085287,0.1467904597520828,0,0,0,-1,-1,3271.29105875,unknown,2,2022-06-02T10:55:33.149+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:33.149+02:00,675852933.1490878,0,4.210938,101.3309,1,0.78
200,2022-06-02T10:55:35.726+02:00,1654160135.000333,53.22908935913814,10.39848921687091,36.8946,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3273.86213825,0.5308380126953125,0.9190216064453124,2.004592895507812,3273.85214425,-2.02136327718977,1.786990782716062,0.0557971114288057,-2.410449266433716,7.183037757873535,2.544985771179199,-0.550762414932251,1.035077214241028,1.498206615447998,XArbitraryZVertical,0.669221241530198,0.3990402605939701,-0.5191744111065372,0.3512374675290787,0.975200891494751,-0.0557681620121002,0.2141803950071335,0,0,0,-1,-1,3271.29105875,unknown,2,2022-06-02T10:55:33.149+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:35.707+02:00,675852933.1490878,0,4.210938,101.3309,1,0.78
201,2022-06-02T10:55:35.732+02:00,1654160135.000333,53.22908935913814,10.39848921687091,36.8946,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3273.87213225,0.532135009765625,0.94097900390625,2.25244140625,3273.86213825,-1.999876912597392,1.859814922573773,0.0852052292888689,-3.205308437347412,7.705286026000977,2.092444896697998,-0.4218283891677856,0.9506722688674928,1.536060094833374,XArbitraryZVertical,0.6876147235642941,0.4113086649370737,-0.484199095313283,0.351514241700425,0.955046534538269,-0.0851021707057952,0.2839776575565338,0,0,0,-1,-1,3273.84899325,unknown,2,2022-06-02T10:55:35.707+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:35.707+02:00,675852935.7069674,0,4.222656,101.3312,1,0.78
202,2022-06-02T10:55:35.742+02:00,1654160135.000333,53.22908935913814,10.39848921687091,36.8946,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3273.88212625,0.5589752197265625,1.07861328125,2.572219848632812,3273.87213225,-1.972982664122518,1.937122420404761,0.1129134630091274,-3.582131147384644,8.290583610534668,1.421117186546326,-0.3968662023544312,1.031695365905762,1.648686051368713,XArbitraryZVertical,0.70389184825496,0.4271880673709955,-0.44610034583755,0.3507720508193327,0.9277040362358092,-0.1126736849546432,0.355906754732132,0,0,0,-1,-1,3273.84899325,unknown,2,2022-06-02T10:55:35.707+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:35.707+02:00,675852935.7069674,0,4.222656,101.3312,1,0.78
203,2022-06-02T10:55:35.751+02:00,1654160135.000333,53.22908935913814,10.39848921687091,36.8946,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3273.89212125,0.5386505126953125,1.219161987304688,2.982696533203125,3273.88212625,-1.943244051579958,2.019268017151903,0.1367687459823682,-3.757911443710327,8.890607833862305,0.6470921039581299,-0.3605609536170959,1.077321767807007,1.822901368141174,XArbitraryZVertical,0.7180278989843566,0.4463247685442842,-0.4058139976047228,0.3471957218673914,0.8926956653594971,-0.1363427489995956,0.4295397400856018,0,0,0,-1,-1,3273.84899325,unknown,2,2022-06-02T10:55:35.707+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:35.707+02:00,675852935.7069674,0,4.222656,101.3312,1,0.78
204,2022-06-02T10:55:35.761+02:00,1654160135.000333,53.22908935913814,10.39848921687091,36.8946,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3273.90211525,0.472564697265625,1.297271728515625,3.519912719726562,3273.89212125,-1.90965663213964,2.106438323539264,0.1570826331165778,-4.011002063751221,9.52629280090332,-0.2055503576993942,-0.290378212928772,1.235050678253174,2.068110466003418,XArbitraryZVertical,0.7295489969389852,0.4688420292656197,-0.363205333203163,0.3406277587521342,0.8493533730506897,-0.1564374268054962,0.5041092038154602,0,0,0,-1,-1,3273.84899325,unknown,2,2022-06-02T10:55:35.707+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:35.707+02:00,675852935.7069674,0,4.222656,101.3312,1,0.78
205,2022-06-02T10:55:35.771+02:00,1654160135.000333,53.22908935913814,10.39848921687091,36.8946,0,20,-1,-1,2.400000095367432,7.999579855010837,-9999,3273.91210925,0.349609375,1.590988159179688,4.19219970703125,3273.90211525,-1.86998171213716,2.198531830678089,0.1734295893234696,-4.395540714263916,10.20856380462646,-1.395392775535583,-0.2585676312446594,1.39172351360321,2.40419340133667,XArbitraryZVertical,0.7374600476635198,0.4953827999086652,-0.3182967739560217,0.3308104582625096,0.7972179055213928,-0.1725614964962006,0.578502893447876,0,0,0,-1,-1,3273.84899325,unknown,2,2022-06-02T10:55:35.707+02:00,2022-06-02T10:17:13.754+02:00,521,1.631355,0,0,405.4342,0,0,2022-06-02T10:55:35.707+02:00,675852935.7069674,0,4.222656,101.3312,1,0.78
