,loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
179,2022-06-02T10:48:07.026+02:00,1654159685.999801,53.22910676774569,10.39856181678278,36.72617,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,2831.304202,0.9500579833984376,0.1305389404296875,2.773208618164062,2831.294207,-2.250103713419725,2.01561007851517,0.0765531199272918,-2.509963989257812,4.153544425964355,1.922047138214111,0.0037615299224853,0.1634687781333923,2.104509353637695,XArbitraryZVertical,0.7712791423098608,0.3458948389902171,-0.4672639598966692,0.2591323507429685,0.9000470042228699,-0.0764783695340156,0.4290295243263245,0,0,0,-1,-1,2829.8874025,unknown,2,2022-06-02T10:48:05.609+02:00,2022-06-02T10:17:13.754+02:00,465,1.442409,0,0,360.0712,0,0,2022-06-02T10:48:05.609+02:00,675852485.6088139,0,6.761719,101.3009,1,0.8
180,2022-06-02T10:48:07.037+02:00,1654159685.999801,53.22910676774569,10.39856181678278,36.72617,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,2831.314196,1.014678955078125,0.205474853515625,2.893692016601562,2831.304202,-2.231980247066092,2.056132798918558,0.1059922815878628,-3.357093334197998,4.292221546173096,1.716165065765381,0.051582932472229,0.2213335335254669,2.225732803344727,XArbitraryZVertical,0.7801937786457556,0.3510578860681978,-0.4433965178329864,0.2673115536331074,0.8795540928840637,-0.1057939305901527,0.4638879299163818,0,0,0,-1,-1,2829.8874025,unknown,2,2022-06-02T10:48:05.609+02:00,2022-06-02T10:17:13.754+02:00,465,1.442409,0,0,360.0712,0,0,2022-06-02T10:48:05.609+02:00,675852485.6088139,0,6.761719,101.3009,1,0.8
181,2022-06-02T10:48:07.046+02:00,1654159685.999801,53.22910676774569,10.39856181678278,36.72617,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,2831.32419,1.069061279296875,0.1787261962890625,2.950698852539062,2831.314196,-2.206918586340334,2.097035875269301,0.1381592468642735,-4.123100757598877,4.495437145233154,1.519442439079285,0.1187573075294495,0.3036594986915588,2.3504319190979,XArbitraryZVertical,0.7874183907079698,0.3587782353079957,-0.4173513885238234,0.2776118329064815,0.8564624786376953,-0.137720137834549,0.4974990785121918,0,0,0,-1,-1,2829.8874025,unknown,2,2022-06-02T10:48:05.609+02:00,2022-06-02T10:17:13.754+02:00,465,1.442409,0,0,360.0712,0,0,2022-06-02T10:48:05.609+02:00,675852485.6088139,0,6.761719,101.3009,1,0.8
182,2022-06-02T10:48:07.057+02:00,1654159685.999801,53.22910676774569,10.39856181678278,36.72617,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,2831.334185,1.012664794921875,0.1071319580078125,3.00604248046875,2831.334185,-2.140377148695256,2.180769188827093,0.210057357475999,-5.183234691619873,5.134596824645996,0.9658498167991638,0.2440077662467957,0.3379411101341248,2.407229900360107,XArbitraryZVertical,0.7969524026916628,0.380780235780146,-0.3585797512710568,0.3021486350572983,0.8016464710235596,-0.208516001701355,0.5602534413337708,0,0,0,-1,-1,2829.8874025,unknown,2,2022-06-02T10:48:05.609+02:00,2022-06-02T10:17:13.754+02:00,465,1.442409,0,0,360.0712,0,0,2022-06-02T10:48:05.609+02:00,675852485.6088139,0,6.761719,101.3009,1,0.8
183,2022-06-02T10:48:07.066+02:00,1654159685.999801,53.22910676774569,10.39856181678278,36.72617,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,2831.344179,1.014877319335938,0.0224456787109375,3.112579345703125,2831.334185,-2.140377148695256,2.180769188827093,0.210057357475999,-5.183234691619873,5.134596824645996,0.9658498167991638,0.2440077662467957,0.3379411101341248,2.407229900360107,XArbitraryZVertical,0.7969524026916628,0.380780235780146,-0.3585797512710568,0.3021486350572983,0.8016464710235596,-0.208516001701355,0.5602534413337708,0,0,0,-1,-1,2829.8874025,unknown,2,2022-06-02T10:48:05.609+02:00,2022-06-02T10:17:13.754+02:00,465,1.442409,0,0,360.0712,0,0,2022-06-02T10:48:05.609+02:00,675852485.6088139,0,6.761719,101.3009,1,0.8
184,2022-06-02T10:48:07.077+02:00,1654159685.999801,53.22910676774569,10.39856181678278,36.72617,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,2831.354173,1.051025390625,-0.165496826171875,3.384506225585938,2831.344179,-2.100715141470372,2.22508642385592,0.2483011413886093,-5.530625820159912,5.518133640289307,0.6272429823875427,0.230305552482605,0.3332514762878418,2.465320825576782,XArbitraryZVertical,0.7993394583068887,0.3949962838146931,-0.3256334322704838,0.3146382577853833,0.7691451907157898,-0.2457575649023056,0.5899312496185303,0,0,0,-1,-1,2829.8874025,unknown,2,2022-06-02T10:48:05.609+02:00,2022-06-02T10:17:13.754+02:00,465,1.442409,0,0,360.0712,0,0,2022-06-02T10:48:05.609+02:00,675852485.6088139,0,6.761719,101.3009,1,0.8
185,2022-06-02T10:48:07.098+02:00,1654159685.999801,53.22910676774569,10.39856181678278,36.72617,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,2831.364168,1.111083984375,-0.0608062744140625,3.74169921875,2831.354173,-2.058161468181058,2.271490204587339,0.2852837878617445,-5.503566265106201,6.025107383728027,-0.0595273785293102,0.3045254349708557,0.19558385014534,2.595361471176147,XArbitraryZVertical,0.8000112766188043,0.4114927341928154,-0.2909772311045437,0.3255577942164362,0.7334994673728943,-0.2814297676086426,0.6186886429786682,0,0,0,-1,-1,2829.8874025,unknown,2,2022-06-02T10:48:05.609+02:00,2022-06-02T10:17:13.754+02:00,465,1.442409,0,0,360.0712,0,0,2022-06-02T10:48:05.609+02:00,675852485.6088139,0,6.761719,101.3009,1,0.8
186,2022-06-02T10:48:07.102+02:00,1654159686.999801,53.22910712529924,10.39855512747151,36.69913,0,20,-1,-1,2.400000095367432,7.999579855010835,-9999,2831.374162,1.172866821289062,0.0915069580078125,4.040802001953125,2831.364168,-2.012033519960336,2.320439665331038,0.3177057565871755,-5.364921569824219,6.466023445129395,-0.9325336813926696,0.3723248839378357,0.163034975528717,2.924728155136108,XArbitraryZVertical,0.7985455664839711,0.4312353165821233,-0.2552803241664661,0.3334560748462053,0.6953020095825195,-0.3123879432678223,0.64727783203125,0,0,0,-1,-1,2829.8874025,unknown,2,2022-06-02T10:48:05.609+02:00,2022-06-02T10:17:13.754+02:00,465,1.442409,0,0,360.0712,0,0,2022-06-02T10:48:05.609+02:00,675852485.6088139,0,6.761719,101.3009,1,0.8
187,2022-06-02T10:48:07.106+02:00,1654159686.999801,53.22910712529924,10.39855512747151,36.69913,0,20,-1,-1,2.400000095367432,7.999579855010835,-9999,2831.384156,1.02069091796875,0.14605712890625,4.4019775390625,2831.374162,-1.962387791793295,2.369611869629312,0.3435879215140233,-4.947359561920166,6.563964366912842,-1.958410859107971,0.5051562786102295,0.3677513301372528,3.220643520355225,XArbitraryZVertical,0.7944605847557675,0.4540459094393388,-0.2202469143985349,0.3378845341814596,0.6567851901054382,-0.336867481470108,0.6746506094932556,0,0,0,-1,-1,2829.8874025,unknown,2,2022-06-02T10:48:05.609+02:00,2022-06-02T10:17:13.754+02:00,465,1.442409,0,0,360.0712,0,0,2022-06-02T10:48:05.609+02:00,675852485.6088139,0,6.761719,101.3009,1,0.8
188,2022-06-02T10:48:07.116+02:00,1654159686.999801,53.22910712529924,10.39855512747151,36.69913,0,20,-1,-1,2.400000095367432,7.999579855010835,-9999,2831.394151,0.8060302734375,0.101287841796875,4.975112915039062,2831.394151,-1.840411910870421,2.456004252244537,0.3705125849495331,-4.842438220977783,6.142458438873291,-4.959795475006104,0.3181595802307129,0.4857200086116791,3.927862167358398,XArbitraryZVertical,0.7741047643312684,0.5113926476543552,-0.1578128506977473,0.3381337828091371,0.5901656150817871,-0.3620932698249817,0.721521258354187,0,0,0,-1,-1,2829.8874025,unknown,2,2022-06-02T10:48:05.609+02:00,2022-06-02T10:17:13.754+02:00,465,1.442409,0,0,360.0712,0,0,2022-06-02T10:48:05.609+02:00,675852485.6088139,0,6.761719,101.3009,1,0.8
