,loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
327,2022-05-12T10:28:56.705+02:00,1652344134.999749,53.22899680589627,10.3984964545913,41.50998,0.91,0.72,108.28125,10.29515865011221,3,5,-9999,2653.802785125,0.1444854736328125,0.2958831787109375,2.810653686523438,2653.792790125,0.5597634951049485,2.504565235565836,0.0765910887451404,-4.268318176269531,8.744840621948242,-0.4310542047023773,-0.2793442606925964,0.3479859232902527,1.624896287918091,XArbitraryZVertical,0.2506321815943506,-0.9153901119342428,-0.1213888549432304,-0.2907050611720783,0.5930649638175964,-0.0765162259340286,0.8015111088752747,0,0,0,-1,-1,2630.896532875,walking,2,2022-05-12T10:28:33.798+02:00,2022-05-11T22:15:20.957+02:00,68,0.8826587,0,0,58.386,0,0,2022-05-12T10:28:46.589+02:00,674036934.2591635,0,-0.02999878,100.9072,1,0.98
328,2022-05-12T10:28:56.715+02:00,1652344134.999749,53.22899680589627,10.3984964545913,41.50998,0.91,0.72,108.28125,10.29515865011221,3,5,-9999,2653.812781125,0.081146240234375,0.3024139404296875,3.062957763671875,2653.802785125,0.5894027417189187,2.59037638834641,0.1097498527066952,-4.533565044403076,8.976099967956543,-0.7845214605331421,-0.3403208255767822,0.38048055768013,1.828301429748535,XArbitraryZVertical,0.2647893436232314,-0.9237251054444784,-0.1294250805398705,-0.2446788994357984,0.52057284116745,-0.1095296591520309,0.8467629551887512,0,0,0,-1,-1,2630.896532875,walking,2,2022-05-12T10:28:33.798+02:00,2022-05-11T22:15:20.957+02:00,68,0.8826587,0,0,58.386,0,0,2022-05-12T10:28:46.589+02:00,674036934.2591635,0,-0.02999878,100.9072,1,0.98
329,2022-05-12T10:28:56.725+02:00,1652344134.999749,53.22899680589627,10.3984964545913,41.50998,0.91,0.72,108.28125,10.29515865011221,3,5,-9999,2653.822776125,-0.0322113037109375,0.13421630859375,3.340286254882812,2653.812781125,0.6203195481230435,2.677090366351922,0.1456174130242155,-4.729664325714111,9.16657543182373,-1.080843806266785,-0.349761575460434,0.4466480612754822,2.054733514785767,XArbitraryZVertical,0.2802845744101472,-0.9293718723764968,-0.1374773295099159,-0.1969994077250604,0.4432369768619537,-0.1451033353805542,0.884583055973053,0,0,0,-1,-1,2630.896532875,walking,2,2022-05-12T10:28:33.798+02:00,2022-05-11T22:15:20.957+02:00,68,0.8826587,0,0,58.386,0,0,2022-05-12T10:28:46.589+02:00,674036934.2591635,0,-0.02999878,100.9072,1,0.98
330,2022-05-12T10:28:56.735+02:00,1652344134.999749,53.22899680589627,10.3984964545913,41.50998,0.91,0.72,108.28125,10.29515865011221,3,5,-9999,2653.832771125,-0.217315673828125,0.0820465087890625,3.632293701171875,2653.822776125,0.6525141720331556,2.764075833185264,0.1847591816535661,-5.00208568572998,9.274800300598145,-1.516302347183228,-0.3021134436130524,0.4111121296882629,2.278361797332764,XArbitraryZVertical,0.2970684180665601,-0.9320039602046052,-0.145711940521955,-0.1479430103833398,0.3623397648334503,-0.1837098151445389,0.9137620329856871,0,0,0,-1,-1,2630.896532875,walking,2,2022-05-12T10:28:33.798+02:00,2022-05-11T22:15:20.957+02:00,68,0.8826587,0,0,58.386,0,0,2022-05-12T10:28:46.589+02:00,674036934.2591635,0,-0.02999878,100.9072,1,0.98
331,2022-05-12T10:28:56.745+02:00,1652344134.999749,53.22899680589627,10.3984964545913,41.50998,0.91,0.72,108.28125,10.29515865011221,3,5,-9999,2653.842766125,-0.347320556640625,0.0234527587890625,3.92608642578125,2653.832771125,0.6872701571175852,2.849936203214002,0.2270801962888503,-5.223371505737305,9.319872856140137,-2.192587852478027,-0.410162478685379,0.3135741353034973,2.555130958557129,XArbitraryZVertical,0.3156887679084668,-0.9310914005731296,-0.1541824221201483,-0.0981698114938186,0.2801574468612671,-0.2251336425542831,0.9331811666488647,0,0,0,-1,-1,2630.896532875,walking,2,2022-05-12T10:28:33.798+02:00,2022-05-11T22:15:20.957+02:00,68,0.8826587,0,0,58.386,0,0,2022-05-12T10:28:46.589+02:00,674036934.2591635,0,-0.02999878,100.9072,1,0.98
332,2022-05-12T10:28:56.755+02:00,1652344134.999749,53.22899680589627,10.3984964545913,41.50998,0.91,0.72,108.28125,10.29515865011221,3,5,-9999,2653.852761125,-0.559356689453125,-0.10150146484375,4.180877685546875,2653.842766125,0.7258879107635534,2.93270139769667,0.2726894818877987,-5.459798336029053,9.18804931640625,-2.76183009147644,-0.5467895269393921,0.3361870348453522,2.838647127151489,XArbitraryZVertical,0.3365687077287406,-0.9261635966912954,-0.1630458704805979,-0.04856628921653,0.1997129321098328,-0.2693225145339966,0.9421150088310242,0,0,0,-1,-1,2630.896532875,walking,2,2022-05-12T10:28:33.798+02:00,2022-05-11T22:15:20.957+02:00,68,0.8826587,0,0,58.386,0,0,2022-05-12T10:28:46.589+02:00,674036934.2591635,0,-0.02999878,100.9072,1,0.98
333,2022-05-12T10:28:56.765+02:00,1652344134.999749,53.22899680589627,10.3984964545913,41.50998,0.91,0.72,108.28125,10.29515865011221,3,5,-9999,2653.862757125,-0.7714691162109375,-0.1221466064453125,4.406814575195312,2653.852761125,0.7675276347533502,3.011080360701871,0.3217520424492392,-5.544319629669189,8.913398742675781,-3.470681667327881,-0.5293476581573486,0.2542178630828857,3.108473062515259,XArbitraryZVertical,0.3591061129015652,-0.9172515090024896,-0.1723155927332651,0.0001610983278822,0.1234636306762695,-0.3162291646003723,0.9406150579452516,0,0,0,-1,-1,2630.896532875,walking,2,2022-05-12T10:28:33.798+02:00,2022-05-11T22:15:20.957+02:00,68,0.8826587,0,0,58.386,0,0,2022-05-12T10:28:46.589+02:00,674036934.2591635,0,-0.02999878,100.9072,1,0.98
334,2022-05-12T10:28:56.775+02:00,1652344134.999749,53.22899680589627,10.3984964545913,41.50998,0.91,0.72,108.28125,10.29515865011221,3,5,-9999,2653.872752125,-0.9733734130859376,-0.1891326904296875,4.606887817382812,2653.862757125,0.8140321605760862,3.082366127997883,0.3723132175891016,-5.30836296081543,8.484576225280762,-4.315694808959961,-0.7274085879325867,0.2591572999954224,3.372391223907471,XArbitraryZVertical,0.3838283895375306,-0.90421432850572,-0.1814073930312447,0.0465166352736036,0.0551365986466407,-0.3637711405754089,0.9298555850982666,0,0,0,-1,-1,2630.896532875,walking,2,2022-05-12T10:28:33.798+02:00,2022-05-11T22:15:20.957+02:00,68,0.8826587,0,0,58.386,0,0,2022-05-12T10:28:46.589+02:00,674036934.2591635,0,-0.02999878,100.9072,1,0.98
335,2022-05-12T10:28:56.785+02:00,1652344134.999749,53.22899680589627,10.3984964545913,41.50998,0.91,0.72,108.28125,10.29515865011221,3,5,-9999,2653.882747125,-1.220169067382812,-0.375885009765625,4.799896240234375,2653.872752125,0.8681347990581114,-3.140211650415671,0.4223813483741756,-4.948771476745605,7.797150611877441,-5.392435073852539,-0.872931957244873,0.2739019989967346,3.600092887878418,XArbitraryZVertical,0.4113515816128701,-0.8870441012051774,-0.1899002679877836,0.088773030046932,-0.0012596341548487,-0.4099336862564087,0.9121147394180298,0,0,0,-1,-1,2630.896532875,walking,2,2022-05-12T10:28:33.798+02:00,2022-05-11T22:15:20.957+02:00,68,0.8826587,0,0,58.386,0,0,2022-05-12T10:28:46.589+02:00,674036934.2591635,0,-0.02999878,100.9072,1,0.98
336,2022-05-12T10:28:56.795+02:00,1652344134.999749,53.22899680589627,10.3984964545913,41.50998,0.91,0.72,108.28125,10.29515865011221,3,5,-9999,2653.892742125,-1.47943115234375,-0.6138153076171875,4.956161499023438,2653.882747125,0.9332433325537228,-3.095515888256618,0.4708245840095071,-4.431632518768311,6.750361919403076,-6.621022701263428,-1.054288387298584,0.1684502065181732,3.810114622116089,XArbitraryZVertical,0.4421460033033658,-0.8658125709486163,-0.1981757139724592,0.1249081238196645,-0.0410488471388816,-0.4536212980747223,0.8902490139007568,0,0,0,-1,-1,2630.896532875,walking,2,2022-05-12T10:28:33.798+02:00,2022-05-11T22:15:20.957+02:00,68,0.8826587,0,0,58.386,0,0,2022-05-12T10:28:46.589+02:00,674036934.2591635,0,-0.02999878,100.9072,1,0.98
